rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"One Day (feat. Helena) - Radio Edit
Arash, Helena",1,3.0,5,66596,One Day (feat. Helena) - Radio Edit,"Arash, Helena",213146.0,False,False,2014-11-04,7hQmAXAzWI6D350VTgkKTG,0jkjiF0f9c7EpJRUJ47bvi,213
2,"عفتني
Sabah Mahmod",1,1.0,68,59446,عفتني,Sabah Mahmod,404035.0,False,False,2011-06-12,6DPTJXd1omQ1oTiR1Vy9CZ,5WFEeDclrtcviUwnbpHiiF,404
3,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",3,11.0,8,57939,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",184761.0,False,False,2025-10-10,78rUTD7y6Cy67W1RVzYs7t,1DwscornXpj8fmOmYVlqZt,185
4,"شبت نار
THE DO",4,8.0,16,55984,شبت نار,THE DO,120014.0,False,False,2025-10-08,7cACgXY0k1OI20mxoBw0XC,4rHm5aa07a56RND2cOBjhb,120
5,"Raindance (feat. Tems)
Dave, Tems",2,2.0,10,54994,Raindance (feat. Tems),"Dave, Tems",219743.0,False,False,2025-10-23,6Ip8FS7vWT1uKkJSweANQK,3oTuTpF1F3A7rEC6RKsMRz,220
6,"Babydoll
Dominic Fike",6,24.0,3,51871,Babydoll,Dominic Fike,97960.0,False,False,2018-10-16,6USv9qhCn6zfxlBQIYJ9qs,7yNf9YjeO5JXUE3JEBgnYc,98
7,"back to friends
sombr",1,5.0,50,50907,back to friends,sombr,199032.0,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,7qjZnBKE73H4Oxkopwulqe,199
8,"End of Beginning
Djo",1,6.0,106,48622,End of Beginning,Djo,159245.0,False,False,2022-09-16,5p9HO3XC5P3BLxJs5Mtrhm,3qhlB30KknSejmIvZZLjOD,159
9,"Love Me Not
Ravyn Lenae",9,9.0,51,47760,Love Me Not,Ravyn Lenae,213466.0,False,False,2024-08-09,5RTLRtXjbXI2lSXc6jxlAz,4WFgvKVfEhb3IUAFGrutTR,213
10,"WILDFLOWER
Billie Eilish",1,4.0,93,46171,WILDFLOWER,Billie Eilish,261466.0,False,False,2024-05-17,6qqNVTkY8uBg9cP3Jd7DAH,3QaPy1KgI7nu9FJEQUgn6h,261
11,"Bring Me To Life
Evanescence",11,13.0,73,45071,Bring Me To Life,Evanescence,235893.0,False,False,2003-03-04,5nGIFgo0shDenQYSE0Sn7c,0COqiPhxzoWICwFCS4eZcp,236
12,"No One Noticed
The Marías",3,7.0,79,44106,No One Noticed,The Marías,236906.0,False,False,2024-05-31,2sSGPbdZJkaSE2AbcGOACx,3siwsiaEoU4Kuuc9WKMUy5,237
13,"I Thought I Saw Your Face Today
She & Him",10,17.0,11,43759,I Thought I Saw Your Face Today,She & Him,170333.0,False,False,2008-03-18,3CIRif6ZAedT7kZSPvj2A4,0myRViRgmQ3J8izICXEAVO,170
14,"Ghayeb
Essam Kamal",14,18.0,6,42623,Ghayeb,Essam Kamal,279341.0,False,False,2012-05-15,7yFfaC7g3jtOSQiJGUF0iD,73JlqL415zZh8mef83ZqtJ,279
15,"Sailor Song
Gigi Perez",9,15.0,78,40207,Sailor Song,Gigi Perez,211978.0,False,False,2025-04-25,1iCnM8foFssWlPRLfAbIwo,21IYMdzTrzSe191Cy5eMap,212
