rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"Who
Jimin",1,2.0,84,111156,Who,Jimin,170887,False,False,2024-07-19,1oSPZhvZMIrWW5I41kPkkY,7tI8dRuH2Yc6RuoTjxo4dU,171
2,"Winter Ahead (with PARK HYO SHIN)
V, Park Hyo Shin",1,1.0,65,98433,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",234895,False,False,2024-11-29,3JsHnjpbhX4SnySpvpa9DK,7G7mSV4BebkoHWwKTDvXu9,235
3,"Be Mine
Jimin",2,3.0,84,69299,Be Mine,Jimin,207347,False,False,2024-07-19,1oSPZhvZMIrWW5I41kPkkY,3LWVXp636uLT356Rj08Jaz,207
4,"КУПЕР
SQWOZ BAB",4,6.0,4,58351,КУПЕР,SQWOZ BAB,105000,False,False,2025-12-26,5U2ISoieRzT6TaqiXumcXl,7fYkeBS6A7uiKh39L1POmA,105
5,"днями и ночами
BUSHIDO ZHO, Scally Milano, Полка",3,4.0,12,40895,днями и ночами,"BUSHIDO ZHO, Scally Milano, Полка",142325,True,False,2025-12-03,27kGBCjiz5OXojkKX4xQ6R,7u44m17Qu8xZp446SnoN05,142
6,"NOBODY
Aarne, Toxi$, Big Baby Tape",4,49.0,16,40397,NOBODY,"Aarne, Toxi$, Big Baby Tape",180794,True,False,2025-11-07,5B5qmrbTFvA7TAxWruuwbo,6l9rm6oaHmFO46bTtIr1ip,181
7,"священная война
урал гайсин",5,5.0,34,36166,священная война,урал гайсин,102258,False,False,2025-06-06,6CGetCSvhKrqmeKnsaI4Bm,51hYk2CuUoZPd003ENH5lO,102
8,"8 миля
madk1d, VILLIAN",8,,1,33151,8 миля,"madk1d, VILLIAN",115200,True,False,2026-02-20,1Q5COYHgA7ch0y3HqCNgwt,67llqAFIyR6d6JMjDImDyU,115
9,"так похуй
madk1d",2,7.0,49,33140,так похуй,madk1d,108042,True,False,2025-03-14,1Q5COYHgA7ch0y3HqCNgwt,4ADTRHgAN41fV1azvOARQ1,108
10,"Like Crazy
Jimin",5,11.0,56,31336,Like Crazy,Jimin,212241,False,False,2023-03-24,1oSPZhvZMIrWW5I41kPkkY,3Ua0m0YmEjrMi9XErKcNiR,212
11,"Babydoll
Dominic Fike",11,12.0,3,31126,Babydoll,Dominic Fike,97960,False,False,2018-10-16,6USv9qhCn6zfxlBQIYJ9qs,7yNf9YjeO5JXUE3JEBgnYc,98
12,"ParisLove
FORTUNA 812",2,8.0,68,30111,ParisLove,FORTUNA 812,109858,True,False,2024-11-08,4anb8rmk0xipuQP6QZ5IlH,6zECxDYlNtEybq8hZ9Tp12,110
13,"Супермаркет
Poshlaya Molly",7,9.0,131,29999,Супермаркет,Poshlaya Molly,214418,True,False,2017-02-24,0xByDfltDVpk6LDsUMHyI2,5UW6yvwo3nVA609NgprdhK,214
14,"распять
greyrock, tewiq, madk1d",7,10.0,50,28435,распять,"greyrock, tewiq, madk1d",119575,False,False,2025-03-14,3Z2TLso4pM7QrgMgkKVPZB,3pUbDaO5cBfRCZHxSCVMh8,120
15,"speed
dabbackwood",11,14.0,6,28120,speed,dabbackwood,85581,True,False,2026-01-12,197D0NwoUgPyjzksisOqcy,0W5znUzvfYYIwgdIaiP0Fd,86
16,"Контракт
Poshlaya Molly",8,13.0,211,26327,Контракт,Poshlaya Molly,204756,False,False,2021-03-12,0xByDfltDVpk6LDsUMHyI2,2bqS0QtnXGjOYs3z6VtSyW,205
17,"ты че обиделась
madk1d, тёмный принц",5,20.0,50,25286,ты че обиделась,"madk1d, тёмный принц",90044,True,False,2025-03-14,1Q5COYHgA7ch0y3HqCNgwt,0fXr6jak9GITvjI3tUqme0,90
18,"Нон стоп
Poshlaya Molly",14,16.0,211,24750,Нон стоп,Poshlaya Molly,213954,True,False,2017-02-24,0xByDfltDVpk6LDsUMHyI2,3uMUdlo47oEes3kgL4T4EC,214
19,"Rebirth (Intro)
Jimin",6,25.0,43,24646,Rebirth (Intro),Jimin,144624,False,False,2024-07-19,1oSPZhvZMIrWW5I41kPkkY,7gMfVc4zfNIxuMyMGglOHa,145
20,"Ханнамонтана
Poshlaya Molly",18,19.0,134,24588,Ханнамонтана,Poshlaya Molly,190818,True,False,2017-02-24,0xByDfltDVpk6LDsUMHyI2,7dOzvgGmCmoqGAHeoiM542,191
21,"Юра, Юра
CUPSIZE",21,24.0,21,23840,"Юра, Юра",CUPSIZE,128764,True,False,2023-12-22,6piaRBSk79hfoHINy7DMGO,60rhfD30Cpfj4SY5A7ft4Z,129
22,"MARTINE ROSE
madk1d, greyrock, tewiq",6,15.0,21,23835,MARTINE ROSE,"madk1d, greyrock, tewiq",186893,True,False,2025-10-03,1Q5COYHgA7ch0y3HqCNgwt,5AVrwT3q2nFWHDwuPILwrf,187
23,"Все хотят меня поцеловать
Poshlaya Molly",15,18.0,149,23786,Все хотят меня поцеловать,Poshlaya Molly,144000,True,False,2018-01-12,0xByDfltDVpk6LDsUMHyI2,0rqe1Pt1EGu0VDAqPupREU,144
24,"Шиншиллы
LSP",2,17.0,13,23419,Шиншиллы,LSP,149026,False,False,2025-11-28,4h8pGxEIOi7j4me1yhYxlD,7igRCIpWVfpWTbhfsfn7su,149
25,"Жить в кайф
Max Korzh",8,28.0,59,23062,Жить в кайф,Max Korzh,174344,False,False,2013-10-21,5meD8C7oGK5yUEY2T7ZZ7W,2m3PVx1gsVB5upxi94IW8I,174
26,"Четыре тридцать
Violetta Sokolova",4,22.0,136,22860,Четыре тридцать,Violetta Sokolova,133475,True,False,2022-05-13,7K2PBAFUE98RKu30clhIms,4GBfKfnvmcTcNrlJcV4OLV,133
27,"овердоз
тёмный принц",3,21.0,25,22359,овердоз,тёмный принц,88742,True,False,2025-09-05,3jayBSUIK2eqnLCWfJoWwV,6oQ3B198ElQsJD2YZDIRkX,89
28,"Банкомат
DEAD BLONDE",26,30.0,64,21800,Банкомат,DEAD BLONDE,199284,False,False,2022-11-18,4k0dbhJImJWSJf9PsH7H3z,3rGOoMEEIBonQBGOX48yjB,199
29,"БАНК
Icegergert, Zivert",6,26.0,19,21640,БАНК,"Icegergert, Zivert",177750,False,False,2025-10-17,4z3TiM4dsnvWDRcnqf3l0r,4pSZzeXqMWot9wgbzbuXQ0,178
30,"ПОВОД
MORGENSHTERN",1,31.0,34,21596,ПОВОД,MORGENSHTERN,153250,True,False,2025-02-14,0XNKQFs2Ewb3y0VsFUFc5l,1SUguUEQfQokc535Ye7ttR,153
31,"Сайт
Раковая Выхухоль",12,27.0,18,21580,Сайт,Раковая Выхухоль,145047,True,False,2025-09-19,7y6TkCfv1kEBd6YmloUGLK,695k3xSxwunkal37drPMkV,145
32,"СВЕТЛАНА!
NEXTIME",3,23.0,14,21289,СВЕТЛАНА!,NEXTIME,96000,True,False,2025-11-21,0KaA8HctO3Rt7xjMSu3YUk,6glptAOL1GSNQ1kZdWEVjj,96
33,"Шёлк
Ваня Дмитриенко",5,29.0,32,21172,Шёлк,Ваня Дмитриенко,146008,False,False,2025-07-18,1kxqshyCqWuOQJNCTgHKzM,3chb0SAouU1FtBPR5NPHWX,146
34,"FRI(END)S
V",6,33.0,8,20512,FRI(END)S,V,148082,False,False,2024-03-15,3JsHnjpbhX4SnySpvpa9DK,0PBTlQ84CBJF0tBnKGmQa6,148
35,"ты любишь танцевать
CUPSIZE",32,34.0,25,19853,ты любишь танцевать,CUPSIZE,145942,True,False,2023-09-29,6piaRBSk79hfoHINy7DMGO,0nukg1QtwhP7jBbmeFKoiT,146
36,"ПАПА
тёмный принц, tewiq, FORTUNA 812",8,32.0,42,19194,ПАПА,"тёмный принц, tewiq, FORTUNA 812",102909,True,False,2024-11-29,3jayBSUIK2eqnLCWfJoWwV,5b6awK2tOZ6thRJIkE9Pbh,103
