rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"DtMF
Bad Bunny",1,1.0,8,235718,DtMF,Bad Bunny,237117,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya,237
2,"Lush Life
Zara Larsson",2,2.0,26,209737,Lush Life,Zara Larsson,200646,False,False,2017-03-17,1Xylc3o4UrD53lo9CvFvVg,1rIKgCH4H52lrvDcz50hS8,201
3,"End of Beginning
Djo",1,5.0,26,201881,End of Beginning,Djo,159245,False,False,2022-09-16,5p9HO3XC5P3BLxJs5Mtrhm,3qhlB30KknSejmIvZZLjOD,159
4,"WHERE IS MY HUSBAND!
RAYE",3,4.0,23,200384,WHERE IS MY HUSBAND!,RAYE,196795,False,False,2025-09-19,5KKpBU5eC2tJDzf0wmlRp2,55lijDD6OAjLFFUHU9tcDm,197
5,"Babydoll
Dominic Fike",5,11.0,5,180320,Babydoll,Dominic Fike,97960,False,False,2018-10-16,6USv9qhCn6zfxlBQIYJ9qs,7yNf9YjeO5JXUE3JEBgnYc,98
6,"The Fate of Ophelia
Taylor Swift",1,7.0,21,177288,The Fate of Ophelia,Taylor Swift,226073,False,False,2025-10-03,06HL4z0CvFAxyc27GXpf02,53iuhJlwXhSER5J2IYYv1W,226
7,"Raindance (feat. Tems)
Dave, Tems",5,8.0,11,165844,Raindance (feat. Tems),"Dave, Tems",219743,False,False,2025-10-23,6Ip8FS7vWT1uKkJSweANQK,3oTuTpF1F3A7rEC6RKsMRz,220
8,"Tití Me Preguntó
Bad Bunny",3,3.0,3,159974,Tití Me Preguntó,Bad Bunny,243716,False,False,2022-05-06,4q3ewBCX7sLwd24euuV69X,1IHWl5LamUGEuP4ozKQSXZ,244
9,"TANZSCHEIN
COSMÓ",9,,1,155693,TANZSCHEIN,COSMÓ,162548,False,False,2026-02-06,5nbBY85e9IUeoz6vr9EdQM,6P4wvzxJJZR7cVs1kFXL3q,163
10,"Mr. Brightside
The Killers",9,9.0,61,153590,Mr. Brightside,The Killers,222973,False,False,2004,0C0XlULifJtAgn6ZNCW2eu,003vvx7Niy0yvhvHt4a68B,223
11,"Man I Need
Olivia Dean",8,12.0,27,145626,Man I Need,Olivia Dean,184000,False,False,2025-08-15,00x1fYSGhdqScXBRpSj3DW,1qbmS6ep2hbBRaEZFpn7BX,184
12,"NUEVAYoL
Bad Bunny",2,6.0,4,140931,NUEVAYoL,Bad Bunny,183685,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5,184
13,"back to friends
sombr",2,16.0,50,131669,back to friends,sombr,199032,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,7qjZnBKE73H4Oxkopwulqe,199
14,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",14,17.0,8,131026,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole",243880,False,False,2006-09-30,3Isy6kedDrgPYoTS1dazA9,5nEdwtSv0qqeE0l4o1lR4q,244
15,"Ordinary
Alex Warren",1,13.0,55,130600,Ordinary,Alex Warren,186964,False,False,2024-09-26,0fTSzq9jAh4c36UVb4V7CB,2RkZ5LkEzeHGRsmDqKwmaJ,187
16,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,15.0,35,125302,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",194607,False,False,2025-06-20,2yNNYQBChuox9A5Ka93BIn,1CPZ5BxNNd0n0nF4Orb9JS,195
17,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",17,48.0,7,124165,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",184761,False,False,2025-10-10,78rUTD7y6Cy67W1RVzYs7t,1DwscornXpj8fmOmYVlqZt,185
18,"No Broke Boys
Disco Lines, Tinashe",3,20.0,36,122625,No Broke Boys,"Disco Lines, Tinashe",163994,False,False,2025-06-06,5Kmr0b3ip8g9P2i0dLTC3Z,3cZajhyr8LmtPfHZ9296tj,164
19,"12 to 12
sombr",4,19.0,31,120879,12 to 12,sombr,242903,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,05od2qm2MTSKCHxy1GBp5W,243
20,"Homewrecker
sombr",20,23.0,3,117891,Homewrecker,sombr,209066,False,False,2026-02-05,4G9NDjRyZFDlJKMRL8hx3S,7tICCrK3CcyRFKza7yrR0z,209
21,"Every Breath You Take
The Police",7,21.0,79,111935,Every Breath You Take,The Police,253920,False,False,1983-06-17,5NGO30tJxFlKixkPSgXcFE,1JSTJqkT5qHq8MDJnJbRE1,254
22,"BAILE INoLVIDABLE
Bad Bunny",5,10.0,4,106745,BAILE INoLVIDABLE,Bad Bunny,367725,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2,368
23,"Love Me Not
Ravyn Lenae",9,24.0,51,106090,Love Me Not,Ravyn Lenae,213466,False,False,2024-08-09,5RTLRtXjbXI2lSXc6jxlAz,4WFgvKVfEhb3IUAFGrutTR,213
24,"So Easy (To Fall In Love)
Olivia Dean",24,29.0,22,102169,So Easy (To Fall In Love),Olivia Dean,169000,False,False,2025-09-26,00x1fYSGhdqScXBRpSj3DW,6sGIMrtIzQjdzNndVxe397,169
25,"Iris
The Goo Goo Dolls",17,35.0,61,101745,Iris,The Goo Goo Dolls,289533,False,False,1998,2sil8z5kiy4r76CRTXxBCA,6Qyc6fS4DsZjB2mRW9DsQs,290
26,"tau mich auf
Zartmann",1,30.0,49,99697,tau mich auf,Zartmann,110912,False,False,2025-04-04,0pVHBkObr9UNIWpms1e4I0,1prNhzt3DdgRoxKoALTEYo,111
27,"Tirol
DJ Ötzi",2,22.0,13,99269,Tirol,DJ Ötzi,173373,False,False,2019-01-04,0DR4z5jMA1eqx0CmHBUpkr,1ztXLrHOxpIF7mBJ3oTakZ,173
28,"undressed
sombr",7,28.0,49,96996,undressed,sombr,182088,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,0TFTAtCYhp2tQ9KcJIZb55,182
29,"Sex on Fire
Kings of Leon",24,31.0,61,96353,Sex on Fire,Kings of Leon,203346,False,False,2008-09-23,2qk9voo8llSGYcZ6xrBzKx,0ntQJM78wzOLVeCUAW7Y45,203
30,"LOVE U ANYWAY
benno!",6,27.0,5,95853,LOVE U ANYWAY,benno!,154745,False,False,2026-01-23,1EZIni3W4CmC2bTy75Q053,7zirvOKv5Yi0WsXuq8f7xi,155
31,"White Keys
Dominic Fike",31,79.0,3,95496,White Keys,Dominic Fike,144101,False,False,2026-02-27,6USv9qhCn6zfxlBQIYJ9qs,0bSv2vtkHtIUFD3DF06X8D,144
32,"EoO
Bad Bunny",9,14.0,4,93546,EoO,Bad Bunny,204768,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,6J5kc12BW5HuP3d7C3vvx8,205
33,"Drag Path
Twenty One Pilots",33,,1,92250,Drag Path,Twenty One Pilots,224000,False,False,2026-02-17,3YQKmKGau1PzlVlkL1iodx,0TlcczkVTGpinpkGJpT81L,224
34,"Riptide
Vance Joy",15,33.0,218,92247,Riptide,Vance Joy,204280,False,False,2014-08-05,10exVja0key0uqUkk6LJRT,2uXlHCUbq9OMUwx3hrk06o,204
35,"The Emptiness Machine
Linkin Park",1,41.0,77,87033,The Emptiness Machine,Linkin Park,190427,False,False,2024-11-15,6XyY86QOPPrYVGvF9ch6wz,1EDPVGbyPKJPeGqATwXZvN,190
36,"Wackelkontakt
Oimara",1,18.0,59,86609,Wackelkontakt,Oimara,168801,False,False,2025-11-21,7eGuHhstHEA8ipdVjsimYR,51tf2J1gGNLG0IIvLquE64,169
37,"Sailor Song
Gigi Perez",2,40.0,79,84389,Sailor Song,Gigi Perez,211978,False,False,2025-04-25,1iCnM8foFssWlPRLfAbIwo,21IYMdzTrzSe191Cy5eMap,212
38,"I Just Might
Bruno Mars",16,49.0,7,83731,I Just Might,Bruno Mars,212973,False,False,2026-01-09,0du5cEVh5yTK9QJze8zA0C,12bYYQaLqHliSXvRIYlq8G,213
39,"TRIPPIN
BUNT., Mapei",18,47.0,34,83513,TRIPPIN,"BUNT., Mapei",202881,False,False,2024-06-28,2CpLIMBoE2ZzyY3ZBCRZ7j,4ml1Eq4wmcdfN0Q6pNEly7,203
40,"AKON
Jazeek",2,37.0,48,83394,AKON,Jazeek,138354,False,False,2025-03-28,1E8mXBWN7AXZCOPYbOky4J,6YFNhYf7A33biVmMG1JSQf,138
41,"Papaoutai - Afro Soul
mikeeysmind, Chill77, Unjaps",8,36.0,2,82123,Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps",280033,False,False,2025-12-20,0g0ZYLiNYI4kMg8MX76bkN,2pwED7E7gGr3UR7T3s3LSM,280
42,"Africa
TOTO",18,43.0,61,81943,Africa,TOTO,295282,False,False,1982-04-08,0PFtn5NtBbbUNbU9EAmIWF,2374M0fQpWi3dLnB54qaLX,295
43,"Sweater Weather
The Neighbourhood",16,42.0,279,80313,Sweater Weather,The Neighbourhood,240400,False,False,2013-04-22,77SW9BnxLY8rJ0RciFqkHh,2QjOHCTQ1Jl3zawyYOpxh6,240
44,"Can't Hold Us (feat. Ray Dalton)
Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",17,52.0,61,77824,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",258431,False,False,2012-10-09,3JhNCzhSMTxs9WLGJJxWOY,22skzmqfdWrjJylampe0kt,258
45,"Die On This Hill
SIENNA SPIRO",45,64.0,7,76588,Die On This Hill,SIENNA SPIRO,217008,False,False,2025-10-10,02gSuSAWEdWa5UOvqzjX6v,2gYTC8DsplN3RNdpdBcCOQ,217
46,"We Are The People
Empire Of The Sun",39,39.0,9,76167,We Are The People,Empire Of The Sun,267373,False,False,2008-10-03,67hb7towEyKvt5Z8Bx306c,3zEN0ii6s4DHHBpnTp3RP7,267
47,"Danza Kuduro
Don Omar, Lucenzo",28,44.0,61,75969,Danza Kuduro,"Don Omar, Lucenzo",198773,False,False,2010-01-01,33ScadVnbm2X8kkUqOkC6Z,2a1o6ZejUi8U3wzzOtCOYw,199
48,"S&M
Rihanna",46,53.0,61,75827,S&M,Rihanna,243600,False,False,2010-01-01,5pKCCKE2ajJHZ9KAiaK11H,7ySUcLPVX7KudhnmNcgY2D,244
49,"Opalite
Taylor Swift",2,54.0,9,75359,Opalite,Taylor Swift,235355,False,False,2025-10-03,06HL4z0CvFAxyc27GXpf02,3yWuTOYDztXjZxdE2cIRUa,235
50,"ALL IN (Lieblingslieder)
Fäaschtbänkler",16,26.0,61,72224,ALL IN (Lieblingslieder),Fäaschtbänkler,163601,False,False,2023-01-15,5eLTULECbpoiNT8czpulxX,3VIEbpdr64a1mNSa8MqBAm,164
