rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"JETSKI
PEDRO SAMPAIO, MC Meno K, Melody",1,1.0,10,8401124,JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody",148645.0,False,False,2025-12-18,5wbf52LA6kcaboHSN6NEF1,3jhyw60F61gc7nC4dblqtC,149
2,"Posso Até Não Te Dar Flores
DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",1,2.0,23,7759690,Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",162461.0,False,False,2025-09-11,1bpnl8qbR9GxmiNlkEufW6,4tYCyoSpv0Ujpfwcneb02l,162
3,"Carnívoro
Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK",3,5.0,5,7056852,Carnívoro,"Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK",216000.0,False,False,2026-01-23,6qrqAYlS6lUj2BVXax7SZW,6zWfgvh1e1FCdtfUVj370i,216
4,"Eu Te Seguro - Ao Vivo
Panda, MJ Records",3,4.0,23,6719280,Eu Te Seguro - Ao Vivo,"Panda, MJ Records",148561.0,False,False,2025-10-23,5qIpstBGrGteJZg1xIvbiz,4V2rUOmaevK0C1bKAkeFf5,149
5,"Amo Minha Favela
DJ Japa NK, MC Meno K",3,3.0,11,6664016,Amo Minha Favela,"DJ Japa NK, MC Meno K",119538.0,False,False,2025-12-11,1bpnl8qbR9GxmiNlkEufW6,2FBgVaH95hUfKBK8GUbvju,120
6,"Reliquia do 2T
DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte",6,20.0,2,6600072,Reliquia do 2T,"DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte",306000.0,False,False,2026-02-06,3Y4ODN6kIBNpQj6eWNT9xw,6n9JMoXkXu4lDOu1k6MRpy,306
7,"Gauchinha
DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY",7,10.0,10,5552074,Gauchinha,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY",273326.0,False,False,2025-12-17,1bpnl8qbR9GxmiNlkEufW6,7qqixxBvZIGSep53Eh2o0b,273
8,"ME POSTOU NO DAILY - FESTA DO BIG G
MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat",2,11.0,22,5314598,ME POSTOU NO DAILY - FESTA DO BIG G,"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat",177230.0,False,False,2025-11-27,5s27i7oqhNWIcE4HeoVdq0,4ukpXdplqDEMk3Fy2i30oI,177
9,"Diário de um Cafajeste
DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original",6,12.0,16,5257925,Diário de um Cafajeste,"DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original",357120.0,False,False,2025-11-06,1b8S7EPzdckRyIh0uSbOMI,6kaWah1Acn1dtNjAy6sm1p,357
10,"Faz Parte De Mim
MC Tuto, DJ Oreia",10,16.0,3,5130766,Faz Parte De Mim,"MC Tuto, DJ Oreia",153600.0,False,False,2026-02-02,6aoGgTKGqtsjj48ymcNs4Z,6omKlm9PHL3w95NzNtVDZd,154
11,"P do Pecado - Ao Vivo
Grupo Menos É Mais, Simone Mendes",1,6.0,43,4908122,P do Pecado - Ao Vivo,"Grupo Menos É Mais, Simone Mendes",192367.0,False,False,2025-10-16,6vTqEFbTtTRJsuIpzZgjxi,38Ps9Kui6qJjpVqdBOfN5M,192
12,"Calcinha de Renda - Ao Vivo
Panda, Gusttavo Lima, MJ Records",11,14.0,13,4566974,Calcinha de Renda - Ao Vivo,"Panda, Gusttavo Lima, MJ Records",199379.0,False,False,2025-11-26,5qIpstBGrGteJZg1xIvbiz,2a9WkloaIu64sryr4JTdTi,199
13,"Eu Me Apaixonei
Vitinho Imperador",3,7.0,27,4381309,Eu Me Apaixonei,Vitinho Imperador,205714.0,False,False,2025-02-27,6xrc4RXcso9uKlYWlIANPU,4SjcIkVc4cvFgURD1EHxDM,206
14,"Lembrei de Tu
MC Meno K, Oruam, Fepache",14,100.0,2,4381285,Lembrei de Tu,"MC Meno K, Oruam, Fepache",173858.0,False,False,2026-02-11,1CbQrKvCpEnekM3QMGJtXK,1lokGTw8YKDexcSPtQ8AQ3,174
15,"SET DO JAPA NK 2.0
DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam",5,15.0,14,4367181,SET DO JAPA NK 2.0,"DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam",518783.0,False,False,2025-11-20,1bpnl8qbR9GxmiNlkEufW6,1JZDwJgE9VSC0V2GR66z63,519
16,"SEQUÊNCIA FEITICEIRA
PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito",2,8.0,26,4341347,SEQUÊNCIA FEITICEIRA,"PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito",129692.0,False,False,2025-11-18,5wbf52LA6kcaboHSN6NEF1,1JUmsSEfVwhdJCVBG83XGU,130
17,"Pela Última Vez - Ao Vivo
Grupo Menos É Mais, NATTAN",3,9.0,27,4335486,Pela Última Vez - Ao Vivo,"Grupo Menos É Mais, NATTAN",162325.0,False,False,2025-10-16,6vTqEFbTtTRJsuIpzZgjxi,6B7ot6Wlqf7zt3FCkYl2FJ,162
