rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"DARKMONEY (feat. Sfera Ebbasta)
Pyrex, Sfera Ebbasta",1,2.0,2,1764416,DARKMONEY (feat. Sfera Ebbasta),"Pyrex, Sfera Ebbasta",166025,False,False,2026-02-13,7h1amg0X7Q5d0D5KfuyKTg,1SWUq0qtTSDRGrDtgq7POw,166
2,"MALE NECESSARIO
Fedez, Marco Masini",2,,1,1708974,MALE NECESSARIO,"Fedez, Marco Masini",187647,False,False,2026-02-25,3pgCLfNbw5ozIfoNsvDU7i,4kK4uxstY0lTdun71200Al,188
3,"TU MI PIACI TANTO
Sayf",3,,1,1648088,TU MI PIACI TANTO,Sayf,209664,False,False,2026-02-25,3HAwumPgGOSXlZSyGWuLhB,1ByC6cNyFHMIrqTDVf8Urf,210
4,"OSSESSIONE
Samurai Jay, Vito Salamanca",4,,1,1600334,OSSESSIONE,"Samurai Jay, Vito Salamanca",188184,False,False,2026-02-25,2n0Ki4A5tKTEloq3WCt1IH,63sQFPGkKfzcK5qEZVefpu,188
5,"DtMF
Bad Bunny",1,1.0,59,1580633,DtMF,Bad Bunny,237117,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya,237
6,"Che fastidio!
Ditonellapiaga",6,,1,1577226,Che fastidio!,Ditonellapiaga,194307,False,False,2026-02-25,7HtzacrJpksCiS6qHypb8l,1k3pzheXrbtHgvvOsQeMkU,194
7,"Prima che
nayt",7,,1,1574335,Prima che,nayt,183000,False,False,2026-02-25,7tmTvmqgTBcX88ZrSHByrD,1bXER40RxwNWTf9fnQOY64,183
8,"DONNE RICCHE - Acoustic Version
TonyPitony",2,6.0,11,1546069,DONNE RICCHE - Acoustic Version,TonyPitony,172000,False,False,2025-12-03,07yfI2D37Ir0pGQ8huDd4j,5tY8rR8cdFsQdBauMGB7nz,172
9,"2 GIORNI DI FILA (feat. Sfera Ebbasta, ANNA)
Geolier, Sfera Ebbasta, ANNA",1,5.0,6,1509333,"2 GIORNI DI FILA (feat. Sfera Ebbasta, ANNA)","Geolier, Sfera Ebbasta, ANNA",211250,False,False,2026-01-16,27LlKWxS3KXW7RRAxN5S8s,6S9jhAReGPzub7RkRbv8HM,211
10,"Labirinto
Luchè",10,,1,1502906,Labirinto,Luchè,227321,False,False,2026-02-25,3yiEJ9SByXZMXTwaKdVFN4,11C1h0tuCW9qRa1QGPV9Vj,227
11,"CANZONE D'AMORE
Geolier",6,7.0,6,1475592,CANZONE D'AMORE,Geolier,180000,False,False,2026-01-16,27LlKWxS3KXW7RRAxN5S8s,3WL6jUG9qR8rhOOVlD51JE,180
12,"BAILE INoLVIDABLE
Bad Bunny",4,4.0,59,1446241,BAILE INoLVIDABLE,Bad Bunny,367725,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2,368
13,"Stupida sfortuna
Fulminacci",13,,1,1442547,Stupida sfortuna,Fulminacci,175013,False,False,2026-02-25,1QeqGmpgU5Yg74GNcjIIq3,2yzOkthIypp8Lwkww7LZjY,175
14,"NUEVAYoL
Bad Bunny",3,3.0,60,1410112,NUEVAYoL,Bad Bunny,183685,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5,184
15,"QUI CON ME
Serena Brancale",15,,1,1337046,QUI CON ME,Serena Brancale,196095,False,False,2026-02-25,7108jelN43seqWILMvJwKi,6zngwmDraHGVczoCzj7rHb,196
16,"I romantici
Tommaso Paradiso",16,,1,1330819,I romantici,Tommaso Paradiso,239967,False,False,2026-02-25,47z0zz9ZMCn9GBiPRTn5Bc,3X6VETSe1orqobaME0KTzQ,240
17,"Magica Favola
Arisa",17,,1,1251436,Magica Favola,Arisa,210996,False,False,2026-02-25,25x6MD0spNNS7z93Sat30K,2DO1VNiVcIVKJVd2PhKCsW,211
18,"Push It (feat. ANNA)
Kid Yugi, ANNA",1,10.0,8,1181558,Push It (feat. ANNA),"Kid Yugi, ANNA",175137,False,False,2026-01-02,0EUR8jz8L936AEbV2Spkca,5FLxKWv8HEFI67uKzSX27K,175
19,"Amelie
Kid Yugi",2,9.0,4,1145912,Amelie,Kid Yugi,184803,False,False,2026-01-30,0EUR8jz8L936AEbV2Spkca,0O5KcmgOeEgublW6ySQ6Vc,185
20,"Tití Me Preguntó
Bad Bunny",6,11.0,4,1134955,Tití Me Preguntó,Bad Bunny,243716,False,False,2022-05-06,4q3ewBCX7sLwd24euuV69X,1IHWl5LamUGEuP4ozKQSXZ,244
21,"Tristano e Isotta
Kid Yugi",1,8.0,4,1131914,Tristano e Isotta,Kid Yugi,217593,False,False,2026-01-30,0EUR8jz8L936AEbV2Spkca,7dFfkSJrAHnUdKM5jaUOLt,218
22,"Poesie Clandestine
LDA, Aka 7even",22,,1,1122767,Poesie Clandestine,"LDA, Aka 7even",183333,False,False,2026-02-25,5FwDaIGy29GQC5d0MR7fKf,730yruXTNk2KvXdbCNzXpR,183
23,"Per sempre sì
Sal Da Vinci",23,,1,1081916,Per sempre sì,Sal Da Vinci,175121,False,False,2026-02-25,7cdIY4mDfM1dbjgl7s2fGR,5W1mx7Oeg2HxmASrth1nTt,175
24,"Questa domenica
Olly, Juli",1,17.0,26,1080517,Questa domenica,"Olly, Juli",216098,False,False,2025-09-26,25u1DN0MwQVSav4XoJS7hl,1VX2LLBpUPS2QJVou4WGz3,216
25,"L'Amore Non Mi Basta
Emma",1,16.0,13,1078645,L'Amore Non Mi Basta,Emma,214738,False,False,2021-06-24,0gzwXezN4IUHAwLufA6YcX,6zCWqqk9WUWJsHySEiiieL,215
26,"AMOR
Achille Lauro",6,25.0,45,1078265,AMOR,Achille Lauro,177348,False,False,2025-04-18,0lI3rF4hi4op6UxqlLHPzv,7vc09IDmFH0MfyPYHPEWRM,177
27,"End of Beginning
Djo",2,14.0,14,1041561,End of Beginning,Djo,159245,False,False,2022-09-16,5p9HO3XC5P3BLxJs5Mtrhm,3qhlB30KknSejmIvZZLjOD,159
28,"Eroina (feat. Tutti Fenomeni)
Kid Yugi, Tutti Fenomeni",4,13.0,4,1036484,Eroina (feat. Tutti Fenomeni),"Kid Yugi, Tutti Fenomeni",198001,False,False,2026-01-30,0EUR8jz8L936AEbV2Spkca,56n5UQJ0SDVaxwQNnu90ee,198
29,"ITALIA STARTER PACK
J-AX",29,,1,1033202,ITALIA STARTER PACK,J-AX,170376,False,False,2026-02-25,2iK8weavvfS2xJCmzNzNE5,4ZAjcfbt84O79SGc0jWqu7,170
30,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,23.0,47,968266,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",150001,False,False,2025-02-19,5uwa6tAMMfNbBFIHiI6NV4,6iOndD4OFo7GkaDypWQIou,150
31,"STELLE
Geolier",4,19.0,6,934048,STELLE,Geolier,206400,False,False,2026-01-16,27LlKWxS3KXW7RRAxN5S8s,5ukcsJ6xFum4aGyd4s2clw,206
32,"ARCOBALENO (feat. Anuel AA)
Geolier, Anuel AA",3,22.0,6,922007,ARCOBALENO (feat. Anuel AA),"Geolier, Anuel AA",193667,False,False,2026-01-16,27LlKWxS3KXW7RRAxN5S8s,7os93Vpc5gJ40Fm0QC48a8,194
33,"Non è mica te
Eddie Brock",7,33.0,24,917444,Non è mica te,Eddie Brock,187698,False,False,2025-05-02,0harR1ApYeMN6GOLBNMiUR,7EOKcZX9TRkIs0nwWbCCbD,188
34,"Ti penso sempre
chiello",34,,1,908138,Ti penso sempre,chiello,154570,False,False,2026-02-25,5mjasIBQQPIqA9GV2Ys61h,15RaJcxk9ng0GahyzI6q3g,155
35,"La violenza Necessaria (feat. Shiva)
Kid Yugi, Shiva",2,15.0,4,892656,La violenza Necessaria (feat. Shiva),"Kid Yugi, Shiva",163305,False,False,2026-01-30,0EUR8jz8L936AEbV2Spkca,4gYOPsRynx7hXQm5q47o04,163
36,"EoO
Bad Bunny",18,18.0,6,889695,EoO,Bad Bunny,204768,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,6J5kc12BW5HuP3d7C3vvx8,205
37,"animali notturni
Malika Ayane",37,,1,877178,animali notturni,Malika Ayane,178348,False,False,2026-02-25,5jcswtptZttxBwWKXbR5k5,2qkSLhQ0w3R02XzC5zwkr7,178
38,"Balorda nostalgia
Olly, Juli",1,38.0,55,875732,Balorda nostalgia,"Olly, Juli",197708,False,False,2025-09-26,25u1DN0MwQVSav4XoJS7hl,1QMGYNbDtHIRzDMKugpg7t,198
39,"Perdutamente
Achille Lauro",24,41.0,7,874959,Perdutamente,Achille Lauro,244244,False,False,2025-04-18,0lI3rF4hi4op6UxqlLHPzv,5pk3bAZLMs1PqdMuHITZU9,244
40,"uomo che cade
Tredici Pietro",40,,1,874259,uomo che cade,Tredici Pietro,217458,False,False,2026-02-25,0RENwV6Phsp2y8nnFJ54UC,3vwObRd71oUa145riRt42O,217
41,"SEI TU
Levante",41,,1,873857,SEI TU,Levante,211625,False,False,2026-02-25,5mTg1ztZByLRHsOEtwmT4G,1MXiEYzY1u2DEfh2cRITv9,212
42,"Stella stellina
Ermal Meta",42,,1,862606,Stella stellina,Ermal Meta,198906,False,False,2026-02-25,4XWTdNlsP8jqo5BDn5hgmd,2wNoBWBMt1bpoAzPX2lAi0,199
43,"BERLINO
Ernia",19,35.0,8,853850,BERLINO,Ernia,175200,False,False,2025-09-18,3fhMfkPPzksWuw0hEm4ldm,3l109GEhkVYrTvDoKuNGlu,175
44,"Gilgamesh
Kid Yugi",6,21.0,4,847223,Gilgamesh,Kid Yugi,160964,False,False,2026-01-30,0EUR8jz8L936AEbV2Spkca,09wmUkefYD7B2IWpHP6v3P,161
45,"FOTOGRAFIA
Geolier",1,27.0,16,826491,FOTOGRAFIA,Geolier,224767,False,False,2025-11-07,27LlKWxS3KXW7RRAxN5S8s,78F6s5j8febWk0ICOAIxjM,225
46,"DAVVERODAVVERO
Artie 5ive",33,63.0,7,815580,DAVVERODAVVERO,Artie 5ive,165922,False,False,2025-03-28,2R4kNOwHUUsuDYhKsESVbF,6bdTp8Jkp3IAU15rVPWFuJ,166
47,"Prima o poi
Michele Bravi",47,,1,813053,Prima o poi,Michele Bravi,188726,False,False,2026-02-25,1CF7hrTuWgErEa6HBFJ8d3,4j88Y86NDJvbioBEZTxQeO,189
48,"Resta Con Me
Bambole Di Pezza",48,,1,812671,Resta Con Me,Bambole Di Pezza,190985,False,False,2026-02-25,2RucBHMHhR5LMQUoGO19OW,1GjQApTKIADKfSoZm8bHRK,191
49,"PER TE
Ernia",3,34.0,23,812095,PER TE,Ernia,214934,False,False,2025-09-18,3fhMfkPPzksWuw0hEm4ldm,6DhMZVuD6TH0jd4bMNChCU,215
50,"1H
Geolier",5,29.0,6,804877,1H,Geolier,140567,False,False,2026-01-16,27LlKWxS3KXW7RRAxN5S8s,6PtEfaLwNxmBtK4LX7Ffi6,141
