rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Raindance (feat. Tems)
Dave, Tems",1,2.0,18,108510,Raindance (feat. Tems),"Dave, Tems"
2,"Don’t Say You Love Me
Jin",1,6.0,41,91414,Don’t Say You Love Me,Jin
3,"Man I Need
Olivia Dean",3,3.0,27,91221,Man I Need,Olivia Dean
4,"DtMF
Bad Bunny",1,1.0,4,88181,DtMF,Bad Bunny
5,"So Easy (To Fall In Love)
Olivia Dean",4,4.0,22,87277,So Easy (To Fall In Love),Olivia Dean
6,"The Fate of Ophelia
Taylor Swift",1,8.0,21,77346,The Fate of Ophelia,Taylor Swift
7,"End of Beginning
Djo",2,7.0,106,75850,End of Beginning,Djo
8,"KALYANI
ARJN, KDS, FIFTY4, RONN",4,5.0,14,72386,KALYANI,"ARJN, KDS, FIFTY4, RONN"
9,"VISA
SB19",9,,1,68117,VISA,SB19
10,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",10,20.0,8,63661,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
11,"back to friends
sombr",2,11.0,49,63095,back to friends,sombr
12,"Lush Life
Zara Larsson",9,12.0,14,57599,Lush Life,Zara Larsson
13,"WHERE IS MY HUSBAND!
RAYE",11,13.0,23,55769,WHERE IS MY HUSBAND!,RAYE
14,"Ordinary
Alex Warren",4,14.0,54,53301,Ordinary,Alex Warren
15,"Babydoll
Dominic Fike",15,38.0,3,48483,Babydoll,Dominic Fike
16,"CHANEL
Tyla",3,17.0,16,48258,CHANEL,Tyla
17,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,18.0,36,48081,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
18,"BIRDS OF A FEATHER
Billie Eilish",1,15.0,93,48067,BIRDS OF A FEATHER,Billie Eilish
19,"NUEVAYoL
Bad Bunny",9,9.0,4,47803,NUEVAYoL,Bad Bunny
20,"Tití Me Preguntó
Bad Bunny",10,10.0,3,47765,Tití Me Preguntó,Bad Bunny
21,"Love Me Not
Ravyn Lenae",8,21.0,52,47535,Love Me Not,Ravyn Lenae
22,"Die On This Hill
SIENNA SPIRO",19,25.0,9,46537,Die On This Hill,SIENNA SPIRO
23,"Die With A Smile
Lady Gaga, Bruno Mars",1,16.0,80,45486,Die With A Smile,"Lady Gaga, Bruno Mars"
24,"Gehra Hua (From ""Dhurandhar"")
Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",16,19.0,12,43879,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
25,"Opalite
Taylor Swift",2,23.0,21,43756,Opalite,Taylor Swift
26,"Gabriela
KATSEYE",5,22.0,36,43255,Gabriela,KATSEYE
27,"I Just Might
Bruno Mars",12,28.0,7,42604,I Just Might,Bruno Mars
28,"Tahanan
El Manu",28,33.0,7,41099,Tahanan,El Manu
29,"E85
Don Toliver",29,41.0,4,38963,E85,Don Toliver
30,"One Dance
Drake, Wizkid, Kyla",20,26.0,256,38815,One Dance,"Drake, Wizkid, Kyla"
31,"Belyol
Dabzee, Edappal Bappu, Rishi Roy",31,31.0,3,38814,Belyol,"Dabzee, Edappal Bappu, Rishi Roy"
32,"DAISIES
Justin Bieber",3,29.0,33,38552,DAISIES,Justin Bieber
33,"Multo
Cup of Joe",5,66.0,49,38523,Multo,Cup of Joe
34,"Homewrecker
sombr",34,48.0,3,38041,Homewrecker,sombr
35,"WILDFLOWER
Billie Eilish",8,27.0,93,37668,WILDFLOWER,Billie Eilish
36,"I Thought I Saw Your Face Today
She & Him",25,34.0,12,37201,I Thought I Saw Your Face Today,She & Him
37,"Folded
Kehlani",18,39.0,37,36154,Folded,Kehlani
38,"Manchild
Sabrina Carpenter",9,37.0,38,35466,Manchild,Sabrina Carpenter
39,"Iris
The Goo Goo Dolls",31,47.0,56,35341,Iris,The Goo Goo Dolls
40,"ZILL
M.H.R, Shafi Kollam, JOKER390P",40,148.0,2,35249,ZILL,"M.H.R, Shafi Kollam, JOKER390P"
41,"Dhurandhar - Title Track (From ""Dhurandhar"")
Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",19,32.0,14,35031,"Dhurandhar - Title Track (From ""Dhurandhar"")","Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan"
42,"What You Saying
Lil Uzi Vert",28,40.0,8,34637,What You Saying,Lil Uzi Vert
43,"Sailor Song
Gigi Perez",9,45.0,79,34519,Sailor Song,Gigi Perez
44,"BAILE INoLVIDABLE
Bad Bunny",18,24.0,4,33983,BAILE INoLVIDABLE,Bad Bunny
