rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,2.0,8,2157844,LA VILLA,"Ryan Castro, Kapo, Gangsta"
2,"BAILE INoLVIDABLE
Bad Bunny",1,1.0,60,1915072,BAILE INoLVIDABLE,Bad Bunny
3,"DtMF
Bad Bunny",1,3.0,60,1706009,DtMF,Bad Bunny
4,"Soy Favela
La T y La M",2,6.0,12,1675117,Soy Favela,La T y La M
5,"UWAIE - versión cumbia
Max Carra",2,7.0,50,1592177,UWAIE - versión cumbia,Max Carra
6,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,10.0,21,1572047,Cuando No Era Cantante,"El Bogueto, Yung Beef"
7,"VOY A LLeVARTE PA PR
Bad Bunny",4,4.0,60,1464146,VOY A LLeVARTE PA PR,Bad Bunny
8,"Puñaladas
Lauta, Amigo de Artistas, Tote",8,17.0,7,1354188,Puñaladas,"Lauta, Amigo de Artistas, Tote"
9,"EoO
Bad Bunny",8,8.0,60,1353323,EoO,Bad Bunny
10,"Tu jardín con enanitos
Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",1,11.0,40,1312160,Tu jardín con enanitos,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES"
11,"NUEVAYoL
Bad Bunny",5,5.0,60,1281333,NUEVAYoL,Bad Bunny
12,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",7,12.0,11,1229851,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
13,"TU VAS SIN (fav)
Rels B",3,15.0,32,1224280,TU VAS SIN (fav),Rels B
14,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",6,9.0,60,1210139,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
15,"La Perla
ROSALÍA, Yahritza Y Su Esencia",1,16.0,16,1147265,La Perla,"ROSALÍA, Yahritza Y Su Esencia"
