rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"One Day (feat. Helena) - Radio Edit
Arash, Helena",1,3.0,5,66596,One Day (feat. Helena) - Radio Edit,"Arash, Helena"
2,"عفتني
Sabah Mahmod",1,1.0,68,59446,عفتني,Sabah Mahmod
3,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",3,11.0,8,57939,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
4,"شبت نار
THE DO",4,8.0,16,55984,شبت نار,THE DO
5,"Raindance (feat. Tems)
Dave, Tems",2,2.0,10,54994,Raindance (feat. Tems),"Dave, Tems"
6,"Babydoll
Dominic Fike",6,24.0,3,51871,Babydoll,Dominic Fike
7,"back to friends
sombr",1,5.0,50,50907,back to friends,sombr
8,"End of Beginning
Djo",1,6.0,106,48622,End of Beginning,Djo
9,"Love Me Not
Ravyn Lenae",9,9.0,51,47760,Love Me Not,Ravyn Lenae
10,"WILDFLOWER
Billie Eilish",1,4.0,93,46171,WILDFLOWER,Billie Eilish
11,"Bring Me To Life
Evanescence",11,13.0,73,45071,Bring Me To Life,Evanescence
12,"No One Noticed
The Marías",3,7.0,79,44106,No One Noticed,The Marías
13,"I Thought I Saw Your Face Today
She & Him",10,17.0,11,43759,I Thought I Saw Your Face Today,She & Him
14,"Ghayeb
Essam Kamal",14,18.0,6,42623,Ghayeb,Essam Kamal
15,"Sailor Song
Gigi Perez",9,15.0,78,40207,Sailor Song,Gigi Perez
16,"The Fate of Ophelia
Taylor Swift",1,12.0,21,39759,The Fate of Ophelia,Taylor Swift
17,"ميت اني
Sabah Mahmod",6,14.0,88,39574,ميت اني,Sabah Mahmod
18,"Jabaha Le Ahlo
Slow Moe",10,10.0,2,38151,Jabaha Le Ahlo,Slow Moe
19,"Let Down
Radiohead",8,25.0,45,36823,Let Down,Radiohead
20,"Lush Life
Zara Larsson",11,19.0,13,35958,Lush Life,Zara Larsson
21,"Wanet Mn Frkakom
Ali Al Feraty, علي الفراتي",1,16.0,20,35248,Wanet Mn Frkakom,"Ali Al Feraty, علي الفراتي"
22,"Sweater Weather
The Neighbourhood",7,30.0,279,34599,Sweater Weather,The Neighbourhood
23,"Fame is a Gun
Addison Rae",20,27.0,12,34214,Fame is a Gun,Addison Rae
24,"Habibi Howa
Mahmoud Al Turky",1,22.0,45,31461,Habibi Howa,Mahmoud Al Turky
25,"BIRDS OF A FEATHER
Billie Eilish",1,21.0,93,31196,BIRDS OF A FEATHER,Billie Eilish
26,"Aaouf El Denia
Mohamed AlSalim",7,28.0,40,30900,Aaouf El Denia,Mohamed AlSalim
27,"Cinnamon Girl
Lana Del Rey",26,26.0,59,30701,Cinnamon Girl,Lana Del Rey
28,"شلون بية
Aws Al Saber",4,32.0,105,30411,شلون بية,Aws Al Saber
29,"Apocalypse
Cigarettes After Sex",13,29.0,221,30110,Apocalypse,Cigarettes After Sex
30,"VISA
SB19",30,,1,30056,VISA,SB19
31,"Cry
Cigarettes After Sex",15,34.0,193,28974,Cry,Cigarettes After Sex
32,"Armalat Al-Alpha
Klash",1,31.0,18,28972,Armalat Al-Alpha,Klash
33,"NO BATIDÃO - Slowed
ZXKAI, slxughter",23,40.0,18,28970,NO BATIDÃO - Slowed,"ZXKAI, slxughter"
34,"Join Me In Death
HIM",34,58.0,12,28836,Join Me In Death,HIM
35,"Enta Be Damy
Khaled El Hanin",21,45.0,58,28269,Enta Be Damy,Khaled El Hanin
36,"هذا دمعك
Tayseer Al Safeer",15,39.0,78,27877,هذا دمعك,Tayseer Al Safeer
37,"Hay El Zalayl
Shela",10,38.0,41,27757,Hay El Zalayl,Shela
38,"Hbnah Antaha
Mohamad Abdel Jabar, Ali Bader",24,36.0,68,27469,Hbnah Antaha,"Mohamad Abdel Jabar, Ali Bader"
39,"Hate Me
Ellie Goulding, Juice WRLD",35,54.0,21,27316,Hate Me,"Ellie Goulding, Juice WRLD"
40,"El Nawayia
Said El Zkhozmany",40,125.0,7,27238,El Nawayia,Said El Zkhozmany
41,"Meno Elertah
Amar Ahmed",36,48.0,22,27222,Meno Elertah,Amar Ahmed
42,"Sienna
The Marías",38,41.0,28,26988,Sienna,The Marías
43,"DtMF
Bad Bunny",11,20.0,3,26783,DtMF,Bad Bunny
44,"Rouh W Nsani
Yasmeen",2,50.0,16,26709,Rouh W Nsani,Yasmeen
45,"Winter Ahead (with PARK HYO SHIN)
V, Park Hyo Shin",5,101.0,22,26413,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
46,"CHANEL
Tyla",7,61.0,17,25662,CHANEL,Tyla
47,"We Are The People
Empire Of The Sun",37,37.0,52,25014,We Are The People,Empire Of The Sun
48,"The Winner Takes It All
ABBA",30,47.0,26,24881,The Winner Takes It All,ABBA
49,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",49,76.0,5,24818,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
50,"يا ناس
مامون النطاح, Osama Naji",30,46.0,15,24751,يا ناس,"مامون النطاح, Osama Naji"
51,"Golden Brown
The Stranglers",51,52.0,29,24746,Golden Brown,The Stranglers
52,"Let It Happen
Tame Impala",52,60.0,44,24738,Let It Happen,Tame Impala
53,"Gabriela
KATSEYE",10,44.0,36,24718,Gabriela,KATSEYE
54,"على تحني لوكان يادنيا
صابر الجميعي",32,68.0,20,24570,على تحني لوكان يادنيا,صابر الجميعي
55,"Heseeny
TUL8TE",2,23.0,27,24376,Heseeny,TUL8TE
56,"like JENNIE
JENNIE",1,56.0,51,24333,like JENNIE,JENNIE
57,"So Easy (To Fall In Love)
Olivia Dean",57,62.0,19,24322,So Easy (To Fall In Love),Olivia Dean
58,"From The Start
Laufey",35,55.0,42,23968,From The Start,Laufey
59,"Horomat
Qassem Al Sultan",13,57.0,36,23348,Horomat,Qassem Al Sultan
