rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Man I Need
Olivia Dean",1,1.0,28,2480645,Man I Need,Olivia Dean
2,"So Easy (To Fall In Love)
Olivia Dean",2,2.0,22,1729137,So Easy (To Fall In Love),Olivia Dean
3,"Rein Me In (with Olivia Dean)
Sam Fender, Olivia Dean",3,8.0,25,1531818,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean"
4,"Homewrecker
sombr",4,4.0,3,1403002,Homewrecker,sombr
5,"WHERE IS MY HUSBAND!
RAYE",3,3.0,23,1338215,WHERE IS MY HUSBAND!,RAYE
6,"Raindance (feat. Tems)
Dave, Tems",5,5.0,18,1309203,Raindance (feat. Tems),"Dave, Tems"
7,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",7,16.0,8,1280215,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
8,"12 to 12
sombr",4,6.0,31,1276194,12 to 12,sombr
9,"No Broke Boys
Disco Lines, Tinashe",2,9.0,38,1214658,No Broke Boys,"Disco Lines, Tinashe"
10,"Lush Life
Zara Larsson",7,7.0,15,1201062,Lush Life,Zara Larsson
11,"Nice To Each Other
Olivia Dean",7,12.0,38,1194303,Nice To Each Other,Olivia Dean
12,"End of Beginning
Djo",2,11.0,16,1186701,End of Beginning,Djo
13,"The Fate of Ophelia
Taylor Swift",1,13.0,21,1095090,The Fate of Ophelia,Taylor Swift
14,"Ordinary
Alex Warren",1,14.0,55,1040928,Ordinary,Alex Warren
15,"back to friends
sombr",2,15.0,50,1036499,back to friends,sombr
16,"iloveitiloveitiloveit
Bella Kay",16,50.0,3,958191,iloveitiloveitiloveit,Bella Kay
17,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,17.0,36,952362,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
18,"DtMF
Bad Bunny",3,10.0,4,947907,DtMF,Bad Bunny
19,"I Just Might
Bruno Mars",9,19.0,7,942502,I Just Might,Bruno Mars
20,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)
White Noise Radiance, Rain Sounds",18,18.0,4,879495,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","White Noise Radiance, Rain Sounds"
21,"Choosin' Texas
Ella Langley",21,21.0,9,868398,Choosin' Texas,Ella Langley
22,"Babydoll
Dominic Fike",22,32.0,7,848396,Babydoll,Dominic Fike
23,"The Hardest Part
Olivia Dean",20,20.0,27,840305,The Hardest Part,Olivia Dean
24,"Dreams - 2004 Remaster
Fleetwood Mac",7,25.0,322,829124,Dreams - 2004 Remaster,Fleetwood Mac
25,"Mr. Brightside
The Killers",14,24.0,479,815195,Mr. Brightside,The Killers
26,"A Couple Minutes
Olivia Dean",22,22.0,21,810938,A Couple Minutes,Olivia Dean
27,"Iris
The Goo Goo Dolls",13,23.0,217,797161,Iris,The Goo Goo Dolls
28,"Die On This Hill
SIENNA SPIRO",19,27.0,9,794328,Die On This Hill,SIENNA SPIRO
29,"undressed
sombr",2,26.0,49,788986,undressed,sombr
30,"Love Me Not
Ravyn Lenae",4,30.0,53,756546,Love Me Not,Ravyn Lenae
31,"Ok Love You Bye
Olivia Dean",31,36.0,26,751512,Ok Love You Bye,Olivia Dean
32,"Baby Steps
Olivia Dean",16,33.0,22,745479,Baby Steps,Olivia Dean
33,"Opalite
Taylor Swift",2,29.0,21,722465,Opalite,Taylor Swift
34,"DAISIES
Justin Bieber",1,28.0,33,719887,DAISIES,Justin Bieber
35,"Beautiful Things
Benson Boone",1,38.0,110,696835,Beautiful Things,Benson Boone
36,"Dive
Olivia Dean",23,35.0,27,691771,Dive,Olivia Dean
37,"The Great Divide
Noah Kahan",16,37.0,4,690144,The Great Divide,Noah Kahan
38,"I Run
HAVEN., Kaitlin Aragon",11,41.0,14,635818,I Run,"HAVEN., Kaitlin Aragon"
39,"Sex on Fire
Kings of Leon",38,46.0,217,627210,Sex on Fire,Kings of Leon
40,"Lose Control
Teddy Swims",5,44.0,121,621095,Lose Control,Teddy Swims
41,"Victory Lap
Fred again.., Skepta, Plaqueboymax",4,45.0,37,610554,Victory Lap,"Fred again.., Skepta, Plaqueboymax"
