rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"DtMF
Bad Bunny",1,1.0,6,383341,DtMF,Bad Bunny
2,"melodrama
disiz, Theodora",1,2.0,21,362681,melodrama,"disiz, Theodora"
3,"MON BÉBÉ
RnBoi",1,3.0,18,351606,MON BÉBÉ,RnBoi
4,"WHERE IS MY HUSBAND!
RAYE",2,6.0,23,340538,WHERE IS MY HUSBAND!,RAYE
5,"End of Beginning
Djo",1,5.0,15,339560,End of Beginning,Djo
6,"Lush Life
Zara Larsson",4,4.0,37,330259,Lush Life,Zara Larsson
7,"Man I Need
Olivia Dean",4,8.0,27,322567,Man I Need,Olivia Dean
8,"Raindance (feat. Tems)
Dave, Tems",4,7.0,18,319027,Raindance (feat. Tems),"Dave, Tems"
9,"The Fate of Ophelia
Taylor Swift",1,9.0,21,314933,The Fate of Ophelia,Taylor Swift
10,"Die On This Hill
SIENNA SPIRO",10,15.0,16,267974,Die On This Hill,SIENNA SPIRO
11,"B.M.S (by my side)
Rambo goyard",10,12.0,7,263832,B.M.S (by my side),Rambo goyard
12,"NUEVAYoL
Bad Bunny",7,10.0,4,260341,NUEVAYoL,Bad Bunny
13,"No Broke Boys
Disco Lines, Tinashe",4,17.0,33,254425,No Broke Boys,"Disco Lines, Tinashe"
14,"Ordinary
Alex Warren",1,13.0,55,252059,Ordinary,Alex Warren
15,"LOVE YOU
Nono La Grinta",7,14.0,17,249219,LOVE YOU,Nono La Grinta
16,"Tití Me Preguntó
Bad Bunny",11,11.0,3,246026,Tití Me Preguntó,Bad Bunny
17,"So Easy (To Fall In Love)
Olivia Dean",13,21.0,22,239490,So Easy (To Fall In Love),Olivia Dean
18,"Lekker voor je
Lil Kleine",18,,1,238064,Lekker voor je,Lil Kleine
19,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,16.0,35,236490,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
20,"12 to 12
sombr",17,19.0,31,233228,12 to 12,sombr
21,"Argent Sale - A COLORS SHOW
La Rvfleuze, COLORS",21,127.0,2,222811,Argent Sale - A COLORS SHOW,"La Rvfleuze, COLORS"
22,"I Just Might
Bruno Mars",13,22.0,7,222755,I Just Might,Bruno Mars
23,"PARISIENNE
GIMS, La Mano 1.9",1,20.0,30,219797,PARISIENNE,"GIMS, La Mano 1.9"
24,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",24,38.0,6,206763,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
25,"Babydoll
Dominic Fike",25,31.0,4,203175,Babydoll,Dominic Fike
26,"Love Me Not
Ravyn Lenae",4,26.0,48,192856,Love Me Not,Ravyn Lenae
27,"BAILE INoLVIDABLE
Bad Bunny",11,18.0,4,188118,BAILE INoLVIDABLE,Bad Bunny
28,"Zoo
Disney, Shakira",28,34.0,9,186963,Zoo,"Disney, Shakira"
29,"AVEC MOI
RnBoi, Nono La Grinta",15,24.0,6,186069,AVEC MOI,"RnBoi, Nono La Grinta"
30,"back to friends
sombr",8,29.0,49,184407,back to friends,sombr
31,"Génération impolie
Franglish, KeBlack",12,23.0,19,182245,Génération impolie,"Franglish, KeBlack"
32,"OG
Genezio, Niska",20,25.0,9,179713,OG,"Genezio, Niska"
33,"Eternity
Alex Warren",10,32.0,32,177810,Eternity,Alex Warren
34,"I Run
HAVEN., Kaitlin Aragon",14,36.0,14,168637,I Run,"HAVEN., Kaitlin Aragon"
35,"Waar Was Je?
Qlas",13,27.0,6,168465,Waar Was Je?,Qlas
36,"Homewrecker
sombr",36,47.0,3,168260,Homewrecker,sombr
37,"SPA
GIMS, Theodora",21,33.0,6,167734,SPA,"GIMS, Theodora"
38,"RUINART
R2",5,30.0,36,165685,RUINART,R2
39,"Mr. Brightside
The Killers",29,43.0,165,158742,Mr. Brightside,The Killers
40,"Midnight Sun
Zara Larsson",40,40.0,9,158013,Midnight Sun,Zara Larsson
