rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"DUBAI
Jere Klein, Jairo Vera, Gittobeatz",1,1.0,2,1911023,DUBAI,"Jere Klein, Jairo Vera, Gittobeatz"
2,"ALO
Katteyes, SINAKA",1,2.0,4,1791014,ALO,"Katteyes, SINAKA"
3,"SENDA BELLAKONA
SINAKA",1,3.0,14,1315955,SENDA BELLAKONA,SINAKA
4,"Who
Jimin",1,5.0,84,1203119,Who,Jimin
5,"BAILE INoLVIDABLE
Bad Bunny",1,4.0,60,1040519,BAILE INoLVIDABLE,Bad Bunny
6,"EoO
Bad Bunny",6,6.0,60,989491,EoO,Bad Bunny
7,"DtMF
Bad Bunny",1,7.0,60,921715,DtMF,Bad Bunny
8,"Pasajero
King Savagge, Lyon la f, Katteyes, Lewis Somes",1,11.0,15,895642,Pasajero,"King Savagge, Lyon la f, Katteyes, Lewis Somes"
9,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",3,10.0,11,862628,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
10,"NUEVAYoL
Bad Bunny",5,8.0,60,839846,NUEVAYoL,Bad Bunny
11,"Cuando No Era Cantante
El Bogueto, Yung Beef",3,14.0,19,822904,Cuando No Era Cantante,"El Bogueto, Yung Beef"
12,"VOY A LLeVARTE PA PR
Bad Bunny",1,9.0,60,809868,VOY A LLeVARTE PA PR,Bad Bunny
13,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",3,12.0,60,784451,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
14,"Marbella
Lucky Brown, Lyon la f, Tobal Mj, Tony El Golden Boy, Lamelodiadelhampa, JhonAlex, Germanini, Renaglock, Mateo on the Beatz, IGNACIO ON THE BEAT",13,13.0,3,752432,Marbella,"Lucky Brown, Lyon la f, Tobal Mj, Tony El Golden Boy, Lamelodiadelhampa, JhonAlex, Germanini, Renaglock, Mateo on the Beatz, IGNACIO ON THE BEAT"
15,"LA VILLA
Ryan Castro, Kapo, Gangsta",15,19.0,8,717568,LA VILLA,"Ryan Castro, Kapo, Gangsta"
16,"Comando Estelar
Germanini, Lyon la f, JhonAlex, Nacho G Flow",1,16.0,28,716724,Comando Estelar,"Germanini, Lyon la f, JhonAlex, Nacho G Flow"
17,"no tiene sentido
Beéle",6,17.0,41,713544,no tiene sentido,Beéle
18,"TU VAS SIN (fav)
Rels B",17,23.0,31,689925,TU VAS SIN (fav),Rels B
19,"Dardos
Romeo Santos, Prince Royce",14,22.0,9,681603,Dardos,"Romeo Santos, Prince Royce"
20,"TODO KE VER
Jere Klein, Katteyes, Mateo on the Beatz",1,20.0,29,663785,TODO KE VER,"Jere Klein, Katteyes, Mateo on the Beatz"
21,"KLOuFRENS
Bad Bunny",9,18.0,60,626341,KLOuFRENS,Bad Bunny
22,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",4,15.0,67,590702,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
23,"Puñaladas
Lauta, Amigo de Artistas, Tote",23,34.0,7,584362,Puñaladas,"Lauta, Amigo de Artistas, Tote"
24,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",2,28.0,53,568652,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
25,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",8,29.0,26,566333,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
26,"Tití Me Preguntó
Bad Bunny",6,21.0,8,549699,Tití Me Preguntó,Bad Bunny
27,"DESCONTROL
SINAKA, Easykid",15,27.0,14,547523,DESCONTROL,"SINAKA, Easykid"
28,"Me Mareo
Kidd Voodoo, JC Reyes",3,30.0,36,543915,Me Mareo,"Kidd Voodoo, JC Reyes"
29,"LUNA LLENA
Tobal Mj, Cris MJ, FloyyMenor",29,,1,542293,LUNA LLENA,"Tobal Mj, Cris MJ, FloyyMenor"
30,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",30,,1,532873,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
31,"QLOO*
Young Cister, Kreamly",1,32.0,40,532765,QLOO*,"Young Cister, Kreamly"
32,"COQUETA
Fuerza Regida, Grupo Frontera",24,26.0,45,530375,COQUETA,"Fuerza Regida, Grupo Frontera"
33,"Niño
Milo j",25,50.0,22,520546,Niño,Milo j
34,"TU Y YO
Jere Klein, Bayriton, Adan La Amenaza",1,40.0,18,520353,TU Y YO,"Jere Klein, Bayriton, Adan La Amenaza"
35,"Troka
Jairo Vera, Juhn",35,38.0,4,513774,Troka,"Jairo Vera, Juhn"
36,"mi refe
Beéle, Ovy On The Drums",10,35.0,62,509464,mi refe,"Beéle, Ovy On The Drums"
37,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",9,39.0,37,505976,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
38,"El Teléfono
Héctor ""El Father"", Wisin & Yandel",20,37.0,34,504356,El Teléfono,"Héctor ""El Father"", Wisin & Yandel"
39,"Tiene
Tobal Mj, Lucky Brown, Nacho G Flow",3,36.0,52,503028,Tiene,"Tobal Mj, Lucky Brown, Nacho G Flow"
40,"BAILAME ASI
Katteyes, Jere Klein, Lucky Brown",1,43.0,36,491165,BAILAME ASI,"Katteyes, Jere Klein, Lucky Brown"
