rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Minder Hos Andre Freestyle
Anton Westerlin, Mille",1,1.0,3,474245,Minder Hos Andre Freestyle,"Anton Westerlin, Mille"
2,"Vil du noget?
Guldimund, Saveus",1,2.0,21,369975,Vil du noget?,"Guldimund, Saveus"
3,"Man I Need
Olivia Dean",2,3.0,28,354586,Man I Need,Olivia Dean
4,"Ligeglad Ligeglad
Anna Frida, MGP",4,91.0,4,353219,Ligeglad Ligeglad,"Anna Frida, MGP"
5,"En drøm om et menneske
APHACA",1,5.0,42,330950,En drøm om et menneske,APHACA
6,"QueenPop Dance
QueenPops, MGP",6,54.0,4,307508,QueenPop Dance,"QueenPops, MGP"
7,"Raindance (feat. Tems)
Dave, Tems",4,4.0,18,307490,Raindance (feat. Tems),"Dave, Tems"
8,"Skyggebokser
ozzy",8,,1,284162,Skyggebokser,ozzy
9,"Før Vi Går Hjem
Søren Torpegaard Lund",7,7.0,2,279799,Før Vi Går Hjem,Søren Torpegaard Lund
10,"Kogeplade
Katinka",8,8.0,32,273013,Kogeplade,Katinka
11,"Kom Tilbage, Augusta
Viola, MGP",11,71.0,4,267987,"Kom Tilbage, Augusta","Viola, MGP"
12,"Vi' Først Lige Begyndt
MGP Allstars 2026, MGP",12,63.0,4,254427,Vi' Først Lige Begyndt,"MGP Allstars 2026, MGP"
13,"Stolt (feat. Lamin)
Annika, Lamin",1,15.0,43,252931,Stolt (feat. Lamin),"Annika, Lamin"
14,"So Easy (To Fall In Love)
Olivia Dean",12,14.0,22,244464,So Easy (To Fall In Love),Olivia Dean
15,"I Pisser Mig Af
NFS, MGP",15,103.0,4,244279,I Pisser Mig Af,"NFS, MGP"
16,"ingen andre (feat. Annika)
Mille, Annika",7,10.0,5,232980,ingen andre (feat. Annika),"Mille, Annika"
17,"DtMF
Bad Bunny",3,6.0,4,229489,DtMF,Bad Bunny
18,"Smelter Under Månen
APHACA",2,23.0,79,226655,Smelter Under Månen,APHACA
19,"drømmefanger (feat. URO)
Mille, URO",2,17.0,7,221480,drømmefanger (feat. URO),"Mille, URO"
20,"Vi Vil Ikk’ Ha’ Mobning
Nathaniel, MGP",20,108.0,4,217881,Vi Vil Ikk’ Ha’ Mobning,"Nathaniel, MGP"
21,"Homewrecker
sombr",20,20.0,3,217405,Homewrecker,sombr
22,"hader ik mig selv sammen med dig
Mille",6,27.0,22,211862,hader ik mig selv sammen med dig,Mille
23,"Crush På Dig
Første Sekund, MGP",23,122.0,3,206169,Crush På Dig,"Første Sekund, MGP"
24,"Tití Me Preguntó
Bad Bunny",11,11.0,3,204739,Tití Me Preguntó,Bad Bunny
25,"Lush Life
Zara Larsson",8,18.0,17,201235,Lush Life,Zara Larsson
26,"I Just Might
Bruno Mars",7,32.0,7,198409,I Just Might,Bruno Mars
27,"Hele Vejen (feat. Mumle)
Omar, Mumle",1,28.0,55,198192,Hele Vejen (feat. Mumle),"Omar, Mumle"
28,"WHERE IS MY HUSBAND!
RAYE",9,21.0,23,197525,WHERE IS MY HUSBAND!,RAYE
29,"If u kno u kno (feat. Karoline Mousing)
KEDDE, Karoline Mousing",2,16.0,9,197223,If u kno u kno (feat. Karoline Mousing),"KEDDE, Karoline Mousing"
30,"Op Next
Bassam, MGP",30,145.0,2,196314,Op Next,"Bassam, MGP"
31,"The Fate of Ophelia
Taylor Swift",1,25.0,21,195519,The Fate of Ophelia,Taylor Swift
