rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Msh Awl Marra
Lege-Cy, Ghaliaa",1,1.0,5,466503,Msh Awl Marra,"Lege-Cy, Ghaliaa"
2,"3alam Kadaba - From The TV Series Ma Trah Lays Kama Ybdo
Lege-Cy",2,4.0,27,372998,3alam Kadaba - From The TV Series Ma Trah Lays Kama Ybdo,Lege-Cy
3,"كله اتساوس واتكالب ( انا عندي حاسه سابعه )
Essam Sasa",3,7.0,7,309765,كله اتساوس واتكالب ( انا عندي حاسه سابعه ),Essam Sasa
4,"Be3teeny Leh | Red Bull Mazzika Salonat
Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika",1,3.0,13,305689,Be3teeny Leh | Red Bull Mazzika Salonat,"Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika"
5,"Kan 3ala 3eny (Red Bull Mazzika Salonat)
Lege-Cy, Hamid Al Shaeri, Ismail Nosrat, Red Bull Sika",2,2.0,3,302156,Kan 3ala 3eny (Red Bull Mazzika Salonat),"Lege-Cy, Hamid Al Shaeri, Ismail Nosrat, Red Bull Sika"
6,"سوا سوا
Bahaa Sultan",6,,1,260028,سوا سوا,Bahaa Sultan
7,"Seneen
TUL8TE",3,12.0,7,257157,Seneen,TUL8TE
8,"El Waat El Daye3
Lege-Cy",6,11.0,15,255803,El Waat El Daye3,Lege-Cy
9,"معايا
Bahaa Sultan",2,8.0,14,253605,معايا,Bahaa Sultan
10,"LAW NASYANY
Lege-Cy, Ismail Nosrat",2,9.0,39,253482,LAW NASYANY,"Lege-Cy, Ismail Nosrat"
11,"El Neyya
Lege-Cy",7,13.0,70,252337,El Neyya,Lege-Cy
12,"هنا مصر هفضل كل مرة اجيلك
Bahaa Sultan, Mahmoud El Esseily, Banque Misr",12,,1,249498,هنا مصر هفضل كل مرة اجيلك,"Bahaa Sultan, Mahmoud El Esseily, Banque Misr"
13,"Makrehtosh
Tamer Ashour",2,6.0,58,243141,Makrehtosh,Tamer Ashour
14,"انت فاردلي ضلوعك - شبشب مستهلسك
مصطفي الجن و هادي الصغير - تيم الابداع, Karim Cristiano",9,16.0,14,242659,انت فاردلي ضلوعك - شبشب مستهلسك,"مصطفي الجن و هادي الصغير - تيم الابداع, Karim Cristiano"
15,"WALA MEEN
ZIAD ZAZA, Ismail Nosrat, Lege-Cy",4,10.0,34,235073,WALA MEEN,"ZIAD ZAZA, Ismail Nosrat, Lege-Cy"
16,"Emshy
Tommyy, Rally",3,19.0,61,202923,Emshy,"Tommyy, Rally"
17,"Heseeny
TUL8TE",1,14.0,30,200981,Heseeny,TUL8TE
18,"AGBHA
ZIAD ZAZA, 5mstashr",12,21.0,11,196215,AGBHA,"ZIAD ZAZA, 5mstashr"
19,"Shedeeny
TUL8TE",4,18.0,30,195835,Shedeeny,TUL8TE
20,"هو الصح فين ؟
Magdy El Zahar",20,22.0,16,195657,هو الصح فين ؟,Magdy El Zahar
21,"Etghayart
Tommyy, Rally",8,20.0,60,190510,Etghayart,"Tommyy, Rally"
22,"حبك شي توماتيكى ( انت قاعد بتحب وهيا بتشرب فيب )
Karim Cristiano",20,23.0,10,177454,حبك شي توماتيكى ( انت قاعد بتحب وهيا بتشرب فيب ),Karim Cristiano
23,"El Hob Gany
TUL8TE",1,17.0,21,174591,El Hob Gany,TUL8TE
24,"لبسي برندات ( مفيش غيرك انتي يا مامت حيما )
Essam Sasa",21,26.0,8,171912,لبسي برندات ( مفيش غيرك انتي يا مامت حيما ),Essam Sasa
25,"مرزمن
Shehab",19,36.0,82,159840,مرزمن,Shehab
26,"El Ayam
Wegz",22,33.0,28,155807,El Ayam,Wegz
27,"Yazmeely
Mond",2,43.0,135,149345,Yazmeely,Mond
28,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",4,109.0,15,148804,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
29,"LEH
Nasser, Kay",18,34.0,18,147711,LEH,"Nasser, Kay"
30,"لما بيوحشني
Ramy Sabry",9,24.0,132,146269,لما بيوحشني,Ramy Sabry
31,"Sahran Belel
Ahmed Bahaa, Lege-Cy",30,37.0,10,142769,Sahran Belel,"Ahmed Bahaa, Lege-Cy"
32,"خيبت توقعاتك
Houda Bondok",32,63.0,9,141401,خيبت توقعاتك,Houda Bondok
33,"Ghebet El Habayeb
Tamer Ashour",17,30.0,58,140625,Ghebet El Habayeb,Tamer Ashour
34,"الجاي بتاعي
Houda Bondok",4,40.0,37,140170,الجاي بتاعي,Houda Bondok
35,"ضمّة - Damma
Yasmina El-Abd, Aley Eldin Omar, WRST Studio",8,35.0,11,138711,ضمّة - Damma,"Yasmina El-Abd, Aley Eldin Omar, WRST Studio"
36,"الحب عيبنا
Ramy Sabry",7,29.0,50,135936,الحب عيبنا,Ramy Sabry
37,"Yaah
Tamer Ashour",8,28.0,62,131073,Yaah,Tamer Ashour
38,"Nasy - From The TV Series Ma Trah Lays Kama Ybdo
Tommyy",19,54.0,23,129869,Nasy - From The TV Series Ma Trah Lays Kama Ybdo,Tommyy
39,"Seket Leh
Ramy Sabry",11,44.0,86,127988,Seket Leh,Ramy Sabry
40,"Ragea
Amr Diab",19,41.0,65,127646,Ragea,Amr Diab
41,"Maalosh Beymot Leh ?
ZIAD ZAZA",30,62.0,8,126742,Maalosh Beymot Leh ?,ZIAD ZAZA
42,"البخت
Wegz",1,46.0,209,124967,البخت,Wegz
43,"Meen Ysadak
nour, Eldab3",9,64.0,25,124949,Meen Ysadak,"nour, Eldab3"
44,"Ana Meen
زاد",4,55.0,62,123388,Ana Meen,زاد
45,"Sebtely Alby
Angham",20,38.0,23,123383,Sebtely Alby,Angham
46,"Basrah w Atooh
Cairokee",4,51.0,179,122343,Basrah w Atooh,Cairokee
47,"Ramadan Fi Masr Haja Taniah
Hussain Aljassmi",3,5.0,4,119936,Ramadan Fi Masr Haja Taniah,Hussain Aljassmi
48,"Betadeen
Lege-Cy",11,83.0,73,118139,Betadeen,Lege-Cy
49,"Sunnet El Hayah (orange Ramadan 2020)
Hussain Aljassmi",18,27.0,3,117243,Sunnet El Hayah (orange Ramadan 2020),Hussain Aljassmi
50,"و افتكرت
Mohamed Hamaki",23,39.0,132,116959,و افتكرت,Mohamed Hamaki
51,"هيجيلي موجوع
Tamer Ashour",1,32.0,111,116366,هيجيلي موجوع,Tamer Ashour
52,"عالعموم
Shehab",1,56.0,105,116307,عالعموم,Shehab
53,"احلي باي باي من غير ازاي ( قدم السبت هتلاقي الاحد )
Essam Sasa",9,60.0,16,115334,احلي باي باي من غير ازاي ( قدم السبت هتلاقي الاحد ),Essam Sasa
54,"Awel Kol Haga
Amr Diab",29,57.0,43,114436,Awel Kol Haga,Amr Diab
55,"محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا
Essam Sasa",2,50.0,46,113425,محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا,Essam Sasa
56,"وسط دموع وجراح
Essam Sasa",13,80.0,243,113356,وسط دموع وجراح,Essam Sasa
57,"سامعك
Teefo",39,78.0,60,113255,سامعك,Teefo
58,"بخ بخ بخ عو
حمو المرشدي",58,105.0,9,111686,بخ بخ بخ عو,حمو المرشدي
59,"أول حب
Maha Ftouni",12,45.0,31,111470,أول حب,Maha Ftouni
60,"الزم معايا حدودك ( بما ان كلو اتجاحد )
Essam Sasa",11,59.0,14,110053,الزم معايا حدودك ( بما ان كلو اتجاحد ),Essam Sasa
61,"Hayaty Msh Tamam
Ramy Sabry",20,47.0,16,108255,Hayaty Msh Tamam,Ramy Sabry
62,"Law Tigi
Ahmed Saad",46,49.0,22,108095,Law Tigi,Ahmed Saad
63,"Kadaba
Karim Osama",4,67.0,54,107089,Kadaba,Karim Osama
64,"Denamet
Molotof, Marwan Pablo",6,99.0,129,106075,Denamet,"Molotof, Marwan Pablo"
