rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"NI BORRACHO
Quevedo",1,1.0,2,3204081,NI BORRACHO,Quevedo
2,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",2,,1,2394626,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
3,"WO OH OH
Omar Courtz, ROA",3,,1,1914156,WO OH OH,"Omar Courtz, ROA"
4,"Dardos
Romeo Santos, Prince Royce",1,5.0,13,1899886,Dardos,"Romeo Santos, Prince Royce"
5,"$UELTA GATITA $UELTA
Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",5,,1,1896704,$UELTA GATITA $UELTA,"Omar Courtz, Dei V, Clarent, Tito ""El Bambino"""
6,"SUPERESTRELLA
Aitana",2,4.0,39,1890502,SUPERESTRELLA,Aitana
7,"LA VILLA
Ryan Castro, Kapo, Gangsta",4,6.0,9,1793371,LA VILLA,"Ryan Castro, Kapo, Gangsta"
8,"BAILE INoLVIDABLE
Bad Bunny",1,2.0,60,1708002,BAILE INoLVIDABLE,Bad Bunny
9,"NUEVAYoL
Bad Bunny",2,3.0,60,1665303,NUEVAYoL,Bad Bunny
10,"La Perla
ROSALÍA, Yahritza Y Su Esencia",1,8.0,16,1575999,La Perla,"ROSALÍA, Yahritza Y Su Esencia"
11,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,10.0,53,1498362,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
12,"LOQUITA
JC Reyes, Slayter",4,9.0,16,1485557,LOQUITA,"JC Reyes, Slayter"
13,"TU VAS SIN (fav)
Rels B",1,11.0,36,1468478,TU VAS SIN (fav),Rels B
14,"DtMF
Bad Bunny",1,7.0,60,1417605,DtMF,Bad Bunny
15,"WHAT U NEED? (SexPlaylist 2)
Omar Courtz, Myke Towers",15,,1,1373872,WHAT U NEED? (SexPlaylist 2),"Omar Courtz, Myke Towers"
16,"MVLAN
YOVNGCHIMI, JC Reyes",13,13.0,6,1373063,MVLAN,"YOVNGCHIMI, JC Reyes"
17,"TUCHAT
Quevedo",1,12.0,34,1365546,TUCHAT,Quevedo
18,"no tiene sentido
Beéle",1,16.0,41,1347921,no tiene sentido,Beéle
19,"COMERNOS
Omar Courtz, Bad Gyal",5,58.0,45,1289427,COMERNOS,"Omar Courtz, Bad Gyal"
20,"SI ESTÁS CON ALGUIEN
Omar Courtz",20,,1,1241240,SI ESTÁS CON ALGUIEN,Omar Courtz
21,"POR SI MAÑANA NO ESTOY
Omar Courtz",21,,1,1234758,POR SI MAÑANA NO ESTOY,Omar Courtz
22,"BIENVENIDA
Clarent",17,20.0,7,1212574,BIENVENIDA,Clarent
23,"Choque
Bad Gyal, Chencho Corleone",15,15.0,2,1206977,Choque,"Bad Gyal, Chencho Corleone"
24,"EL MUNDO SE VA A ACABAR
Omar Courtz, KARBeats",24,177.0,10,1206425,EL MUNDO SE VA A ACABAR,"Omar Courtz, KARBeats"
25,"Me Mareo
Kidd Voodoo, JC Reyes",1,23.0,35,1199403,Me Mareo,"Kidd Voodoo, JC Reyes"
26,"capaz (merengueton)
Alleh, Yorghaki",1,25.0,65,1199118,capaz (merengueton),"Alleh, Yorghaki"
27,"Talento
Yan Block, Panda Black",12,24.0,23,1166794,Talento,"Yan Block, Panda Black"
28,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",1,27.0,37,1162939,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
29,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",10,17.0,11,1160626,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
30,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",5,21.0,27,1141965,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
31,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66
Bizarrap, Daddy Yankee",2,26.0,17,1121789,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","Bizarrap, Daddy Yankee"
32,"EoO
Bad Bunny",9,14.0,60,1115469,EoO,Bad Bunny
33,"LOVE
Clarent",2,22.0,19,1113951,LOVE,Clarent
