rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"כולם גנבים
Osher Cohen",1,27.0,2,479066,כולם גנבים,Osher Cohen
2,"משפחה וכבוד
Omer Adam",2,47.0,2,462532,משפחה וכבוד,Omer Adam
3,"בן 32
Omer Adam",3,125.0,2,386596,בן 32,Omer Adam
4,"פלאזה אתנה
Omer Adam",4,70.0,2,366832,פלאזה אתנה,Omer Adam
5,"תקופה חרא
Omer Adam",5,167.0,2,351635,תקופה חרא,Omer Adam
6,"אורות כחולים
Omer Adam",6,94.0,2,316504,אורות כחולים,Omer Adam
7,"רולקס וקסקט
Eden Ben Zaken",1,1.0,8,299785,רולקס וקסקט,Eden Ben Zaken
8,"לילות יפים
Omer Adam, Gal Adam, רואי אדם",8,109.0,2,286051,לילות יפים,"Omer Adam, Gal Adam, רואי אדם"
9,"פינה של שקט
Omer Adam",9,134.0,2,275148,פינה של שקט,Omer Adam
10,"מלכת הדור
Omer Adam",1,2.0,38,267111,מלכת הדור,Omer Adam
11,"יש יותר מדי שירים היום
Omer Adam",11,111.0,2,255175,יש יותר מדי שירים היום,Omer Adam
12,"אלבי
Omer Adam",12,93.0,2,253264,אלבי,Omer Adam
13,"השיר שאת אהבת
Omer Adam",2,4.0,38,246254,השיר שאת אהבת,Omer Adam
14,"שירתו של החורף
Omer Adam",14,126.0,2,245221,שירתו של החורף,Omer Adam
15,"אם את כבר הולכת
נדב חנציס",1,3.0,41,237368,אם את כבר הולכת,נדב חנציס
16,"לא שם
Osher Cohen",16,50.0,2,233066,לא שם,Osher Cohen
17,"מישהו שמזכיר אותי
Omer Adam",17,170.0,2,232853,מישהו שמזכיר אותי,Omer Adam
18,"ריו דה ז'נרו
Omer Adam",18,181.0,2,232563,ריו דה ז'נרו,Omer Adam
19,"בכל יום שאיבדתי אותך
Osher Cohen",19,44.0,2,231622,בכל יום שאיבדתי אותך,Osher Cohen
20,"שונא את תל אביב
Osher Cohen",20,57.0,2,230937,שונא את תל אביב,Osher Cohen
21,"אהבה ראשונה
נדב חנציס",13,13.0,3,219129,אהבה ראשונה,נדב חנציס
22,"להינשא הלילה (רצועת בונוס)
Omer Adam",22,,1,216586,להינשא הלילה (רצועת בונוס),Omer Adam
23,"הסוף הזה
Omer Adam",23,,1,215309,הסוף הזה,Omer Adam
