rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Sen!
Shiza, Aikyn Tolepbergen",1,1.0,8,115792,Sen!,"Shiza, Aikyn Tolepbergen"
2,"Keipker
Ernar Amandyq",1,2.0,53,91593,Keipker,Ernar Amandyq
3,"Babydoll
Dominic Fike",3,6.0,6,91497,Babydoll,Dominic Fike
4,"Love Me Not
Ravyn Lenae",4,4.0,12,88638,Love Me Not,Ravyn Lenae
5,"Любовь HD1080
Kaspiyskiy Gruz",3,3.0,58,82830,Любовь HD1080,Kaspiyskiy Gruz
6,"Асылым
elemeimin",3,5.0,56,78543,Асылым,elemeimin
7,"Unaidy Janym
Арман Сейтжаппар",5,8.0,11,74095,Unaidy Janym,Арман Сейтжаппар
8,"Романс
PIZZA",8,92.0,3,71137,Романс,PIZZA
9,"Ерке Қыз
Aikyn Tolepbergen",8,9.0,40,70029,Ерке Қыз,Aikyn Tolepbergen
10,"священная война
урал гайсин",10,23.0,20,67410,священная война,урал гайсин
11,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",11,16.0,7,67378,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
12,"Meni kut
Ernar Amandyq",3,10.0,47,67361,Meni kut,Ernar Amandyq
13,"Дэнс
9 Gramm",13,22.0,10,67215,Дэнс,9 Gramm
14,"Raindance (feat. Tems)
Dave, Tems",14,20.0,6,66364,Raindance (feat. Tems),"Dave, Tems"
15,"Дыши
Elbrus Djanmirzoev",14,14.0,11,65692,Дыши,Elbrus Djanmirzoev
16,"Country
IL'HAN",3,15.0,38,63844,Country,IL'HAN
17,"Сүйгенім
Aikyn Tolepbergen",1,7.0,43,63229,Сүйгенім,Aikyn Tolepbergen
18,"Баяғыдай
Duman",4,11.0,73,62262,Баяғыдай,Duman
19,"Северное сияние
Ivan Dorn",10,24.0,59,62220,Северное сияние,Ivan Dorn
20,"COOOK PARDON
Lvbel C5, AKDO",10,12.0,5,62164,COOOK PARDON,"Lvbel C5, AKDO"
21,"Algabas
De Lacure",3,13.0,46,62044,Algabas,De Lacure
22,"Taspa
Dosekesh",17,19.0,100,61644,Taspa,Dosekesh
23,"Men Seni Suyemin
Son Pascal",11,18.0,130,61515,Men Seni Suyemin,Son Pascal
24,"Жалғыз жұлдыз - """"Из К / Ф ""Ғашықпын Саған""
Жасұлан Көпберген",24,37.0,2,60135,"Жалғыз жұлдыз - """"Из К / Ф ""Ғашықпын Саған""",Жасұлан Көпберген
25,"10
Endspiel",3,17.0,32,60106,10,Endspiel
26,"нужна
M'Dee",4,33.0,46,59532,нужна,M'Dee
27,"Бақытыңды табасың
Kazybek Kuraiysh",4,21.0,79,59118,Бақытыңды табасың,Kazybek Kuraiysh
28,"nuts
Lil Peep, rainy bear",16,29.0,76,58891,nuts,"Lil Peep, rainy bear"
29,"Gashyqpyn sagan - Live
ARShAT, dudeontheguitar",29,34.0,3,56592,Gashyqpyn sagan - Live,"ARShAT, dudeontheguitar"
30,"Mahabbatym
Moldanazar",19,30.0,133,56012,Mahabbatym,Moldanazar
