rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"DtMF
Bad Bunny",1,1.0,4,69771,DtMF,Bad Bunny
2,"Raindance (feat. Tems)
Dave, Tems",2,3.0,11,55545,Raindance (feat. Tems),"Dave, Tems"
3,"Babydoll
Dominic Fike",3,4.0,8,52764,Babydoll,Dominic Fike
4,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",4,18.0,9,50410,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
5,"Žvėris
Jessica Shy",1,7.0,38,49711,Žvėris,Jessica Shy
6,"Meilės Mašina
Solo Ansamblis",2,40.0,54,48495,Meilės Mašina,Solo Ansamblis
7,"Vienas
Free Finga",1,9.0,101,45758,Vienas,Free Finga
8,"End of Beginning
Djo",1,8.0,17,41695,End of Beginning,Djo
9,"MILIJONAS NAKTŲ
bielskis, Tautvydas Burauskas",3,49.0,44,40811,MILIJONAS NAKTŲ,"bielskis, Tautvydas Burauskas"
10,"Don’t Say You Love Me
Jin",1,14.0,41,39944,Don’t Say You Love Me,Jin
11,"12 to 12
sombr",5,10.0,31,39143,12 to 12,sombr
12,"Rudenį Rūkai
Elayork, Jessica Shy",1,23.0,14,39107,Rudenį Rūkai,"Elayork, Jessica Shy"
13,"NUEVAYoL
Bad Bunny",2,2.0,4,38786,NUEVAYoL,Bad Bunny
14,"Tití Me Preguntó
Bad Bunny",5,5.0,3,38025,Tití Me Preguntó,Bad Bunny
15,"back to friends
sombr",3,13.0,52,37021,back to friends,sombr
16,"Contact!
SHWR",16,17.0,4,36908,Contact!,SHWR
17,"BAILE INoLVIDABLE
Bad Bunny",3,6.0,4,35095,BAILE INoLVIDABLE,Bad Bunny
18,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",18,20.0,8,35069,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
19,"Vis Vien
Jessica Shy",1,35.0,49,33987,Vis Vien,Jessica Shy
20,"theclubrock
Benny Bellson",12,31.0,20,33743,theclubrock,Benny Bellson
21,"1000 Vėtrų
Jessica Shy",1,30.0,91,33228,1000 Vėtrų,Jessica Shy
22,"We Are The People
Empire Of The Sun",8,12.0,61,32997,We Are The People,Empire Of The Sun
23,"WHERE IS MY HUSBAND!
RAYE",9,21.0,23,32613,WHERE IS MY HUSBAND!,RAYE
24,"Skauda
Rokas Yan",24,126.0,17,32161,Skauda,Rokas Yan
25,"Phantom
EsDeeKid, Rico Ace",2,19.0,25,31458,Phantom,"EsDeeKid, Rico Ace"
26,"Lush Life
Zara Larsson",1,16.0,15,31057,Lush Life,Zara Larsson
27,"Homewrecker
sombr",24,24.0,3,30441,Homewrecker,sombr
28,"Man I Need
Olivia Dean",15,26.0,27,30286,Man I Need,Olivia Dean
29,"Deganti Žemelė
Atikin",2,15.0,5,29983,Deganti Žemelė,Atikin
30,"Kely Sustoja Laikas
Adomas Vyšniauskas",3,22.0,14,29922,Kely Sustoja Laikas,Adomas Vyšniauskas
31,"VISI ŽENKLAI
Justinas Jarutis, Aistè",8,44.0,21,29766,VISI ŽENKLAI,"Justinas Jarutis, Aistè"
32,"Apkabink
Jessica Shy",1,32.0,155,28987,Apkabink,Jessica Shy
33,"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)
A$AP Rocky, Imogen Heap, Clams Casino",5,25.0,124,28684,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino"
34,"Love Me Not
Ravyn Lenae",6,28.0,53,28622,Love Me Not,Ravyn Lenae
35,"Ašara
Jessica Shy",2,42.0,38,28198,Ašara,Jessica Shy
36,"The Fate of Ophelia
Taylor Swift",2,29.0,21,28197,The Fate of Ophelia,Taylor Swift
37,"So Easy (To Fall In Love)
Olivia Dean",31,34.0,21,28127,So Easy (To Fall In Love),Olivia Dean
38,"4 Raws
EsDeeKid",5,27.0,23,28051,4 Raws,EsDeeKid
39,"EoO
Bad Bunny",7,11.0,4,26971,EoO,Bad Bunny
40,"Pakeliui
Lilas ir Innomine, Justinas Jarutis",3,177.0,24,26207,Pakeliui,"Lilas ir Innomine, Justinas Jarutis"
41,"Just The Way You Are
Milky",41,55.0,4,26158,Just The Way You Are,Milky
