rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",1,1.0,8,93467,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
2,"3D (feat. Jack Harlow)
Jung Kook, Jack Harlow",2,2.0,5,59766,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow"
3,"Who
Jimin",1,4.0,84,59025,Who,Jimin
4,"Standing Next to You
Jung Kook",3,3.0,6,48296,Standing Next to You,Jung Kook
5,"Babydoll
Dominic Fike",5,7.0,7,41880,Babydoll,Dominic Fike
6,"Be Mine
Jimin",2,8.0,69,35223,Be Mine,Jimin
7,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",7,23.0,9,34110,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
8,"Raindance (feat. Tems)
Dave, Tems",8,12.0,11,31405,Raindance (feat. Tems),"Dave, Tems"
9,"End of Beginning
Djo",2,10.0,25,30195,End of Beginning,Djo
10,"PASĒDĒT
Deniss, Silraq, Sudrabu Sirds",1,13.0,17,29837,PASĒDĒT,"Deniss, Silraq, Sudrabu Sirds"
11,"DtMF
Bad Bunny",2,5.0,4,29746,DtMF,Bad Bunny
12,"Lush Life
Zara Larsson",5,11.0,15,28206,Lush Life,Zara Larsson
13,"back to friends
sombr",2,14.0,52,27188,back to friends,sombr
14,"Vējiem Līdzi
GACHO",8,18.0,30,25110,Vējiem Līdzi,GACHO
15,"WHERE IS MY HUSBAND!
RAYE",8,15.0,23,24971,WHERE IS MY HUSBAND!,RAYE
16,"Baudam!
Fiņķis",6,25.0,35,24918,Baudam!,Fiņķis
17,"Knife
ENHYPEN",1,9.0,6,24627,Knife,ENHYPEN
18,"Ēnā
Atvara",6,6.0,3,24535,Ēnā,Atvara
19,"12 to 12
sombr",3,20.0,31,24149,12 to 12,sombr
20,"We Are The People
Empire Of The Sun",3,16.0,61,23895,We Are The People,Empire Of The Sun
21,"Tuvums
Dons",7,17.0,18,23796,Tuvums,Dons
22,"Phantom
EsDeeKid, Rico Ace",3,19.0,25,23719,Phantom,"EsDeeKid, Rico Ace"
23,"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)
A$AP Rocky, Imogen Heap, Clams Casino",4,22.0,132,22909,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino"
24,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",24,24.0,8,22888,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
25,"4 Raws
EsDeeKid",6,21.0,22,22723,4 Raws,EsDeeKid
26,"КУПЕР
SQWOZ BAB",26,,1,21906,КУПЕР,SQWOZ BAB
27,"Homewrecker
sombr",27,27.0,3,21610,Homewrecker,sombr
28,"Love Me Not
Ravyn Lenae",4,29.0,53,20997,Love Me Not,Ravyn Lenae
29,"Drag Path
Twenty One Pilots",29,,1,20560,Drag Path,Twenty One Pilots
30,"Raķešu Zinātne
Fiņķis, Patrisha",1,32.0,113,20500,Raķešu Zinātne,"Fiņķis, Patrisha"
31,"theclubrock
Benny Bellson",31,45.0,7,20444,theclubrock,Benny Bellson
32,"Man I Need
Olivia Dean",23,30.0,27,20401,Man I Need,Olivia Dean
33,"The Fate of Ophelia
Taylor Swift",2,33.0,21,19405,The Fate of Ophelia,Taylor Swift
34,"No Broke Boys
Disco Lines, Tinashe",4,37.0,37,19276,No Broke Boys,"Disco Lines, Tinashe"
35,"Mūsu mīlestība
Sudden Lights",5,41.0,60,18915,Mūsu mīlestība,Sudden Lights
36,"Fame is a Gun
Addison Rae",33,35.0,13,18897,Fame is a Gun,Addison Rae
37,"Vēlvienreiz
Sudrabu Sirds",13,42.0,81,18810,Vēlvienreiz,Sudrabu Sirds
38,"So Easy (To Fall In Love)
Olivia Dean",38,44.0,9,18646,So Easy (To Fall In Love),Olivia Dean
