rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"MOON
Stormy",1,1.0,107,149931,MOON,Stormy
2,"Bali maak
Amine Farsi, Stormy",1,2.0,18,137903,Bali maak,"Amine Farsi, Stormy"
3,"TAF TAF
OldyGotTheSound, Anys, Shaw",1,3.0,39,126032,TAF TAF,"OldyGotTheSound, Anys, Shaw"
4,"Raindance (feat. Tems)
Dave, Tems",4,6.0,11,117991,Raindance (feat. Tems),"Dave, Tems"
5,"Dorororo
Gustavo 51",1,4.0,10,117873,Dorororo,Gustavo 51
6,"NGHAMER
Bayadis, Manal, Shaw",4,5.0,18,117428,NGHAMER,"Bayadis, Manal, Shaw"
7,"DAZOU LYAM
Shaw",3,7.0,28,98842,DAZOU LYAM,Shaw
8,"BOOMX3
ElGrandeToto",1,9.0,10,93043,BOOMX3,ElGrandeToto
9,"WALLAHI
Shaw",1,8.0,55,91285,WALLAHI,Shaw
10,"RIRI&ROCKY
Najm, Manal",8,11.0,32,89966,RIRI&ROCKY,"Najm, Manal"
11,"INSOMNIA HOTEL
Najm, ElGrandeToto",2,13.0,7,83088,INSOMNIA HOTEL,"Najm, ElGrandeToto"
12,"3DABI
Draganov",1,10.0,137,77679,3DABI,Draganov
13,"BON COURAGE
Draganov",1,12.0,35,77350,BON COURAGE,Draganov
14,"SO HIGH
Stormy",13,14.0,107,76661,SO HIGH,Stormy
15,"Mizane
Stormy, Inkonnu",5,15.0,156,73920,Mizane,"Stormy, Inkonnu"
16,"MON BÉBÉ
RnBoi",16,25.0,17,69157,MON BÉBÉ,RnBoi
17,"BOUHALI
ElGrandeToto",1,19.0,65,67987,BOUHALI,ElGrandeToto
18,"BLUE LOVE
ElGrandeToto",1,16.0,115,66586,BLUE LOVE,ElGrandeToto
19,"Solo
Uzishettan",13,20.0,5,64627,Solo,Uzishettan
20,"Si tu savais
Anys, Stormy",3,17.0,181,64501,Si tu savais,"Anys, Stormy"
21,"STALINE
ElGrandeToto",1,23.0,65,63007,STALINE,ElGrandeToto
22,"Ma Jolie
LFERDA",10,21.0,104,62525,Ma Jolie,LFERDA
23,"PIRATE
Stormy",1,18.0,59,61621,PIRATE,Stormy
24,"Tsswirtek
Draganov",5,24.0,22,60533,Tsswirtek,Draganov
25,"kafini
TIF, ElGrandeToto",1,32.0,31,60493,kafini,"TIF, ElGrandeToto"
26,"Tach
Draganov",1,22.0,27,60106,Tach,Draganov
27,"Souvenir
7ari, Ramoon",7,29.0,34,60096,Souvenir,"7ari, Ramoon"
28,"Violet
Valerieblud, Nada",1,30.0,33,59907,Violet,"Valerieblud, Nada"
29,"B.M.S (by my side)
Rambo goyard",29,42.0,7,59529,B.M.S (by my side),Rambo goyard
30,"DIPLOMATICO
ElGrandeToto",1,26.0,71,59483,DIPLOMATICO,ElGrandeToto
31,"Thunes
GP Explorer, La Mano 1.9, ElGrandeToto, Zed",7,33.0,21,59402,Thunes,"GP Explorer, La Mano 1.9, ElGrandeToto, Zed"
32,"Sahran lil
Cheb Momo, Djalil Palermo",25,28.0,21,56605,Sahran lil,"Cheb Momo, Djalil Palermo"
33,"Qalbi Fil Madinah
Maher Zain, Harris J",31,,1,55314,Qalbi Fil Madinah,"Maher Zain, Harris J"
34,"Zahri
Inkonnu",4,39.0,77,54577,Zahri,Inkonnu
35,"TABOUT
KALIL",22,36.0,67,54002,TABOUT,KALIL
36,"BABOUR LOU7
Shaw, Hassa1, NAYRA",10,34.0,49,52534,BABOUR LOU7,"Shaw, Hassa1, NAYRA"
37,"DtMF
Bad Bunny",23,27.0,4,52271,DtMF,Bad Bunny
