rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"dopamina
Peso Pluma, Tito Double P",1,1.0,9,8603080,dopamina,"Peso Pluma, Tito Double P"
2,"Todo Lo Fue
Lenin Ramírez",2,3.0,6,7795254,Todo Lo Fue,Lenin Ramírez
3,"Pvta Luna
Neton Vega",1,2.0,22,7682822,Pvta Luna,Neton Vega
4,"7-3
Peso Pluma, Tito Double P",2,5.0,9,7582017,7-3,"Peso Pluma, Tito Double P"
5,"Ya Borracho
Herencia De Grandes",4,4.0,15,7548932,Ya Borracho,Herencia De Grandes
6,"daño
Peso Pluma, Tito Double P",2,6.0,9,7340076,daño,"Peso Pluma, Tito Double P"
7,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",3,9.0,11,6372023,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
8,"4x4
Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE",5,14.0,6,6198890,4x4,"Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE"
9,"2+2
Omar Camacho, Victor Mendivil",1,11.0,35,6145346,2+2,"Omar Camacho, Victor Mendivil"
10,"Marlboro Rojo
Fuerza Regida",1,12.0,43,5872993,Marlboro Rojo,Fuerza Regida
11,"Pase y Toque
BeatBoy, Victor Mendivil",10,13.0,11,5704413,Pase y Toque,"BeatBoy, Victor Mendivil"
12,"BAILE INoLVIDABLE
Bad Bunny",5,7.0,60,5679567,BAILE INoLVIDABLE,Bad Bunny
13,"DtMF
Bad Bunny",1,8.0,60,5558577,DtMF,Bad Bunny
14,"TU SANCHO
Fuerza Regida",1,17.0,43,5305903,TU SANCHO,Fuerza Regida
15,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,19.0,61,5133595,Cuando No Era Cantante,"El Bogueto, Yung Beef"
16,"POR SUS BESOS
Tito Double P",1,16.0,33,5130272,POR SUS BESOS,Tito Double P
17,"CHAVALITAS
Fuerza Regida",2,18.0,33,5015093,CHAVALITAS,Fuerza Regida
18,"tu con el
Peso Pluma, Tito Double P",17,25.0,9,4911303,tu con el,"Peso Pluma, Tito Double P"
19,"EoO
Bad Bunny",12,15.0,60,4846151,EoO,Bad Bunny
20,"DROGA LETAL
Junior H, Gael Valenzuela, Peso Pluma",10,10.0,2,4844871,DROGA LETAL,"Junior H, Gael Valenzuela, Peso Pluma"
21,"Canasteo
Régulo Molina, Oscar Maydon, Neton Vega",6,22.0,6,4717224,Canasteo,"Régulo Molina, Oscar Maydon, Neton Vega"
22,"PUES QUE LE HAGO ?
Chuyin",19,23.0,7,4693680,PUES QUE LE HAGO ?,Chuyin
23,"MIENTRAS DUERMES
Junior H",8,21.0,59,4394427,MIENTRAS DUERMES,Junior H
24,"NUEVAYoL
Bad Bunny",11,20.0,60,4182329,NUEVAYoL,Bad Bunny
25,"Mi Entorno
Virlan Garcia",7,27.0,19,4156449,Mi Entorno,Virlan Garcia
26,"ni pedo
Peso Pluma, Tito Double P",4,30.0,9,4115328,ni pedo,"Peso Pluma, Tito Double P"
27,"ANSIEDAD
Fuerza Regida",7,33.0,43,4017585,ANSIEDAD,Fuerza Regida
28,"COQUETA
Fuerza Regida, Grupo Frontera",15,32.0,62,4012426,COQUETA,"Fuerza Regida, Grupo Frontera"
29,"Tus Mentiras (En Vivo)
Moy Bobadilla",29,34.0,10,3845129,Tus Mentiras (En Vivo),Moy Bobadilla
30,"caperuza
Fuerza Regida",21,36.0,43,3825777,caperuza,Fuerza Regida
31,"EN DONDE ESTA$
Junior H, Gael Valenzuela",26,26.0,2,3565628,EN DONDE ESTA$,"Junior H, Gael Valenzuela"
32,"DEMENCIA
Junior H, Gael Valenzuela",32,46.0,2,3545957,DEMENCIA,"Junior H, Gael Valenzuela"
33,"Tití Me Preguntó
Bad Bunny",2,28.0,3,3523802,Tití Me Preguntó,Bad Bunny
34,"putielegante
Peso Pluma, Tito Double P",12,44.0,9,3411288,putielegante,"Peso Pluma, Tito Double P"
35,"El Final De Nuestra Historia
La Arrolladora Banda El Limón De Rene Camacho",16,41.0,109,3406393,El Final De Nuestra Historia,La Arrolladora Banda El Limón De Rene Camacho
36,"LA CANCIÓN
J Balvin, Bad Bunny",1,31.0,348,3352392,LA CANCIÓN,"J Balvin, Bad Bunny"
37,"Y LLORO
Junior H",5,35.0,125,3349953,Y LLORO,Junior H
38,"Perlas Negras
Natanael Cano, Gabito Ballesteros",1,47.0,35,3320102,Perlas Negras,"Natanael Cano, Gabito Ballesteros"
39,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",9,37.0,67,3166245,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
