rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"kota ini tak sama tanpamu
Nadhif Basalamah",1,1.0,11,641943,kota ini tak sama tanpamu,Nadhif Basalamah
2,"Sedia Aku Sebelum Hujan
Idgitaf",1,2.0,12,571198,Sedia Aku Sebelum Hujan,Idgitaf
3,"bergema sampai selamanya
Nadhif Basalamah",3,3.0,52,504449,bergema sampai selamanya,Nadhif Basalamah
4,"Don’t Say You Love Me
Jin",1,6.0,41,463712,Don’t Say You Love Me,Jin
5,"Bahagia Lagi
Piche Kota",5,12.0,5,446561,Bahagia Lagi,Piche Kota
6,"Die On This Hill
SIENNA SPIRO",2,4.0,11,444581,Die On This Hill,SIENNA SPIRO
7,"The Fate of Ophelia
Taylor Swift",1,5.0,21,381199,The Fate of Ophelia,Taylor Swift
8,"back to friends
sombr",4,7.0,49,360176,back to friends,sombr
9,"WILDFLOWER
Billie Eilish",4,11.0,93,358609,WILDFLOWER,Billie Eilish
10,"kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno)
Nadhif Basalamah, Aziz Harun, Aisha Retno",9,9.0,9,334721,kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno),"Nadhif Basalamah, Aziz Harun, Aisha Retno"
11,"SO ASU
Naykilla",10,10.0,15,327449,SO ASU,Naykilla
12,"bittersweet
Madison Beer",7,15.0,19,321403,bittersweet,Madison Beer
13,"So Easy (To Fall In Love)
Olivia Dean",12,20.0,19,308096,So Easy (To Fall In Love),Olivia Dean
14,"P Ramlee Saloma
Alpha",1,14.0,30,306133,P Ramlee Saloma,Alpha
15,"End of Beginning
Djo",2,16.0,26,303572,End of Beginning,Djo
16,"penjaga hati
Nadhif Basalamah",1,18.0,124,301033,penjaga hati,Nadhif Basalamah
17,"Hanya Aku
Hyper Act",13,19.0,87,298890,Hanya Aku,Hyper Act
18,"Bahagiamu Deritaku
Hafiz Suip",14,17.0,35,295631,Bahagiamu Deritaku,Hafiz Suip
