rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Man I Need
Olivia Dean",1,1.0,28,450605,Man I Need,Olivia Dean
2,"So Easy (To Fall In Love)
Olivia Dean",2,2.0,22,332088,So Easy (To Fall In Love),Olivia Dean
3,"Rein Me In (with Olivia Dean)
Sam Fender, Olivia Dean",3,4.0,15,248486,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean"
4,"Raindance (feat. Tems)
Dave, Tems",3,3.0,11,222386,Raindance (feat. Tems),"Dave, Tems"
5,"A Couple Minutes
Olivia Dean",5,5.0,22,204744,A Couple Minutes,Olivia Dean
6,"Lush Life
Zara Larsson",6,6.0,15,203905,Lush Life,Zara Larsson
7,"I Just Might
Bruno Mars",3,12.0,7,200418,I Just Might,Bruno Mars
8,"Nice To Each Other
Olivia Dean",5,8.0,38,200093,Nice To Each Other,Olivia Dean
9,"WHERE IS MY HUSBAND!
RAYE",5,7.0,23,197094,WHERE IS MY HUSBAND!,RAYE
10,"Homewrecker
sombr",10,10.0,3,186501,Homewrecker,sombr
11,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",11,27.0,7,183042,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
12,"No Broke Boys
Disco Lines, Tinashe",3,15.0,37,180903,No Broke Boys,"Disco Lines, Tinashe"
13,"Dreams - 2004 Remaster
Fleetwood Mac",3,13.0,448,180691,Dreams - 2004 Remaster,Fleetwood Mac
14,"End of Beginning
Djo",2,14.0,14,168512,End of Beginning,Djo
15,"Ordinary
Alex Warren",1,11.0,55,168190,Ordinary,Alex Warren
16,"The Fate of Ophelia
Taylor Swift",1,16.0,21,160088,The Fate of Ophelia,Taylor Swift
17,"The Hardest Part
Olivia Dean",17,17.0,27,152573,The Hardest Part,Olivia Dean
18,"Babydoll
Dominic Fike",18,28.0,7,151607,Babydoll,Dominic Fike
19,"Die On This Hill
SIENNA SPIRO",15,18.0,15,149703,Die On This Hill,SIENNA SPIRO
20,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)
White Noise Radiance, Rain Sounds",20,22.0,4,149406,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","White Noise Radiance, Rain Sounds"
21,"iloveitiloveitiloveit
Bella Kay",21,69.0,2,146111,iloveitiloveitiloveit,Bella Kay
22,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,19.0,36,143831,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
23,"DtMF
Bad Bunny",3,9.0,4,143278,DtMF,Bad Bunny
24,"back to friends
sombr",2,23.0,50,142095,back to friends,sombr
25,"12 to 12
sombr",8,21.0,31,141693,12 to 12,sombr
26,"Baby Steps
Olivia Dean",15,24.0,22,138482,Baby Steps,Olivia Dean
27,"Choosin' Texas
Ella Langley",27,30.0,8,135716,Choosin' Texas,Ella Langley
28,"Let Alone The One You Love
Olivia Dean",12,26.0,22,131006,Let Alone The One You Love,Olivia Dean
29,"Dive
Olivia Dean",22,25.0,27,128548,Dive,Olivia Dean
30,"Iris
The Goo Goo Dolls",7,29.0,165,127993,Iris,The Goo Goo Dolls
31,"The Chain - 2004 Remaster
Fleetwood Mac",13,32.0,74,127623,The Chain - 2004 Remaster,Fleetwood Mac
32,"Folded
Kehlani",12,31.0,37,125755,Folded,Kehlani
33,"Don’t Say You Love Me
Jin",15,20.0,9,125395,Don’t Say You Love Me,Jin
34,"Mr. Brightside
The Killers",19,33.0,322,122090,Mr. Brightside,The Killers
35,"Ok Love You Bye
Olivia Dean",35,35.0,20,119910,Ok Love You Bye,Olivia Dean
36,"Love Me Not
Ravyn Lenae",3,34.0,53,118058,Love Me Not,Ravyn Lenae
37,"I Run
HAVEN., Kaitlin Aragon",12,37.0,14,112972,I Run,"HAVEN., Kaitlin Aragon"
38,"Lose Control
Teddy Swims",4,36.0,131,111810,Lose Control,Teddy Swims
39,"Sex on Fire
Kings of Leon",28,42.0,265,110511,Sex on Fire,Kings of Leon
40,"Everywhere - 2017 Remaster
Fleetwood Mac",18,39.0,177,109705,Everywhere - 2017 Remaster,Fleetwood Mac
41,"Midnight Sun
Zara Larsson",41,55.0,6,107679,Midnight Sun,Zara Larsson
42,"Beautiful Things
Benson Boone",1,44.0,110,106467,Beautiful Things,Benson Boone
43,"Opalite
Taylor Swift",2,38.0,21,106235,Opalite,Taylor Swift
44,"Scar Tissue
Red Hot Chili Peppers",30,49.0,74,105892,Scar Tissue,Red Hot Chili Peppers
45,"Landslide
Fleetwood Mac",35,47.0,33,105079,Landslide,Fleetwood Mac
46,"DAISIES
Justin Bieber",1,40.0,33,102435,DAISIES,Justin Bieber
47,"I've Seen It
Olivia Dean",47,50.0,22,99984,I've Seen It,Olivia Dean
48,"undressed
sombr",2,51.0,49,97669,undressed,sombr
49,"Catch A Wave
Te Wehi, Hori Shaw",49,72.0,8,96705,Catch A Wave,"Te Wehi, Hori Shaw"
50,"We Made It
SIX60",43,43.0,9,94034,We Made It,SIX60
51,"White Keys
Dominic Fike",51,108.0,3,93402,White Keys,Dominic Fike
52,"Go Your Own Way - 2004 Remaster
Fleetwood Mac",27,62.0,392,93311,Go Your Own Way - 2004 Remaster,Fleetwood Mac
53,"BIRDS OF A FEATHER
Billie Eilish",1,45.0,93,92095,BIRDS OF A FEATHER,Billie Eilish
54,"The Great Divide
Noah Kahan",19,48.0,4,91666,The Great Divide,Noah Kahan
55,"Have You Ever Seen The Rain
Creedence Clearwater Revival",23,58.0,196,91104,Have You Ever Seen The Rain,Creedence Clearwater Revival
56,"Sultans of Swing
Dire Straits",25,59.0,97,90859,Sultans of Swing,Dire Straits
