rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Fala Fala
Andiex",1,1.0,3,140426,Fala Fala,Andiex
2,"WO OH OH
Omar Courtz, ROA",2,,1,116502,WO OH OH,"Omar Courtz, ROA"
3,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,3.0,11,114641,LA VILLA,"Ryan Castro, Kapo, Gangsta"
4,"Las Muñequitas
Mr Plata, El Americano 4KT",4,16.0,4,101890,Las Muñequitas,"Mr Plata, El Americano 4KT"
5,"POR SI MAÑANA NO ESTOY
Omar Courtz",5,,1,96977,POR SI MAÑANA NO ESTOY,Omar Courtz
6,"DESCARRILADA
Valentino GRM",2,2.0,6,94173,DESCARRILADA,Valentino GRM
7,"CHÉVERE (premium_remix)
ARIA VEGA, Ryan Castro",7,43.0,2,92294,CHÉVERE (premium_remix),"ARIA VEGA, Ryan Castro"
8,"SI ESTÁS CON ALGUIEN
Omar Courtz",8,,1,88801,SI ESTÁS CON ALGUIEN,Omar Courtz
9,"BAILE INoLVIDABLE
Bad Bunny",1,5.0,60,82908,BAILE INoLVIDABLE,Bad Bunny
10,"KOKO
Omar Courtz",10,,1,79208,KOKO,Omar Courtz
11,"DtMF
Bad Bunny",1,6.0,60,76055,DtMF,Bad Bunny
12,"San Jose
BARBEL",1,9.0,13,74452,San Jose,BARBEL
13,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",13,,1,72246,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
14,"EL MUNDO SE VA A ACABAR
Omar Courtz, KARBeats",14,,1,72144,EL MUNDO SE VA A ACABAR,"Omar Courtz, KARBeats"
15,"WHAT U NEED? (SexPlaylist 2)
Omar Courtz, Myke Towers",15,,1,71596,WHAT U NEED? (SexPlaylist 2),"Omar Courtz, Myke Towers"
16,"no tiene sentido
Beéle",1,12.0,41,71537,no tiene sentido,Beéle
17,"EoO
Bad Bunny",6,7.0,60,68493,EoO,Bad Bunny
18,"NO TENGA$ MIEDO
Junior H, Gael Valenzuela",18,30.0,2,68252,NO TENGA$ MIEDO,"Junior H, Gael Valenzuela"
19,"orióN
Boza, ELENA ROSE",1,15.0,91,67855,orióN,"Boza, ELENA ROSE"
20,"Imagínate
Danny Ocean, Kapo",3,18.0,68,66758,Imagínate,"Danny Ocean, Kapo"
21,"mi refe
Beéle, Ovy On The Drums",2,17.0,64,66080,mi refe,"Beéle, Ovy On The Drums"
22,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,14.0,53,64434,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
23,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",4,11.0,60,63782,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
24,"CANTEPI
Astronazzy, Don Pablo Mures, Da Silence, Ted Prod, DKEY",8,8.0,10,63347,CANTEPI,"Astronazzy, Don Pablo Mures, Da Silence, Ted Prod, DKEY"
25,"Dardos
Romeo Santos, Prince Royce",7,27.0,13,63155,Dardos,"Romeo Santos, Prince Royce"
26,"quédate
Beéle",1,20.0,41,62861,quédate,Beéle
27,"L a k e n o s h i
Omar Courtz",27,,1,62592,L a k e n o s h i,Omar Courtz
28,"VAMOaCOCHI
Omar Courtz",28,,1,62344,VAMOaCOCHI,Omar Courtz
29,"UWAIE
Kapo",1,21.0,80,61239,UWAIE,Kapo
30,"MOONLIGHT
Omar Courtz, Eladio Carrion",30,,1,61088,MOONLIGHT,"Omar Courtz, Eladio Carrion"
31,"NUEVAYoL
Bad Bunny",2,10.0,60,60962,NUEVAYoL,Bad Bunny
32,"SIRENA
Omar Courtz",32,,1,59937,SIRENA,Omar Courtz
33,"$UELTA GATITA $UELTA
Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",33,,1,58934,$UELTA GATITA $UELTA,"Omar Courtz, Dei V, Clarent, Tito ""El Bambino"""
34,"Tata
Andiex, Tinely",24,24.0,6,56722,Tata,"Andiex, Tinely"
35,"MVLAN
YOVNGCHIMI, JC Reyes",33,35.0,5,56602,MVLAN,"YOVNGCHIMI, JC Reyes"
36,"KLOuFRENS
Bad Bunny",10,23.0,60,55178,KLOuFRENS,Bad Bunny
37,"NO CRY
Kapo",16,31.0,26,55090,NO CRY,Kapo
38,"Inglés En Miami
Rawayana, Manuel Turizo",12,28.0,8,55011,Inglés En Miami,"Rawayana, Manuel Turizo"
39,"OUTRO
Omar Courtz",39,,1,54600,OUTRO,Omar Courtz
40,"VOY A LLeVARTE PA PR
Bad Bunny",5,13.0,60,52530,VOY A LLeVARTE PA PR,Bad Bunny
41,"COMERNOS
Omar Courtz, Bad Gyal",41,,1,52521,COMERNOS,"Omar Courtz, Bad Gyal"
42,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",1,32.0,37,52245,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
43,"DROGA LETAL
Junior H, Gael Valenzuela, Peso Pluma",4,4.0,2,50420,DROGA LETAL,"Junior H, Gael Valenzuela, Peso Pluma"
44,"Woy
Josuan, Eshconinco",9,22.0,39,49998,Woy,"Josuan, Eshconinco"
45,"Dulces SueñoZzz (+INTERLUDIO)
Omar Courtz, Rubí",45,,1,49849,Dulces SueñoZzz (+INTERLUDIO),"Omar Courtz, Rubí"
46,"ROSITA
Tainy, Rauw Alejandro, JHAYCO",46,,1,49733,ROSITA,"Tainy, Rauw Alejandro, JHAYCO"
47,"LA CANCIÓN
J Balvin, Bad Bunny",2,19.0,348,49346,LA CANCIÓN,"J Balvin, Bad Bunny"
48,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",1,36.0,27,49322,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
49,"SUSU
Omar Courtz",49,,1,48180,SUSU,Omar Courtz
50,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",2,25.0,67,47582,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
51,"SKY
Omar Courtz",51,,1,47564,SKY,Omar Courtz
52,"top diesel
Beéle",1,33.0,41,47502,top diesel,Beéle
53,"GANTEL y BELLAKz
Omar Courtz, BASSYY",53,,1,45092,GANTEL y BELLAKz,"Omar Courtz, BASSYY"
54,"Idilio
Willie Colón",54,,1,44921,Idilio,Willie Colón
55,"capaz (merengueton)
Alleh, Yorghaki",7,34.0,65,44756,capaz (merengueton),"Alleh, Yorghaki"
56,"COSITA LINDA
ELENA ROSE, Justin Quiles",15,38.0,29,44601,COSITA LINDA,"ELENA ROSE, Justin Quiles"
57,"Por Amar A Ciegas
Arcángel",57,,1,44508,Por Amar A Ciegas,Arcángel
58,"DÓNDE
Kapo, Ryan Castro",28,42.0,31,44208,DÓNDE,"Kapo, Ryan Castro"
59,"Verano Rosa
KAROL G, Feid",10,41.0,36,42582,Verano Rosa,"KAROL G, Feid"
60,"RAKATAKA
El Yeyo PP, Akim",26,26.0,36,41766,RAKATAKA,"El Yeyo PP, Akim"
61,"si te pillara
Beéle",1,40.0,41,41696,si te pillara,Beéle
62,"Talento
Yan Block, Panda Black",36,60.0,22,41268,Talento,"Yan Block, Panda Black"
63,"OHNANA
Kapo",2,39.0,89,40920,OHNANA,Kapo
64,"⁠LUCES DE COLORES
Omar Courtz",18,83.0,55,40757,⁠LUCES DE COLORES,Omar Courtz
65,"Don’t Say You Love Me
Jin",2,51.0,41,39996,Don’t Say You Love Me,Jin
66,"COQUETA
Fuerza Regida, Grupo Frontera",38,50.0,42,39918,COQUETA,"Fuerza Regida, Grupo Frontera"
67,"MÁS DE AHÍ
Topboy TGR, Kzadores",57,57.0,11,39548,MÁS DE AHÍ,"Topboy TGR, Kzadores"
68,"Oh Qué Será?
Willie Colón",68,,1,38909,Oh Qué Será?,Willie Colón
69,"Hasta Aquí Llegué
Nanpa Básico, Beéle",4,46.0,84,38885,Hasta Aquí Llegué,"Nanpa Básico, Beéle"
70,"CHÉVERE (joesón_type_beat)
ARIA VEGA",48,48.0,5,38378,CHÉVERE (joesón_type_beat),ARIA VEGA
71,"Ba Ba Bad Remix
Kybba, Sean Paul, Ryan Castro, Busy Signal",12,37.0,34,37570,Ba Ba Bad Remix,"Kybba, Sean Paul, Ryan Castro, Busy Signal"
72,"Tití Me Preguntó
Bad Bunny",2,29.0,3,37319,Tití Me Preguntó,Bad Bunny
73,"Imitadora
Romeo Santos",12,53.0,48,37222,Imitadora,Romeo Santos
74,"Talento De Televisión
Willie Colón",74,,1,37075,Talento De Televisión,Willie Colón
75,"Khé?
Rauw Alejandro, Romeo Santos",1,56.0,67,36530,Khé?,"Rauw Alejandro, Romeo Santos"
76,"frente al mar
Beéle",5,55.0,74,36270,frente al mar,Beéle
77,"Hecha Pa' Mi
Boza",1,54.0,39,36009,Hecha Pa' Mi,Boza
78,"Hace Mucho Tiempo
Arcángel",34,102.0,12,35872,Hace Mucho Tiempo,Arcángel
79,"Me Rehúso
Danny Ocean",2,58.0,61,35847,Me Rehúso,Danny Ocean
80,"Que Sensación - Remix
Jezzy, Arcángel",12,63.0,18,35741,Que Sensación - Remix,"Jezzy, Arcángel"
81,"LUNA
Feid, ATL Jacob",1,52.0,117,35611,LUNA,"Feid, ATL Jacob"
82,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",14,89.0,39,34174,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
83,"Yo sé
Yan Block, TORRRES",39,82.0,69,33990,Yo sé,"Yan Block, TORRRES"
84,"KORAZONG
Kapo",19,66.0,38,33538,KORAZONG,Kapo
85,"Volver
Piso 21, Marc Anthony, Beéle",8,64.0,55,33110,Volver,"Piso 21, Marc Anthony, Beéle"
86,"Psicólogo
Valentino GRM",23,44.0,45,32907,Psicólogo,Valentino GRM
87,"444
Yan Block, Panda Black",25,85.0,82,32874,444,"Yan Block, Panda Black"
88,"Q U E V A S H A C E R H O Y ?
Omar Courtz, De La Rose",1,98.0,75,32520,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose"
89,"PA QUE ME BAILE (Bombermusik Remix)
BARBEL, BomberMusik",61,61.0,4,32449,PA QUE ME BAILE (Bombermusik Remix),"BARBEL, BomberMusik"
90,"444 - Remix
Yan Block, De La Rose, Hades66, Ñengo Flow",31,90.0,17,32253,444 - Remix,"Yan Block, De La Rose, Hades66, Ñengo Flow"
91,"Paris
Boza, Sech",1,77.0,22,32071,Paris,"Boza, Sech"
92,"The Fate of Ophelia
Taylor Swift",8,84.0,21,31826,The Fate of Ophelia,Taylor Swift
93,"La player (Bandolera)
Zion & Lennox",2,62.0,34,31663,La player (Bandolera),Zion & Lennox
94,"TU VAS SIN (fav)
Rels B",39,73.0,33,31600,TU VAS SIN (fav),Rels B
95,"El Gran Varon
Willie Colón",95,,1,31389,El Gran Varon,Willie Colón
96,"Niño
Milo j",45,81.0,22,31378,Niño,Milo j
97,"PERVERSA - Remix
Valentino GRM, BARBEL, Ladele OTM, SMILE BEATS",24,45.0,22,31354,PERVERSA - Remix,"Valentino GRM, BARBEL, Ladele OTM, SMILE BEATS"
98,"NO ME QUIERO CASAR
Bad Bunny",18,67.0,23,30710,NO ME QUIERO CASAR,Bad Bunny
99,"End of Beginning
Djo",19,86.0,13,30702,End of Beginning,Djo
100,"M U S A E L E V Á
Omar Courtz",41,130.0,33,30056,M U S A E L E V Á,Omar Courtz
101,"Raindance (feat. Tems)
Dave, Tems",101,122.0,4,30019,Raindance (feat. Tems),"Dave, Tems"
102,"WELTiTA
Bad Bunny, Chuwi",5,47.0,60,29996,WELTiTA,"Bad Bunny, Chuwi"
103,"ILY
Kapo, Myke Towers",16,87.0,51,29993,ILY,"Kapo, Myke Towers"
104,"Corazón
Danny Ocean",27,80.0,8,29944,Corazón,Danny Ocean
105,"RUFF
Kapo",59,88.0,33,29605,RUFF,Kapo
106,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",74,95.0,11,29339,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
107,"BIENVENIDA
Clarent",74,110.0,7,29298,BIENVENIDA,Clarent
108,"FANTASÍA
ROA",31,114.0,48,29259,FANTASÍA,ROA
109,"El Perdedor
Aventura",17,100.0,13,29234,El Perdedor,Aventura
110,"Pa' Que La Pases Bien
Arcángel",90,165.0,32,29155,Pa' Que La Pases Bien,Arcángel
111,"Si Antes Te Hubiera Conocido
KAROL G",2,65.0,88,28915,Si Antes Te Hubiera Conocido,KAROL G
112,"NUBES
De La Rose, Omar Courtz",7,141.0,47,28841,NUBES,"De La Rose, Omar Courtz"
113,"Ojitos Lindos
Bad Bunny, Bomba Estéreo",1,72.0,15,28737,Ojitos Lindos,"Bad Bunny, Bomba Estéreo"
114,"Pasao De Famarcia
Lil Naay",93,106.0,9,28615,Pasao De Famarcia,Lil Naay
115,"Se Vienen Cositas
Rawayana",94,94.0,5,28240,Se Vienen Cositas,Rawayana
116,"Kyoto
Omar Courtz, De La Rose, Haze",23,166.0,87,28218,Kyoto,"Omar Courtz, De La Rose, Haze"
117,"ME GUSTAS CC
ROA",34,124.0,60,28029,ME GUSTAS CC,ROA
118,"MOJABI GHOST
Tainy, Bad Bunny",1,78.0,139,27942,MOJABI GHOST,"Tainy, Bad Bunny"
119,"ETA - RMX
ROA, De La Rose, Luar La L, Yan Block, Omar Courtz",24,137.0,64,27564,ETA - RMX,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz"
120,"MONACO
Bad Bunny",1,59.0,4,27548,MONACO,Bad Bunny
121,"Es un Secreto
Plan B",10,97.0,22,27306,Es un Secreto,Plan B
122,"Sola (Remix)
Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",4,109.0,68,27241,Sola (Remix),"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin"
123,"Novio No
Sech, Ryan Castro, Kybba",1,68.0,25,27094,Novio No,"Sech, Ryan Castro, Kybba"
124,"PASAME LA UBI - Remix
El Yeyo PP, Aldair Productions, Valentino GRM, Anyuri, Fulo El Yeyo",47,79.0,28,27036,PASAME LA UBI - Remix,"El Yeyo PP, Aldair Productions, Valentino GRM, Anyuri, Fulo El Yeyo"
125,"PERFuMITO NUEVO
Bad Bunny, RaiNao",7,69.0,60,26563,PERFuMITO NUEVO,"Bad Bunny, RaiNao"
126,"Die With A Smile
Lady Gaga, Bruno Mars",9,99.0,80,26557,Die With A Smile,"Lady Gaga, Bruno Mars"
127,"El Día De Mi Suerte
Willie Colón, Héctor Lavoe",127,,1,26399,El Día De Mi Suerte,"Willie Colón, Héctor Lavoe"
128,"AY MAMA (mi tiburón)
ARIA VEGA",121,121.0,3,26340,AY MAMA (mi tiburón),ARIA VEGA
129,"Abracadabra
BARBEL, Bombermusik",6,70.0,131,26306,Abracadabra,"BARBEL, Bombermusik"
130,"X TI
Kapo, Feid",11,93.0,34,26230,X TI,"Kapo, Feid"
131,"SANKA
Ryan Castro, Dongo",92,92.0,10,26132,SANKA,"Ryan Castro, Dongo"
132,"Life Goes On
BTS",28,147.0,13,26061,Life Goes On,BTS
133,"Una Vida Pasada
Camilo, Carín León",24,113.0,22,26053,Una Vida Pasada,"Camilo, Carín León"
134,"Killin' It Girl (feat. GloRilla)
j-hope, GloRilla",29,,1,25947,Killin' It Girl (feat. GloRilla),"j-hope, GloRilla"
135,"Tu Con El
Frankie Ruiz",51,158.0,2,25813,Tu Con El,Frankie Ruiz
136,"Deseándote
Frankie Ruiz",86,131.0,32,25780,Deseándote,Frankie Ruiz
137,"Moscow Mule
Bad Bunny",2,75.0,47,25707,Moscow Mule,Bad Bunny
138,"Yo No Sé Mañana
Luis Enrique",74,132.0,56,25707,Yo No Sé Mañana,Luis Enrique
139,"Esclava - Remix
Bryant Myers, Anuel AA, Anonimus, Almighty",103,115.0,24,25592,Esclava - Remix,"Bryant Myers, Anuel AA, Anonimus, Almighty"
140,"back to friends
sombr",78,136.0,42,25535,back to friends,sombr
141,"QLOO*
Young Cister, Kreamly",14,126.0,34,25077,QLOO*,"Young Cister, Kreamly"
142,"Solcito
Miguel Bueno, Juan Duque",4,107.0,50,24864,Solcito,"Miguel Bueno, Juan Duque"
143,"Domingo Familiar
Rawayana, Jowell & Randy",69,96.0,6,24424,Domingo Familiar,"Rawayana, Jowell & Randy"
144,"Dynamite
BTS",15,152.0,4,24143,Dynamite,BTS
145,"Tienen Que Ver
Don Pablo Mures, Valentino GRM, Yemil, JEYSON",25,91.0,34,24119,Tienen Que Ver,"Don Pablo Mures, Valentino GRM, Yemil, JEYSON"
146,"Falsas Promesas (Remix)
Midnvght, ROA, Mora, Eladio Carrion, Clarent, Finesse",146,,1,24083,Falsas Promesas (Remix),"Midnvght, ROA, Mora, Eladio Carrion, Clarent, Finesse"
147,"Rara Vez
Milo j, Taiu",9,140.0,22,24013,Rara Vez,"Milo j, Taiu"
148,"Como Paso
Josuan, Yemil, Danny Yash",17,76.0,19,23977,Como Paso,"Josuan, Yemil, Danny Yash"
149,"SOLEAO
Myke Towers, Quevedo",24,129.0,39,23893,SOLEAO,"Myke Towers, Quevedo"
