rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"BAILE INoLVIDABLE
Bad Bunny",1,1.0,60,753239,BAILE INoLVIDABLE,Bad Bunny
2,"EoO
Bad Bunny",2,2.0,60,659452,EoO,Bad Bunny
3,"DtMF
Bad Bunny",1,3.0,60,604388,DtMF,Bad Bunny
4,"LA VILLA
Ryan Castro, Kapo, Gangsta",2,9.0,10,578691,LA VILLA,"Ryan Castro, Kapo, Gangsta"
5,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,6.0,18,566552,Cuando No Era Cantante,"El Bogueto, Yung Beef"
6,"no tiene sentido
Beéle",2,11.0,41,522416,no tiene sentido,Beéle
7,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",3,8.0,60,521627,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
8,"VOY A LLeVARTE PA PR
Bad Bunny",2,4.0,60,517935,VOY A LLeVARTE PA PR,Bad Bunny
9,"COQUETA
Fuerza Regida, Grupo Frontera",6,10.0,46,512600,COQUETA,"Fuerza Regida, Grupo Frontera"
10,"LA CANCIÓN
J Balvin, Bad Bunny",2,5.0,348,507114,LA CANCIÓN,"J Balvin, Bad Bunny"
11,"Corazón
Danny Ocean",10,12.0,30,497584,Corazón,Danny Ocean
12,"NUEVAYoL
Bad Bunny",2,7.0,60,489253,NUEVAYoL,Bad Bunny
13,"Me Rehúso
Danny Ocean",1,17.0,474,479662,Me Rehúso,Danny Ocean
14,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,18.0,53,476639,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
15,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",2,15.0,26,471340,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
16,"QLOO*
Young Cister, Kreamly",1,16.0,39,465184,QLOO*,"Young Cister, Kreamly"
17,"KLOuFRENS
Bad Bunny",9,14.0,60,464957,KLOuFRENS,Bad Bunny
18,"mi refe
Beéle, Ovy On The Drums",3,19.0,63,456197,mi refe,"Beéle, Ovy On The Drums"
19,"TU VAS SIN (fav)
Rels B",3,20.0,34,455101,TU VAS SIN (fav),Rels B
20,"Cuando se Ama
Masiel Malaga Y Su Salsa Red",20,22.0,5,441244,Cuando se Ama,Masiel Malaga Y Su Salsa Red
21,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",3,13.0,67,430872,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
22,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",10,29.0,42,429284,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
23,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",21,23.0,11,425106,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
24,"Es un Secreto
Plan B",11,24.0,248,421707,Es un Secreto,Plan B
25,"Khé?
Rauw Alejandro, Romeo Santos",1,25.0,67,391272,Khé?,"Rauw Alejandro, Romeo Santos"
26,"Dardos
Romeo Santos, Prince Royce",26,30.0,9,389564,Dardos,"Romeo Santos, Prince Royce"
27,"Tiroteo - Remix
Marc Seguí, Rauw Alejandro, Pol Granch",7,28.0,244,378145,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch"
28,"Niño
Milo j",21,26.0,22,377336,Niño,Milo j
29,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",3,31.0,37,371592,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
30,"La player (Bandolera)
Zion & Lennox",6,27.0,34,368872,La player (Bandolera),Zion & Lennox
31,"Tití Me Preguntó
Bad Bunny",4,21.0,11,366075,Tití Me Preguntó,Bad Bunny
32,"LUNA
Feid, ATL Jacob",1,32.0,117,356845,LUNA,"Feid, ATL Jacob"
33,"capaz (merengueton)
Alleh, Yorghaki",3,34.0,63,355620,capaz (merengueton),"Alleh, Yorghaki"
34,"Borro Cassette
Maluma",13,35.0,130,349373,Borro Cassette,Maluma
35,"El Teléfono
Héctor ""El Father"", Wisin & Yandel",24,33.0,24,346241,El Teléfono,"Héctor ""El Father"", Wisin & Yandel"
36,"Volveré
Amor Paisano",29,37.0,13,334050,Volveré,Amor Paisano
37,"Rara Vez
Milo j, Taiu",3,39.0,159,327144,Rara Vez,"Milo j, Taiu"
38,"Imitadora
Romeo Santos",30,36.0,47,321548,Imitadora,Romeo Santos
39,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)
Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",15,40.0,56,321435,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn"
40,"Talento
Yan Block, Panda Black",40,45.0,11,315887,Talento,"Yan Block, Panda Black"
41,"Yo sé
Yan Block, TORRRES",31,44.0,64,299038,Yo sé,"Yan Block, TORRRES"
42,"Sola (Remix)
Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",7,47.0,74,296508,Sola (Remix),"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin"
43,"MOJABI GHOST
Tainy, Bad Bunny",7,38.0,66,295114,MOJABI GHOST,"Tainy, Bad Bunny"
44,"No Me Conoce - Remix
JHAYCO, J Balvin, Bad Bunny",3,49.0,70,292623,No Me Conoce - Remix,"JHAYCO, J Balvin, Bad Bunny"
45,"NO ME QUIERO CASAR
Bad Bunny",34,41.0,12,288568,NO ME QUIERO CASAR,Bad Bunny
46,"Si Antes Te Hubiera Conocido
KAROL G",1,46.0,88,288196,Si Antes Te Hubiera Conocido,KAROL G
47,"Candy
Plan B",47,72.0,23,273634,Candy,Plan B
48,"444
Yan Block, Panda Black",25,54.0,48,270466,444,"Yan Block, Panda Black"
49,"Perdóname
La Factoria, Eddy Lover",40,59.0,78,269896,Perdóname,"La Factoria, Eddy Lover"
50,"Imagínate
Danny Ocean, Kapo",8,63.0,68,268734,Imagínate,"Danny Ocean, Kapo"
51,"POR SI MAÑANA NO ESTOY
Omar Courtz",51,,1,266518,POR SI MAÑANA NO ESTOY,Omar Courtz
