rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Pag-Ibig ay Kanibalismo II
fitterkarma",1,1.0,19,7700621,Pag-Ibig ay Kanibalismo II,fitterkarma
2,"Kalapastangan
fitterkarma",2,2.0,18,7042542,Kalapastangan,fitterkarma
3,"Tahanan
El Manu",3,3.0,14,5728644,Tahanan,El Manu
4,"Libu-Libong Buwan (Uuwian)
Kyle Raphael",4,4.0,17,4332403,Libu-Libong Buwan (Uuwian),Kyle Raphael
5,"Multo
Cup of Joe",1,5.0,58,4118627,Multo,Cup of Joe
6,"Panaginip
nicole",6,6.0,23,3577353,Panaginip,nicole
7,"Tensionado
Soapdish",2,7.0,34,2974525,Tensionado,Soapdish
8,"Isa lang
Arthur Nery",2,8.0,219,2945404,Isa lang,Arthur Nery
9,"So Easy (To Fall In Love)
Olivia Dean",7,9.0,20,2926028,So Easy (To Fall In Love),Olivia Dean
10,"Pahina
Cup of Joe",8,13.0,37,2715998,Pahina,Cup of Joe
11,"Who Knows
Daniel Caesar",8,11.0,16,2713226,Who Knows,Daniel Caesar
12,"Naiilang
Le John",4,12.0,43,2698957,Naiilang,Le John
13,"Man I Need
Olivia Dean",10,15.0,25,2666799,Man I Need,Olivia Dean
14,"Die On This Hill
SIENNA SPIRO",7,10.0,10,2539992,Die On This Hill,SIENNA SPIRO
15,"Saksi Ang Langit
December Avenue",2,14.0,37,2536190,Saksi Ang Langit,December Avenue
16,"back to friends
sombr",3,16.0,49,2491433,back to friends,sombr
17,"Tadhana
Up Dharma Down",9,21.0,191,2349387,Tadhana,Up Dharma Down
18,"The Man Who Can't Be Moved
The Script",9,18.0,136,2310869,The Man Who Can't Be Moved,The Script
19,"Since Day One
Skusta Clee, Flow G",19,66.0,2,2304236,Since Day One,"Skusta Clee, Flow G"
20,"Sino
Unique Salonga",19,22.0,61,2253016,Sino,Unique Salonga
21,"Palaisipan
Loonie, Arthur Nery",1,17.0,21,2200749,Palaisipan,"Loonie, Arthur Nery"
22,"Mundo
IV OF SPADES",1,19.0,420,2116049,Mundo,IV OF SPADES
23,"Nandito Ako
Rob Deniel",2,20.0,17,2110112,Nandito Ako,Rob Deniel
24,"Iris
The Goo Goo Dolls",13,23.0,110,1947271,Iris,The Goo Goo Dolls
25,"I Thought I Saw Your Face Today
She & Him",17,24.0,12,1864996,I Thought I Saw Your Face Today,She & Him
26,"Backburner
NIKI",18,27.0,73,1850976,Backburner,NIKI
27,"Bulong
December Avenue",8,26.0,94,1849678,Bulong,December Avenue
28,"Palayo Sa Mundo
Jolianne, Arthur Nery",28,29.0,12,1827949,Palayo Sa Mundo,"Jolianne, Arthur Nery"
29,"Unti-Unti
Up Dharma Down",29,31.0,111,1760120,Unti-Unti,Up Dharma Down
30,"Imahe
Magnus Haven",1,50.0,57,1748578,Imahe,Magnus Haven
31,"TAKE ALL THE LOVE
Arthur Nery",6,30.0,129,1743924,TAKE ALL THE LOVE,Arthur Nery
32,"Dominga
La Mave, Nateman",3,25.0,20,1728693,Dominga,"La Mave, Nateman"
33,"Umaasa
Calein",7,34.0,179,1727105,Umaasa,Calein
34,"Pag-ibig ng Ikaw at Ako
Earl Agustin",34,40.0,28,1721785,Pag-ibig ng Ikaw at Ako,Earl Agustin
35,"Multo (Stripped Down)
Cup of Joe",32,32.0,4,1717864,Multo (Stripped Down),Cup of Joe
36,"bittersweet
Madison Beer",22,33.0,18,1688739,bittersweet,Madison Beer
37,"Tibok
Earl Agustin",1,35.0,52,1682014,Tibok,Earl Agustin
38,"Folded
Kehlani",6,28.0,37,1674692,Folded,Kehlani
39,"Your Universe
Rico Blanco",5,42.0,43,1591236,Your Universe,Rico Blanco
40,"Ikot
Over October",11,45.0,89,1584969,Ikot,Over October
41,"Tingin
Cup of Joe, Janine",3,37.0,127,1583899,Tingin,"Cup of Joe, Janine"
42,"Opalite
Taylor Swift",4,38.0,21,1537977,Opalite,Taylor Swift
43,"Pangarap Lang Kita
Parokya Ni Edgar, Happee Sy",25,41.0,44,1527991,Pangarap Lang Kita,"Parokya Ni Edgar, Happee Sy"
44,"kahel na langit
Maki",12,49.0,37,1525706,kahel na langit,Maki
45,"Sa Bawat Sandali
Amiel Sol",1,51.0,59,1514253,Sa Bawat Sandali,Amiel Sol
46,"Dalangin
Earl Agustin",6,48.0,51,1508876,Dalangin,Earl Agustin
47,"Manchild
Sabrina Carpenter",16,44.0,38,1497516,Manchild,Sabrina Carpenter
48,"The Fate of Ophelia
Taylor Swift",4,43.0,21,1489852,The Fate of Ophelia,Taylor Swift
49,"Burnout
Sugarfree",21,58.0,65,1448502,Burnout,Sugarfree
50,"Pagsamo
Arthur Nery",1,54.0,230,1445642,Pagsamo,Arthur Nery
51,"End of Beginning
Djo",4,47.0,18,1430507,End of Beginning,Djo
52,"Vibrate
La Mave",9,39.0,24,1394506,Vibrate,La Mave
53,"Always
Daniel Caesar",21,46.0,151,1394296,Always,Daniel Caesar
54,"About You
The 1975",48,59.0,93,1389200,About You,The 1975
55,"Di Nakakasawa
Arthur Nery, Kiyo",19,36.0,22,1388758,Di Nakakasawa,"Arthur Nery, Kiyo"
56,"Leonora
Sugarcane",24,52.0,9,1353742,Leonora,Sugarcane
57,"Pahintulot
shirebound",57,61.0,58,1338985,Pahintulot,shirebound
58,"lowkey
NIKI",26,56.0,83,1316870,lowkey,NIKI
59,"Kathang Isip
Ben&Ben",2,64.0,428,1306863,Kathang Isip,Ben&Ben
60,"Ikaw Lang Patutunguhan
Amiel Sol",24,68.0,59,1287264,Ikaw Lang Patutunguhan,Amiel Sol
61,"The Only Exception
Paramore",59,62.0,21,1284783,The Only Exception,Paramore
62,"Higa
Arthur Nery",10,73.0,299,1275105,Higa,Arthur Nery
63,"Waltz of Four Left Feet
shirebound",25,70.0,39,1269704,Waltz of Four Left Feet,shirebound
64,"Mahika
Adie, Janine Berdin",1,78.0,195,1254328,Mahika,"Adie, Janine Berdin"
65,"Hanggang Kailan - Umuwi Ka Na Baby
Orange & Lemons",26,57.0,192,1251764,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons
66,"My Day
HELLMERRY",4,75.0,61,1230574,My Day,HELLMERRY
67,"Gabriela
KATSEYE",7,53.0,36,1217938,Gabriela,KATSEYE
68,"Ikaw Lang
NOBITA",2,74.0,248,1196638,Ikaw Lang,NOBITA
