rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Tajdar-E-Haram - Coke Studio Season 8
Atif Aslam",1,64.0,2,313831,Tajdar-E-Haram - Coke Studio Season 8,Atif Aslam
2,"5-7
Karan Aujla, Mxrci",2,,1,178422,5-7,"Karan Aujla, Mxrci"
3,"Hum
Murtaza Qizilbash",2,2.0,9,172859,Hum,Murtaza Qizilbash
4,"High On You
Jind Universe",2,3.0,35,152437,High On You,Jind Universe
5,"Ishqa Ve
Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",1,1.0,17,142634,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon"
6,"Khat
Navjot Ahuja",6,24.0,5,134521,Khat,Navjot Ahuja
7,"Meri Zindagi Hai Tu
Asim Azhar, Sabri Sisters",1,7.0,15,124479,Meri Zindagi Hai Tu,"Asim Azhar, Sabri Sisters"
8,"Lamyati Nazeero Kafi Nazarin
Waseem Ahmed, Danish Ahmed, Wajahat Ali, Junaid Rehmani, Waqar Hussain",8,,1,124177,Lamyati Nazeero Kafi Nazarin,"Waseem Ahmed, Danish Ahmed, Wajahat Ali, Junaid Rehmani, Waqar Hussain"
9,"Mustafa Jaan-E-Rehmat
Atif Aslam",9,,1,122433,Mustafa Jaan-E-Rehmat,Atif Aslam
10,"Jhol
Maanu, Annural Khalid",1,4.0,89,122198,Jhol,"Maanu, Annural Khalid"
11,"Afsos
Anuv Jain, AP Dhillon",1,6.0,56,119731,Afsos,"Anuv Jain, AP Dhillon"
12,"Kardo Karam
Nabeel Shaukat Ali, Sanam Marvi",12,,1,117156,Kardo Karam,"Nabeel Shaukat Ali, Sanam Marvi"
13,"Balaghal-Ula Bi-Kamaalihi
Ali Zafar",10,,1,115120,Balaghal-Ula Bi-Kamaalihi,Ali Zafar
14,"Haseen
Talwiinder, NDS, Rippy Grewal",1,5.0,52,113160,Haseen,"Talwiinder, NDS, Rippy Grewal"
15,"Tu Kuja Man Kuja
Shiraz Uppal, Rafaqat Ali Khan",15,,1,110407,Tu Kuja Man Kuja,"Shiraz Uppal, Rafaqat Ali Khan"
16,"Boyfriend
Karan Aujla, Ikky",3,9.0,27,110244,Boyfriend,"Karan Aujla, Ikky"
17,"Arz Kiya Hai | Coke Studio Bharat
Anuv Jain",1,15.0,27,107878,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain
18,"Tu
Talwiinder, Sanjoy",5,11.0,32,106175,Tu,"Talwiinder, Sanjoy"
19,"Sitaare (From ""Ikkis"")
Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",19,23.0,8,105231,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya"
20,"For A Reason
Karan Aujla, Ikky",1,10.0,27,105002,For A Reason,"Karan Aujla, Ikky"
21,"Jaanam Fida-E-Haideri
Sadiq Hussain",21,,1,102278,Jaanam Fida-E-Haideri,Sadiq Hussain
22,"Wishes
Hasan Raheem, Umair, Talwiinder",2,12.0,130,100860,Wishes,"Hasan Raheem, Umair, Talwiinder"
23,"Kun Faya Kun
A.R. Rahman, Javed Ali, Mohit Chauhan",21,,1,99522,Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan"
24,"Deewane
Navaan Sandhu, Bir, Daaku",18,19.0,21,98682,Deewane,"Navaan Sandhu, Bir, Daaku"
25,"SARGOSHI
Ahsan Javed, Usamasutra",25,37.0,8,97998,SARGOSHI,"Ahsan Javed, Usamasutra"
26,"Asma-ul-Husna
Atif Aslam",26,,1,95818,Asma-ul-Husna,Atif Aslam
27,"Faslon Ko Takalluf Hai
Qari Waheed Zafar Qasmi",27,,1,95421,Faslon Ko Takalluf Hai,Qari Waheed Zafar Qasmi
28,"Ishq
Faheem Abdullah, Rauhan Malik, Amir Ameer",1,16.0,102,91430,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
29,"Lutt Le Gaya (From ""Dhurandhar"")
Shashwat Sachdev, Simran Choudhary",27,27.0,6,91234,"Lutt Le Gaya (From ""Dhurandhar"")","Shashwat Sachdev, Simran Choudhary"
30,"Gal Sun
Sabat Batin, Rackstar",2,13.0,20,90055,Gal Sun,"Sabat Batin, Rackstar"
31,"OBVIOUS (feat. Hasan Raheem)
Umair, Hasan Raheem",12,20.0,64,88589,OBVIOUS (feat. Hasan Raheem),"Umair, Hasan Raheem"
32,"Pal Pal
Afusic, AliSoomroMusic",1,14.0,52,88234,Pal Pal,"Afusic, AliSoomroMusic"
33,"Jo Tum Mere Ho
Anuv Jain",1,21.0,82,86668,Jo Tum Mere Ho,Anuv Jain
34,"Sahiba
Aditya Rikhari",2,18.0,34,85684,Sahiba,Aditya Rikhari
35,"Gehra Hua (From ""Dhurandhar"")
Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",32,33.0,12,84120,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
36,"Deewaana Deewaana
A.R. Rahman, Irshad Kamil",36,62.0,4,83609,Deewaana Deewaana,"A.R. Rahman, Irshad Kamil"
37,"Dooron Dooron
Paresh Pahuja, Shiv Tandan, Meghdeep Bose",28,35.0,25,82591,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose"
38,"Tum
Murtaza Qizilbash",34,34.0,8,81183,Tum,Murtaza Qizilbash
39,"Khayaal
Talwiinder, NDS",8,25.0,45,80915,Khayaal,"Talwiinder, NDS"
40,"12 Saal (Baarah Saal)
Bilal Saeed",17,22.0,14,80761,12 Saal (Baarah Saal),Bilal Saeed
41,"Finding Her
Kushagra, Bharath, Saaheal",6,26.0,50,80002,Finding Her,"Kushagra, Bharath, Saaheal"
42,"Pal Pal (with Talwiinder)
Afusic, Talwiinder, AliSoomroMusic",4,29.0,46,79074,Pal Pal (with Talwiinder),"Afusic, Talwiinder, AliSoomroMusic"
43,"Maand
Bayaan, Hasan Raheem, Rovalio",2,28.0,63,78714,Maand,"Bayaan, Hasan Raheem, Rovalio"
44,"Rahmatun Lil'Alameen
Maher Zain",8,,1,78162,Rahmatun Lil'Alameen,Maher Zain
45,"Dil Lagana Mana Tha
Krish Mondal, Kishore Mondal, Devv Sadaana, Kunaal Vermaa",1,17.0,5,77553,Dil Lagana Mana Tha,"Krish Mondal, Kishore Mondal, Devv Sadaana, Kunaal Vermaa"
46,"Saiyaara
Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",1,30.0,36,76245,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil"
47,"Safar
Bayaan, Sherazam",45,45.0,8,75016,Safar,"Bayaan, Sherazam"
48,"Tutor
Cheema Y, Gur Sidhu",30,39.0,19,74951,Tutor,"Cheema Y, Gur Sidhu"
49,"Jogi
thiarajxtt, Bir",48,48.0,6,73938,Jogi,"thiarajxtt, Bir"
50,"Wohi Khuda
Atif Aslam",35,,1,73855,Wohi Khuda,Atif Aslam
51,"Bhool
Murtaza Qizilbash",43,43.0,12,72956,Bhool,Murtaza Qizilbash
52,"Barbaad (From ""Saiyaara"")
The Rish, Jubin Nautiyal",20,41.0,32,72763,"Barbaad (From ""Saiyaara"")","The Rish, Jubin Nautiyal"
53,"Piya Ghar Aaya - Remix
Asad Khan, Nusrat Fateh Ali Khan",53,58.0,3,71527,Piya Ghar Aaya - Remix,"Asad Khan, Nusrat Fateh Ali Khan"
54,"Departure Lane
Talha Anjum, Umair",1,32.0,65,70844,Departure Lane,"Talha Anjum, Umair"
55,"Ehsaas
Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar",14,38.0,35,69656,Ehsaas,"Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar"
56,"Tere Liye
Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",26,36.0,34,69122,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan"
57,"Regardless
Asim Azhar",5,31.0,36,68751,Regardless,Asim Azhar
58,"Sheesha - Aakhya Mai Aakh Ghali Jo Beran
Mitta Ror, Swara Verma",58,67.0,6,68683,Sheesha - Aakhya Mai Aakh Ghali Jo Beran,"Mitta Ror, Swara Verma"
59,"Nafrat
Darshan Raval",35,46.0,17,64476,Nafrat,Darshan Raval
60,"By My Side
AP Dhillon, Shinda Kahlon",41,47.0,16,63852,By My Side,"AP Dhillon, Shinda Kahlon"
61,"California Love
Cheema Y, Gur Sidhu",37,44.0,142,63842,California Love,"Cheema Y, Gur Sidhu"
62,"Bhar Do Jholi Meri
Pritam, Adnan Sami, Kausar Munir",62,,1,63735,Bhar Do Jholi Meri,"Pritam, Adnan Sami, Kausar Munir"
63,"Ranjheya Ve
Zain Zohaib",15,42.0,57,63146,Ranjheya Ve,Zain Zohaib
64,"Winning Speech
Karan Aujla, Seshnolan",5,49.0,93,62879,Winning Speech,"Karan Aujla, Seshnolan"
