rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Yeraltı
Eypio",1,3.0,4,3805445,Yeraltı,Eypio
2,"vODKA BELUGA
Lvbel C5, AKDO",1,1.0,4,3706423,vODKA BELUGA,"Lvbel C5, AKDO"
3,"Halef Selef
Wegh",3,,1,3467429,Halef Selef,Wegh
4,"KUSURA BAKMA
BLOK3",1,2.0,13,3389667,KUSURA BAKMA,BLOK3
5,"Cennet
UZI, Motive",3,5.0,5,2146286,Cennet,"UZI, Motive"
6,"Başrol Sensin - 1. Yıl Özel
manifest",4,4.0,2,2123713,Başrol Sensin - 1. Yıl Özel,manifest
7,"Cambaz
mor ve ötesi",7,15.0,6,2094849,Cambaz,mor ve ötesi
8,"En Derine
WTSOUNDS, WTFRANK",8,18.0,5,2060048,En Derine,"WTSOUNDS, WTFRANK"
9,"Çıkmaz Bir Sokakta
Semicenk",2,6.0,18,2020817,Çıkmaz Bir Sokakta,Semicenk
10,"Geri Ver
Wegh",3,26.0,15,1990997,Geri Ver,Wegh
11,"Daha Çok Var
Wegh",11,,1,1888508,Daha Çok Var,Wegh
12,"Balbiber
Wegh",12,,1,1786511,Balbiber,Wegh
13,"BYE BYE
Era7capone, Murda",5,9.0,14,1749751,BYE BYE,"Era7capone, Murda"
14,"git
BLOK3",1,8.0,32,1698065,git,BLOK3
15,"Seni Düşündüm
Çağla, Doğu Swag",1,10.0,31,1686367,Seni Düşündüm,"Çağla, Doğu Swag"
16,"Radikal Eşkiya
Wegh, Şehinşah",16,,1,1649856,Radikal Eşkiya,"Wegh, Şehinşah"
17,"NAFİLE
ERAY067, Mansur",9,14.0,7,1614967,NAFİLE,"ERAY067, Mansur"
18,"Her Nerdeysen
Ati242",11,17.0,72,1610125,Her Nerdeysen,Ati242
19,"Ou
UZI, Motive",1,7.0,5,1601220,Ou,"UZI, Motive"
20,"Ayy / Ben Hala Rüyada
Oğuzhan Koç",20,,1,1531827,Ayy / Ben Hala Rüyada,Oğuzhan Koç
21,"Seni Bana Katsam
Neco",21,100.0,2,1500607,Seni Bana Katsam,Neco
22,"Maraton
Ati242",5,29.0,9,1495178,Maraton,Ati242
23,"hay Allah
Murda",23,95.0,2,1489336,hay Allah,Murda
24,"TAK TAK TAK
Lvbel C5, AKDO",2,11.0,30,1466354,TAK TAK TAK,"Lvbel C5, AKDO"
25,"Kalbini Verdin
Eypio",25,33.0,3,1458481,Kalbini Verdin,Eypio
