rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,2.0,8,2157844,LA VILLA,"Ryan Castro, Kapo, Gangsta",192111.0,True,False,2025-10-23,7j6DKwmjbxvpQO8h914uEz,2ZyrAym0sRLwt4PhGotHuI,192
2,"BAILE INoLVIDABLE
Bad Bunny",1,1.0,60,1915072,BAILE INoLVIDABLE,Bad Bunny,367725.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2,368
3,"DtMF
Bad Bunny",1,3.0,60,1706009,DtMF,Bad Bunny,237117.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya,237
4,"Soy Favela
La T y La M",2,6.0,12,1675117,Soy Favela,La T y La M,166000.0,False,False,2025-12-04,1FxPMQ9A0882eNDx3ZkD6B,3TfRpsYPQSXqqramSoWlNg,166
5,"UWAIE - versión cumbia
Max Carra",2,7.0,50,1592177,UWAIE - versión cumbia,Max Carra,162947.0,False,False,2024-09-19,483P9cJ9pdCoc08XvNunPL,6UO9DhCUq4ZbQz7PXwelFV,163
6,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,10.0,21,1572047,Cuando No Era Cantante,"El Bogueto, Yung Beef",327488.0,True,False,2025-12-10,3S9Hg7sRKhmtWunFZ2yAYP,2pbSCYzxrG0wa6qcj8IyiE,327
7,"VOY A LLeVARTE PA PR
Bad Bunny",4,4.0,60,1464146,VOY A LLeVARTE PA PR,Bad Bunny,156364.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,59D4DOkspUbWyMmbAPQkxZ,156
8,"Puñaladas
Lauta, Amigo de Artistas, Tote",8,17.0,7,1354188,Puñaladas,"Lauta, Amigo de Artistas, Tote",139578.0,False,False,2025-11-20,5ELYwDwhy00ecTXhfsKWci,4AL4EamHEBKPpdcFRkYdXN,140
9,"EoO
Bad Bunny",8,8.0,60,1353323,EoO,Bad Bunny,204768.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,6J5kc12BW5HuP3d7C3vvx8,205
10,"Tu jardín con enanitos
Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",1,11.0,40,1312160,Tu jardín con enanitos,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",175059.0,False,False,2025-05-22,2Hxu0Wmd7FUm0euCVInVrN,6X8DTIJEgHUjZynuds0E2f,175
11,"NUEVAYoL
Bad Bunny",5,5.0,60,1281333,NUEVAYoL,Bad Bunny,183685.0,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5,184
12,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",7,12.0,11,1229851,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",327488.0,True,False,2025-12-10,3S9Hg7sRKhmtWunFZ2yAYP,2pbSCYzxrG0wa6qcj8IyiE,327
13,"TU VAS SIN (fav)
Rels B",3,15.0,32,1224280,TU VAS SIN (fav),Rels B,110495.0,False,False,2025-06-20,2IMZYfNi21MGqxopj9fWx8,6uiQ0DqbXTBc8tl0AUKZkR,110
14,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",6,9.0,60,1210139,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",235336.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,7d6yK8v8J484SWH5prIQiE,235
15,"La Perla
ROSALÍA, Yahritza Y Su Esencia",1,16.0,16,1147265,La Perla,"ROSALÍA, Yahritza Y Su Esencia",195546.0,True,False,2025-11-07,7ltDVBr6mKbRvohxheJ9h1,4oVO4fGNRRvEn0CRuFO4qv,196
16,"no tiene sentido
Beéle",8,22.0,40,1062064,no tiene sentido,Beéle,158036.0,False,False,2025-05-15,7a0XAaPaK2aDSqa8p3QnC7,1HEwEN64NjgTaHmo7LfkX8,158
17,"Amor de Vago
La T y La M, Malandro",1,20.0,77,976793,Amor de Vago,"La T y La M, Malandro",188423.0,False,False,2024-08-23,1FxPMQ9A0882eNDx3ZkD6B,5MKbWaXeSQSmzmo7gPQha1,188
18,"Pensamientos
Airbag",13,23.0,49,966821,Pensamientos,Airbag,233839.0,False,False,2021-10-15,1wKDGglKV4FsFS85r2Dmpr,1H7ktqkQx1PIuPfNtqvaBs,234
19,"KLOuFRENS
Bad Bunny",14,19.0,60,950855,KLOuFRENS,Bad Bunny,199114.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,4MUrUT38U98olfnyzMBCzm,199
20,"Tití Me Preguntó
Bad Bunny",3,13.0,3,934829,Tití Me Preguntó,Bad Bunny,243716.0,True,False,2022-05-06,4q3ewBCX7sLwd24euuV69X,1IHWl5LamUGEuP4ozKQSXZ,244
21,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,25.0,52,929507,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",150001.0,True,False,2025-02-19,5uwa6tAMMfNbBFIHiI6NV4,6iOndD4OFo7GkaDypWQIou,150
22,"Niño
Milo j",6,26.0,22,881137,Niño,Milo j,210533.0,False,False,2025-09-25,19HM5j0ULGSmEoRcrSe5x3,4aDbrgm1ZaebS1Bb2dOXac,211
23,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",14,18.0,67,880119,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",191018.0,True,False,2024-11-15,1mcTU81TzQhprhouKaTkpq,0l0vcZMU7AOeQmUIREoI2U,191
24,"No Se Va
La T y La M",22,24.0,67,860042,No Se Va,La T y La M,215372.0,False,False,2023-04-13,1FxPMQ9A0882eNDx3ZkD6B,1Zh6HllrXT0Khrwk2j3TrZ,215
25,"mi refe
Beéle, Ovy On The Drums",16,27.0,60,855479,mi refe,"Beéle, Ovy On The Drums",159404.0,False,False,2025-05-15,7a0XAaPaK2aDSqa8p3QnC7,4zhk2RS2EZODmBW6il55Qj,159
26,"LA CANCIÓN
J Balvin, Bad Bunny",7,14.0,15,852123,LA CANCIÓN,"J Balvin, Bad Bunny",242573.0,False,False,2019-06-28,1vyhD5VmyZ7KMfW5gqLgo5,0fea68AdmYNygeTGI4RC18,243
27,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",4,31.0,37,837380,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle",198153.0,False,False,2025-06-11,3m5qlPf2OkihLz3dRYnkPA,7koAf6aZgjO6TS7bipfPD0,198
28,"SOLEAO
Myke Towers, Quevedo",4,30.0,39,833761,SOLEAO,"Myke Towers, Quevedo",218305.0,False,False,2025-07-17,7iK8PXO48WeuP03g8YR51W,4OsBqqMwFabHATATT527tH,218
29,"capaz (merengueton)
Alleh, Yorghaki",3,29.0,59,833062,capaz (merengueton),"Alleh, Yorghaki",173858.0,False,False,2024-12-24,3DeOmVSmpv7WknXoo1OS8p,2dd3G3ZqEcG2cNS1tp3oEk,174
30,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66
Bizarrap, Daddy Yankee",1,28.0,17,827705,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","Bizarrap, Daddy Yankee",151805.0,False,False,2025-11-05,716NhGYqD1jl2wI1Qkgq36,2uPMsTEKx79gJ8rB3AcT0v,152
31,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",25,36.0,39,795558,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",286040.0,True,False,2016-08-26,4q3ewBCX7sLwd24euuV69X,6C1RD7YQVvt3YQj0CmuTeu,286
32,"Como Eran Las Cosas
Babasonicos",11,34.0,118,786746,Como Eran Las Cosas,Babasonicos,240520.0,False,False,2008-01-01,2F9pvj94b52wGKs0OqiNi2,61qPUnazSdkvua4wgA4L8C,241
33,"TENGO UN FEELING
PEPU, Pizzu",13,32.0,8,760366,TENGO UN FEELING,"PEPU, Pizzu",197264.0,False,False,2025-12-30,2uHt84x3H1VLR7xFBAuNS8,4ezApj4UvVqLOtxdXUOLMb,197
34,"WELTiTA
Bad Bunny, Chuwi",7,21.0,14,751533,WELTiTA,"Bad Bunny, Chuwi",187507.0,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,5WEF0icHWmAZBBMglBd599,188
35,"J Balvin: Bzrp Music Sessions, Vol. 62/66
Bizarrap, J Balvin",9,39.0,9,739195,"J Balvin: Bzrp Music Sessions, Vol. 62/66","Bizarrap, J Balvin",190384.0,False,False,2025-12-26,716NhGYqD1jl2wI1Qkgq36,04YMLAsyIAe1sLb6RO5YcC,190
36,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",36,,1,713163,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow",226533.0,True,False,2026-02-19,3E12tRURRvPfHz0hAMCFYc,1YAWMfsmduIrpqrjP45pFn,227
37,"Con Otra
Cazzu",6,43.0,49,698031,Con Otra,Cazzu,231016.0,False,False,2025-04-24,6w3SkAHYPsQ1bxV7VDlG5y,2F6PBqz7aPA7K309aFKMHt,231
38,"Por Mil Noches
Airbag",18,38.0,319,683377,Por Mil Noches,Airbag,283884.0,False,False,2013-11-27,1wKDGglKV4FsFS85r2Dmpr,5vHWh24GAsXJ7tnIu8v7UN,284
39,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",13,42.0,26,677054,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",375381.0,True,False,2025-08-26,1TA5sGRlKUJXBN4ZyJuDIX,7nrd0eIftH3NQLfgk20Qp9,375
40,"Loco Enamorado I Varieté #4
Tincho Di Salvo & Javi Zurro, Max Carra",24,44.0,15,674660,Loco Enamorado I Varieté #4,"Tincho Di Salvo & Javi Zurro, Max Carra",153000.0,False,False,2025-08-07,0mDd8pZbNfiDNBrL1qybaK,0UaxhDrvCVcCWCqYQUeeFF,153
