rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"Lush Life
Zara Larsson",1,2.0,16,246380,Lush Life,Zara Larsson,200646,False,False,2017-03-17,1Xylc3o4UrD53lo9CvFvVg,1rIKgCH4H52lrvDcz50hS8,201
2,"Kdo??
Robin Zoot, BUKA",1,1.0,3,241701,Kdo??,"Robin Zoot, BUKA",169600,True,False,2026-02-10,28oxY7ZfDt1BJFf8FVfpEh,7v26hAmRxygMsg2SYKibzF,170
3,"End of Beginning
Djo",1,3.0,26,236882,End of Beginning,Djo,159245,False,False,2022-09-16,5p9HO3XC5P3BLxJs5Mtrhm,3qhlB30KknSejmIvZZLjOD,159
4,"The Fate of Ophelia
Taylor Swift",1,4.0,21,235179,The Fate of Ophelia,Taylor Swift,226073,False,False,2025-10-03,06HL4z0CvFAxyc27GXpf02,53iuhJlwXhSER5J2IYYv1W,226
5,"Babydoll
Dominic Fike",5,9.0,4,224854,Babydoll,Dominic Fike,97960,False,False,2018-10-16,6USv9qhCn6zfxlBQIYJ9qs,7yNf9YjeO5JXUE3JEBgnYc,98
6,"Pistácie (feat. Sofian Medjmedj)
Calin, Sofian Medjmedj",1,5.0,64,205117,Pistácie (feat. Sofian Medjmedj),"Calin, Sofian Medjmedj",174117,True,False,2024-12-06,5lEkQtWa3UKlI1hj7sktcd,5LG6E6hwx6u84X7hMVkpKp,174
7,"Vodka není voda
Lboy Bsc, Dorian, Freez247",7,27.0,6,183212,Vodka není voda,"Lboy Bsc, Dorian, Freez247",206817,True,False,2025-10-24,7HjHXYRxGom5mjP1lHKHW2,33l3BKJazySRMviJXQVTBJ,207
8,"Painkillers
Yzomandias, P T K, Luca Brassi10x, Le Winter",5,7.0,67,181873,Painkillers,"Yzomandias, P T K, Luca Brassi10x, Le Winter",216363,True,False,2024-11-22,721o1Z0J6jQupyzLt9RnEk,3QCRSIRZyCM2JjR4DTiwzF,216
9,"back to friends
sombr",1,8.0,51,177927,back to friends,sombr,199032,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,7qjZnBKE73H4Oxkopwulqe,199
10,"WHERE IS MY HUSBAND!
RAYE",5,10.0,23,175679,WHERE IS MY HUSBAND!,RAYE,196795,False,False,2025-09-19,5KKpBU5eC2tJDzf0wmlRp2,55lijDD6OAjLFFUHU9tcDm,197
11,"Ordinary
Alex Warren",2,12.0,55,167521,Ordinary,Alex Warren,186964,False,False,2024-09-26,0fTSzq9jAh4c36UVb4V7CB,2RkZ5LkEzeHGRsmDqKwmaJ,187
12,"Raindance (feat. Tems)
Dave, Tems",9,13.0,10,164127,Raindance (feat. Tems),"Dave, Tems",219743,False,False,2025-10-23,6Ip8FS7vWT1uKkJSweANQK,3oTuTpF1F3A7rEC6RKsMRz,220
13,"Strach
BUKA",1,11.0,16,164066,Strach,BUKA,205048,True,False,2025-11-12,5hXMMzNyqGj17MtUASdtnI,5JShUXhGOwqhqwJVGjqVWk,205
14,"TVOJE OČI
4rano, krystuffek",12,16.0,7,156253,TVOJE OČI,"4rano, krystuffek",120119,True,False,2025-12-09,2yzKg373IWFA1nZINR8J8f,14sgVMJqy2XtkjrToAvtgS,120
15,"12 to 12
sombr",5,14.0,31,155166,12 to 12,sombr,242903,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,05od2qm2MTSKCHxy1GBp5W,243
16,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",16,77.0,6,152505,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",184761,False,False,2025-10-10,78rUTD7y6Cy67W1RVzYs7t,1DwscornXpj8fmOmYVlqZt,185
17,"Rozdělený světy
Viktor Sheen",2,17.0,61,150650,Rozdělený světy,Viktor Sheen,211891,True,False,2020-10-17,4cG43cUBRJWWDsRh4SW48i,65sTVVVMDnczku5Gt2PTmt,212
18,"KSN - PINTLICH REMIX
Yzomandias, Ektor, P T K, Robin Zoot, Nik Tendo, PINTLICH",1,19.0,39,148454,KSN - PINTLICH REMIX,"Yzomandias, Ektor, P T K, Robin Zoot, Nik Tendo, PINTLICH",188571,True,False,2025-06-04,721o1Z0J6jQupyzLt9RnEk,2K4y6LbyUOr03ktqAaMZmD,189
19,"DtMF
Bad Bunny",4,6.0,4,142434,DtMF,Bad Bunny,237117,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya,237
20,"No Broke Boys
Disco Lines, Tinashe",10,23.0,33,138701,No Broke Boys,"Disco Lines, Tinashe",163994,True,False,2025-06-06,5Kmr0b3ip8g9P2i0dLTC3Z,3cZajhyr8LmtPfHZ9296tj,164
21,"Vítej mezi náma (feat. STEIN27)
Calin, STEIN27",2,36.0,64,135049,Vítej mezi náma (feat. STEIN27),"Calin, STEIN27",193548,True,False,2024-12-06,5lEkQtWa3UKlI1hj7sktcd,4oLJGn19J4OWAPC7fV5b5E,194
22,"Až po uši
Slavíček",1,35.0,42,134409,Až po uši,Slavíček,197489,False,False,2024-01-13,5GfK8A8u8ruvdFiDFS1X9l,6nla6OAs9APdRtfy7GzeCV,197
23,"Love Me Not
Ravyn Lenae",23,28.0,48,131485,Love Me Not,Ravyn Lenae,213466,False,False,2024-08-09,5RTLRtXjbXI2lSXc6jxlAz,4WFgvKVfEhb3IUAFGrutTR,213
24,"Talk2me
Sara Rikas, Yzomandias",1,29.0,46,130834,Talk2me,"Sara Rikas, Yzomandias",163209,True,False,2025-04-23,4TwaN115hEDGfkAtJG0USo,1x1gDfbVvPYm8gaRVhDhIl,163
