rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"BAILE INoLVIDABLE
Bad Bunny",1,1.0,60,371573,BAILE INoLVIDABLE,Bad Bunny
2,"EoO
Bad Bunny",2,2.0,60,334886,EoO,Bad Bunny
3,"DtMF
Bad Bunny",1,3.0,60,330906,DtMF,Bad Bunny
4,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,5.0,10,329527,LA VILLA,"Ryan Castro, Kapo, Gangsta"
5,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,8.0,22,289781,Cuando No Era Cantante,"El Bogueto, Yung Beef"
6,"no tiene sentido
Beéle",1,9.0,41,288618,no tiene sentido,Beéle
7,"NUEVAYoL
Bad Bunny",3,4.0,60,266580,NUEVAYoL,Bad Bunny
8,"COQUETA
Fuerza Regida, Grupo Frontera",6,11.0,47,260191,COQUETA,"Fuerza Regida, Grupo Frontera"
9,"VOY A LLeVARTE PA PR
Bad Bunny",3,6.0,60,257650,VOY A LLeVARTE PA PR,Bad Bunny
10,"LA CANCIÓN
J Balvin, Bad Bunny",2,7.0,348,255693,LA CANCIÓN,"J Balvin, Bad Bunny"
11,"Dardos
Romeo Santos, Prince Royce",4,14.0,13,254591,Dardos,"Romeo Santos, Prince Royce"
12,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,13.0,53,254053,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
13,"TU VAS SIN (fav)
Rels B",1,16.0,35,246842,TU VAS SIN (fav),Rels B
14,"mi refe
Beéle, Ovy On The Drums",3,18.0,63,232863,mi refe,"Beéle, Ovy On The Drums"
15,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",6,12.0,60,228800,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
16,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",2,10.0,67,226843,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
17,"KLOuFRENS
Bad Bunny",10,17.0,60,222196,KLOuFRENS,Bad Bunny
18,"Me Rehúso
Danny Ocean",2,19.0,479,221866,Me Rehúso,Danny Ocean
19,"Las Muñequitas
Mr Plata, El Americano 4KT",19,33.0,4,219526,Las Muñequitas,"Mr Plata, El Americano 4KT"
20,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",10,20.0,11,215072,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
21,"Es un Secreto
Plan B",4,24.0,248,208252,Es un Secreto,Plan B
22,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",15,38.0,39,206707,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
23,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",5,23.0,27,195430,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
24,"Corazón
Danny Ocean",11,21.0,30,192230,Corazón,Danny Ocean
25,"Niño
Milo j",10,29.0,22,188716,Niño,Milo j
26,"Tití Me Preguntó
Bad Bunny",3,15.0,3,188665,Tití Me Preguntó,Bad Bunny
27,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",2,25.0,37,187831,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
28,"LUNA
Feid, ATL Jacob",1,26.0,117,183894,LUNA,"Feid, ATL Jacob"
29,"Idilio
Willie Colón",29,,1,182803,Idilio,Willie Colón
30,"El Teléfono
Héctor ""El Father"", Wisin & Yandel",10,22.0,24,182355,El Teléfono,"Héctor ""El Father"", Wisin & Yandel"
31,"Khé?
Rauw Alejandro, Romeo Santos",1,34.0,67,176971,Khé?,"Rauw Alejandro, Romeo Santos"
32,"SI ESTÁS CON ALGUIEN
Omar Courtz",32,,1,173033,SI ESTÁS CON ALGUIEN,Omar Courtz
33,"VITAMINA
Jombriel, DFZM, Jøtta",1,27.0,52,172958,VITAMINA,"Jombriel, DFZM, Jøtta"
34,"capaz (merengueton)
Alleh, Yorghaki",5,31.0,64,172737,capaz (merengueton),"Alleh, Yorghaki"
35,"Imitadora
Romeo Santos",22,36.0,48,171951,Imitadora,Romeo Santos
36,"Inglés En Miami
Rawayana, Manuel Turizo",22,35.0,6,170453,Inglés En Miami,"Rawayana, Manuel Turizo"
37,"YOGURCITO
Blessd",37,48.0,28,170413,YOGURCITO,Blessd
38,"POR SI MAÑANA NO ESTOY
Omar Courtz",38,,1,169846,POR SI MAÑANA NO ESTOY,Omar Courtz
39,"NO ME QUIERO CASAR
Bad Bunny",13,30.0,33,169622,NO ME QUIERO CASAR,Bad Bunny
40,"MOJABI GHOST
Tainy, Bad Bunny",5,28.0,139,167336,MOJABI GHOST,"Tainy, Bad Bunny"
41,"La player (Bandolera)
Zion & Lennox",4,32.0,34,167006,La player (Bandolera),Zion & Lennox
42,"Talento De Televisión
Willie Colón",42,186.0,2,166156,Talento De Televisión,Willie Colón
43,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",43,,1,165258,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
44,"Borro Cassette
Maluma",19,42.0,120,162555,Borro Cassette,Maluma
45,"Tu Con El
Frankie Ruiz",29,65.0,111,159299,Tu Con El,Frankie Ruiz
46,"Verano Rosa
KAROL G, Feid",6,39.0,36,159004,Verano Rosa,"KAROL G, Feid"
47,"quédate
Beéle",11,37.0,40,157333,quédate,Beéle
48,"Imagínate
Danny Ocean, Kapo",5,47.0,68,155795,Imagínate,"Danny Ocean, Kapo"
49,"WO OH OH
Omar Courtz, ROA",49,,1,155532,WO OH OH,"Omar Courtz, ROA"
50,"Tiroteo - Remix
Marc Seguí, Rauw Alejandro, Pol Granch",11,43.0,40,154680,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch"
51,"Pa' Que La Pases Bien
Arcángel",26,63.0,74,153763,Pa' Que La Pases Bien,Arcángel
52,"ROSITA
Tainy, Rauw Alejandro, JHAYCO",52,,1,153561,ROSITA,"Tainy, Rauw Alejandro, JHAYCO"
53,"UWAIE
Kapo",3,45.0,80,153499,UWAIE,Kapo
54,"CHÉVERE (premium_remix)
ARIA VEGA, Ryan Castro",54,,1,152218,CHÉVERE (premium_remix),"ARIA VEGA, Ryan Castro"
55,"Yo No Sé Mañana
Luis Enrique",30,75.0,56,151632,Yo No Sé Mañana,Luis Enrique
56,"El Perdedor
Aventura",11,51.0,25,151421,El Perdedor,Aventura
57,"orióN
Boza, ELENA ROSE",8,52.0,89,148627,orióN,"Boza, ELENA ROSE"
58,"Asia
Willie Colón",58,,1,145907,Asia,Willie Colón
59,"Oh Qué Será?
Willie Colón",59,,1,144654,Oh Qué Será?,Willie Colón
