rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id
1,"DtMF
Bad Bunny",1,1.0,61,39131995,DtMF,Bad Bunny,237117,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya
2,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",2,11.0,8,38913426,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",184761,False,False,2025-10-10,78rUTD7y6Cy67W1RVzYs7t,1DwscornXpj8fmOmYVlqZt
3,"Risk It All
Bruno Mars",3,,1,36569896,Risk It All,Bruno Mars,204068,False,False,2026-02-27,0du5cEVh5yTK9QJze8zA0C,5y2ijHECwFYWqcAHKTZgzD
4,"End of Beginning
Djo",1,3.0,107,31777044,End of Beginning,Djo,159245,False,False,2022-09-16,5p9HO3XC5P3BLxJs5Mtrhm,3qhlB30KknSejmIvZZLjOD
5,"Man I Need
Olivia Dean",3,5.0,28,31301570,Man I Need,Olivia Dean,184000,False,False,2025-08-15,00x1fYSGhdqScXBRpSj3DW,1qbmS6ep2hbBRaEZFpn7BX
6,"The Fate of Ophelia
Taylor Swift",1,6.0,22,29888205,The Fate of Ophelia,Taylor Swift,226073,False,False,2025-10-03,06HL4z0CvFAxyc27GXpf02,53iuhJlwXhSER5J2IYYv1W
7,"So Easy (To Fall In Love)
Olivia Dean",6,8.0,23,29678009,So Easy (To Fall In Love),Olivia Dean,169000,False,False,2025-09-26,00x1fYSGhdqScXBRpSj3DW,6sGIMrtIzQjdzNndVxe397
8,"BAILE INoLVIDABLE
Bad Bunny",2,2.0,61,29165614,BAILE INoLVIDABLE,Bad Bunny,367725,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2
9,"I Just Might
Bruno Mars",3,20.0,8,28933106,I Just Might,Bruno Mars,212973,False,False,2026-01-09,0du5cEVh5yTK9QJze8zA0C,12bYYQaLqHliSXvRIYlq8G
10,"NUEVAYoL
Bad Bunny",3,4.0,61,28499978,NUEVAYoL,Bad Bunny,183685,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5
11,"back to friends
sombr",1,9.0,50,27034485,back to friends,sombr,199032,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,7qjZnBKE73H4Oxkopwulqe
12,"Babydoll
Dominic Fike",12,18.0,5,26488917,Babydoll,Dominic Fike,97960,False,False,2018-10-16,6USv9qhCn6zfxlBQIYJ9qs,7yNf9YjeO5JXUE3JEBgnYc
13,"WHERE IS MY HUSBAND!
RAYE",6,12.0,24,25025673,WHERE IS MY HUSBAND!,RAYE,196795,False,False,2025-09-19,5KKpBU5eC2tJDzf0wmlRp2,55lijDD6OAjLFFUHU9tcDm
14,"Raindance (feat. Tems)
Dave, Tems",11,14.0,12,24542605,Raindance (feat. Tems),"Dave, Tems",219743,False,False,2025-10-23,6Ip8FS7vWT1uKkJSweANQK,3oTuTpF1F3A7rEC6RKsMRz
15,"Tití Me Preguntó
Bad Bunny",4,7.0,4,24477910,Tití Me Preguntó,Bad Bunny,243716,True,False,2022-05-06,4q3ewBCX7sLwd24euuV69X,1IHWl5LamUGEuP4ozKQSXZ
16,"Lush Life
Zara Larsson",7,16.0,16,23649072,Lush Life,Zara Larsson,200646,False,False,2017-03-17,1Xylc3o4UrD53lo9CvFvVg,1rIKgCH4H52lrvDcz50hS8
17,"Ordinary
Alex Warren",1,15.0,56,23230306,Ordinary,Alex Warren,186964,False,False,2024-09-26,0fTSzq9jAh4c36UVb4V7CB,2RkZ5LkEzeHGRsmDqKwmaJ
18,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,13.0,37,22704416,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",194607,False,False,2025-06-20,2yNNYQBChuox9A5Ka93BIn,1CPZ5BxNNd0n0nF4Orb9JS
19,"EoO
Bad Bunny",4,10.0,61,22635430,EoO,Bad Bunny,204768,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,6J5kc12BW5HuP3d7C3vvx8
20,"Die With A Smile
Lady Gaga, Bruno Mars",1,19.0,81,20370215,Die With A Smile,"Lady Gaga, Bruno Mars",251667,False,False,2024-08-16,1HY2Jd0NmPuamShAr6KMms,2plbrEY59IikOBgBGLjaoe
21,"FEVER DREAM
Alex Warren",21,,1,20313162,FEVER DREAM,Alex Warren,153430,False,False,2026-02-26,0fTSzq9jAh4c36UVb4V7CB,7ogpGbKc4Io6NCU6ydxXwZ
22,"Die On This Hill
SIENNA SPIRO",9,17.0,12,19583021,Die On This Hill,SIENNA SPIRO,217008,False,False,2025-10-10,02gSuSAWEdWa5UOvqzjX6v,2gYTC8DsplN3RNdpdBcCOQ
23,"GO
BLACKPINK",23,,1,19179998,GO,BLACKPINK,195402,False,False,2026-02-27,41MozSoPIsD1dJM0CLPjZF,0mYa3o6tlUN5HRippmKmwH
24,"Iris
The Goo Goo Dolls",12,22.0,94,19060939,Iris,The Goo Goo Dolls,289533,False,False,1998,2sil8z5kiy4r76CRTXxBCA,6Qyc6fS4DsZjB2mRW9DsQs
25,"Homewrecker
sombr",21,21.0,4,18232386,Homewrecker,sombr,209066,False,False,2026-02-05,4G9NDjRyZFDlJKMRL8hx3S,7tICCrK3CcyRFKza7yrR0z
26,"BIRDS OF A FEATHER
Billie Eilish",1,25.0,94,18085107,BIRDS OF A FEATHER,Billie Eilish,210373,False,False,2024-05-17,6qqNVTkY8uBg9cP3Jd7DAH,6dOtVTDdiauQNBQEDOtlAB
27,"Every Breath You Take
The Police",8,26.0,114,17874535,Every Breath You Take,The Police,253920,False,False,1983-06-17,5NGO30tJxFlKixkPSgXcFE,1JSTJqkT5qHq8MDJnJbRE1
28,"Love Me Not
Ravyn Lenae",8,27.0,50,17646413,Love Me Not,Ravyn Lenae,213466,False,False,2024-08-09,5RTLRtXjbXI2lSXc6jxlAz,4WFgvKVfEhb3IUAFGrutTR
29,"I Thought I Saw Your Face Today
She & Him",14,24.0,13,17006777,I Thought I Saw Your Face Today,She & Him,170333,False,False,2008-03-18,3CIRif6ZAedT7kZSPvj2A4,0myRViRgmQ3J8izICXEAVO
30,"Manchild
Sabrina Carpenter",1,28.0,39,16507726,Manchild,Sabrina Carpenter,213645,True,False,2025-08-29,74KM79TiuVKeVCqs8QtB0B,2BwO5K8Q7EPAJSGze3AAh9
