rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"kesselaid
nublu, TIEF CITY 44",1,1.0,2,193208,kesselaid,"nublu, TIEF CITY 44"
2,"Igavene
SADU",1,3.0,28,65064,Igavene,SADU
3,"Jolly Roger
Clicherik & Mäx",1,2.0,12,52730,Jolly Roger,Clicherik & Mäx
4,"LAUSU TÕTT
nublu, Vaiko Eplik",2,5.0,39,48362,LAUSU TÕTT,"nublu, Vaiko Eplik"
5,"Luukered
SADU",2,6.0,35,45934,Luukered,SADU
6,"kanuu
säm",1,8.0,31,37942,kanuu,säm
7,"Days Like This
NOËP",4,4.0,3,34527,Days Like This,NOËP
8,"TIPUS ULUB TUUL
nublu, Vaiko Eplik",3,11.0,39,28756,TIPUS ULUB TUUL,"nublu, Vaiko Eplik"
9,"DtMF
Bad Bunny",2,7.0,4,28607,DtMF,Bad Bunny
10,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",10,32.0,9,27172,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
11,"Kolmest soovist viimane
SADU",5,20.0,23,26690,Kolmest soovist viimane,SADU
12,"Babydoll
Dominic Fike",12,14.0,6,25501,Babydoll,Dominic Fike
13,"Mustrid
SADU",7,17.0,28,24540,Mustrid,SADU
14,"push it
nublu, maria kallastu",1,23.0,91,24515,push it,"nublu, maria kallastu"
15,"Uueks hommikul
SADU",11,21.0,16,24303,Uueks hommikul,SADU
16,"Lush Life
Zara Larsson",3,10.0,17,24196,Lush Life,Zara Larsson
17,"viinaingel
triibupasta, An-Marlen",3,19.0,56,24002,viinaingel,"triibupasta, An-Marlen"
18,"Münt
Liis Lemsalu, Lauri Saatpalu",1,13.0,14,23983,Münt,"Liis Lemsalu, Lauri Saatpalu"
19,"LLC
triibupasta",3,16.0,43,23773,LLC,triibupasta
20,"Raindance (feat. Tems)
Dave, Tems",5,12.0,11,22540,Raindance (feat. Tems),"Dave, Tems"
21,"hugo toom
triibupasta",1,24.0,43,22515,hugo toom,triibupasta
22,"Lihtsalt kaaslane
Clicherik & Mäx, An-Marlen",12,27.0,19,22346,Lihtsalt kaaslane,"Clicherik & Mäx, An-Marlen"
23,"100 roosi
An-Marlen, boipepperoni, triibupasta",2,26.0,64,21552,100 roosi,"An-Marlen, boipepperoni, triibupasta"
24,"WAIKUSE VALGE UDU
nublu, Vaiko Eplik",10,22.0,39,21496,WAIKUSE VALGE UDU,"nublu, Vaiko Eplik"
25,"Nälg
SADU",12,33.0,28,21202,Nälg,SADU
26,"parasiit
ALIKA, säm",1,28.0,40,20430,parasiit,"ALIKA, säm"
27,"armastan, ei armasta
säm, Emily J, dj lumi",2,31.0,21,20371,"armastan, ei armasta","säm, Emily J, dj lumi"
28,"peagi saabun...
nublu",1,38.0,65,20316,peagi saabun...,nublu
29,"Lämmi
Küberünnak & Karmo",10,34.0,113,20294,Lämmi,Küberünnak & Karmo
30,"Palavaks
Clicherik & Mäx, triibupasta",7,29.0,38,19272,Palavaks,"Clicherik & Mäx, triibupasta"
31,"End of Beginning
Djo",2,25.0,16,19254,End of Beginning,Djo
32,"Fun Shit
Deangelo Breuer",32,,1,18976,Fun Shit,Deangelo Breuer
33,"Rahvalaul
Kermo Murel",1,42.0,41,18851,Rahvalaul,Kermo Murel
34,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",26,41.0,8,18150,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
35,"BRIGITTA
jooseppro, Lennu",4,36.0,27,18148,BRIGITTA,"jooseppro, Lennu"
36,"Ebapopulaarne
Kermo Murel",1,39.0,53,17966,Ebapopulaarne,Kermo Murel
37,"Phantom
EsDeeKid, Rico Ace",3,37.0,25,17952,Phantom,"EsDeeKid, Rico Ace"
38,"peegel
An-Marlen",10,43.0,46,17762,peegel,An-Marlen
39,"WHERE IS MY HUSBAND!
RAYE",13,30.0,23,17747,WHERE IS MY HUSBAND!,RAYE
40,"Igavuse teisel pool
SADU",18,53.0,23,17354,Igavuse teisel pool,SADU
41,"Keerleb
Clicherik & Mäx",1,52.0,47,16870,Keerleb,Clicherik & Mäx
42,"Fever
Buckshot, fakemink",24,49.0,21,16653,Fever,"Buckshot, fakemink"
43,"TIKUPOISS
jooseppro, Lennu",3,45.0,26,16312,TIKUPOISS,"jooseppro, Lennu"
44,"ulakas kaunitar
triibupasta, Maiduk",2,51.0,43,16245,ulakas kaunitar,"triibupasta, Maiduk"
45,"Paraadna
nublu, gameboy tetris, Raul Ojamaa",1,64.0,61,16244,Paraadna,"nublu, gameboy tetris, Raul Ojamaa"
46,"Tití Me Preguntó
Bad Bunny",18,18.0,3,16056,Tití Me Preguntó,Bad Bunny
47,"Aluspükse
5MIINUST, nublu",1,97.0,8,15795,Aluspükse,"5MIINUST, nublu"
48,"Eks sa ise otsusta
SADU",28,65.0,22,15732,Eks sa ise otsusta,SADU
49,"The Fate of Ophelia
Taylor Swift",1,44.0,21,15619,The Fate of Ophelia,Taylor Swift
50,"Õuna sees
Clicherik",50,61.0,5,15614,Õuna sees,Clicherik
51,"NUEVAYoL
Bad Bunny",7,15.0,4,15541,NUEVAYoL,Bad Bunny
52,"Too Epic To Be True
Vanilla Ninja",9,9.0,2,15515,Too Epic To Be True,Vanilla Ninja
53,"Mihklipäev
SADU",25,68.0,9,14930,Mihklipäev,SADU
54,"Drag Path
Twenty One Pilots",54,,1,14889,Drag Path,Twenty One Pilots
55,"12 to 12
sombr",22,57.0,31,14753,12 to 12,sombr
56,"Lähen ja tulen - Studio version
Põhja-Tallinn",53,67.0,18,14663,Lähen ja tulen - Studio version,Põhja-Tallinn
57,"We Are The People
Empire Of The Sun",17,46.0,60,14577,We Are The People,Empire Of The Sun
58,"4 Raws
EsDeeKid",11,56.0,23,14425,4 Raws,EsDeeKid
59,"Läbi roosipõõsaste
SADU",22,73.0,9,14423,Läbi roosipõõsaste,SADU
60,"No Broke Boys
Disco Lines, Tinashe",15,55.0,37,14359,No Broke Boys,"Disco Lines, Tinashe"
61,"Just The Way You Are
Milky",61,85.0,4,14294,Just The Way You Are,Milky
62,"back to friends
sombr",13,54.0,51,14286,back to friends,sombr
63,"Ainult unustamiseks
Smilers",47,83.0,16,13900,Ainult unustamiseks,Smilers
64,"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)
A$AP Rocky, Imogen Heap, Clams Casino",6,59.0,131,13751,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino"
65,"Fame is a Gun
Addison Rae",36,60.0,20,13682,Fame is a Gun,Addison Rae
66,"Tuuleiil
Maxtract, Karmel",59,75.0,20,13554,Tuuleiil,"Maxtract, Karmel"
67,"Man I Need
Olivia Dean",42,58.0,27,13214,Man I Need,Olivia Dean
68,"Homewrecker
sombr",57,62.0,3,13055,Homewrecker,sombr
69,"6llekas
triibupasta",5,74.0,79,12771,6llekas,triibupasta
70,"Punased Bikiinid
Qotid",7,80.0,39,12740,Punased Bikiinid,Qotid
71,"Love Me Not
Ravyn Lenae",14,71.0,52,12694,Love Me Not,Ravyn Lenae
72,"Petteid Loon'd
Põhja-Tallinn",72,78.0,40,12621,Petteid Loon'd,Põhja-Tallinn
73,"kõrvetab
5MIINUST, nublu, NEXUS",1,123.0,9,12583,kõrvetab,"5MIINUST, nublu, NEXUS"
74,"Century
EsDeeKid",11,66.0,17,12423,Century,EsDeeKid
75,"Tuule sõnad (feat. Duo Ruut) - Remix
NOËP, Duo Ruut",70,70.0,2,12261,Tuule sõnad (feat. Duo Ruut) - Remix,"NOËP, Duo Ruut"
