rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"EoO
Bad Bunny",1,1.0,60,129771,EoO,Bad Bunny
2,"BAILE INoLVIDABLE
Bad Bunny",1,2.0,60,126900,BAILE INoLVIDABLE,Bad Bunny
3,"DtMF
Bad Bunny",1,3.0,60,124771,DtMF,Bad Bunny
4,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,5.0,11,120472,LA VILLA,"Ryan Castro, Kapo, Gangsta"
5,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",1,7.0,11,119764,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
6,"WO OH OH
Omar Courtz, ROA",6,,1,108166,WO OH OH,"Omar Courtz, ROA"
7,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",2,6.0,60,107749,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
8,"LA CANCIÓN
J Balvin, Bad Bunny",1,4.0,348,104361,LA CANCIÓN,"J Balvin, Bad Bunny"
9,"dopamina
Peso Pluma, Tito Double P",2,13.0,9,101998,dopamina,"Peso Pluma, Tito Double P"
10,"POR SUS BESOS
Tito Double P",2,9.0,33,99815,POR SUS BESOS,Tito Double P
11,"KLOuFRENS
Bad Bunny",7,12.0,60,96793,KLOuFRENS,Bad Bunny
12,"NUEVAYoL
Bad Bunny",3,8.0,60,95116,NUEVAYoL,Bad Bunny
13,"Ya Borracho
Herencia De Grandes",13,14.0,14,92458,Ya Borracho,Herencia De Grandes
14,"SI ESTÁS CON ALGUIEN
Omar Courtz",14,,1,91887,SI ESTÁS CON ALGUIEN,Omar Courtz
15,"VOY A LLeVARTE PA PR
Bad Bunny",5,10.0,60,91171,VOY A LLeVARTE PA PR,Bad Bunny
16,"COQUETA
Fuerza Regida, Grupo Frontera",3,16.0,59,90938,COQUETA,"Fuerza Regida, Grupo Frontera"
17,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",17,,1,90896,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
