rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Jogodo
Wizkid, Asake",1,1.0,6,1848642,Jogodo,"Wizkid, Asake"
2,"Aura Salad
Mavo, SSSoundGawd",2,,1,1423850,Aura Salad,"Mavo, SSSoundGawd"
3,"Tumo Weto
Mavo",3,4.0,26,1264039,Tumo Weto,Mavo
4,"Turbulence
Wizkid, Asake",2,2.0,5,1213452,Turbulence,"Wizkid, Asake"
5,"BODY (danz)
CKay, Mavo",1,5.0,18,1023656,BODY (danz),"CKay, Mavo"
6,"Alaye
Wizkid, Asake",3,3.0,5,1020587,Alaye,"Wizkid, Asake"
7,"MONEY CONSTANT
DJ Maphorisa, DJ Tunez, Wizkid, Mavo",1,7.0,18,931455,MONEY CONSTANT,"DJ Maphorisa, DJ Tunez, Wizkid, Mavo"
8,"2Factor
Young Jonn, Asake, Focalistic",3,9.0,13,899882,2Factor,"Young Jonn, Asake, Focalistic"
9,"ANGELS
Lekaa Beats, Omah Lay, ODUMODUBLVCK",5,8.0,4,872588,ANGELS,"Lekaa Beats, Omah Lay, ODUMODUBLVCK"
10,"Paparazzi
Shoday, FOLA",1,10.0,8,860262,Paparazzi,"Shoday, FOLA"
11,"you
FOLA",1,12.0,29,859790,you,FOLA
12,"MY HEALER
Seyi Vibez, Omah Lay",4,6.0,6,839930,MY HEALER,"Seyi Vibez, Omah Lay"
13,"Raindance (feat. Tems)
Dave, Tems",6,16.0,18,794945,Raindance (feat. Tems),"Dave, Tems"
14,"Nzaza
Asake",6,17.0,79,776171,Nzaza,Asake
15,"Nakupenda
TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo",3,15.0,11,755384,Nakupenda,"TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo"
16,"caricature
FOLA",9,18.0,25,746341,caricature,FOLA
17,"FUN
Rema",1,13.0,25,745538,FUN,Rema
18,"Remember
Asake",12,20.0,141,727130,Remember,Asake
19,"HOW FAR
NO11, Ayjay bobo, Monochrome",9,25.0,7,664487,HOW FAR,"NO11, Ayjay bobo, Monochrome"
20,"Very Soon
BNXN, FOLA",1,23.0,39,634533,Very Soon,"BNXN, FOLA"
21,"Iskolodo
Wizkid, Asake",4,14.0,5,617842,Iskolodo,"Wizkid, Asake"
22,"Uzo Ano
Phyno, Flavour",22,24.0,2,600601,Uzo Ano,"Phyno, Flavour"
23,"Feeling
FOLA",13,27.0,47,596277,Feeling,FOLA
24,"Allonsy
BabyDaiz, Kvng Vinci",12,29.0,8,593599,Allonsy,"BabyDaiz, Kvng Vinci"
25,"One Condition
DJ Tunez, Wizkid, FOLA",1,22.0,31,587972,One Condition,"DJ Tunez, Wizkid, FOLA"
26,"WAIST
Omah Lay",3,26.0,15,582332,WAIST,Omah Lay
27,"DON'T LOVE ME
Omah Lay",12,19.0,3,572087,DON'T LOVE ME,Omah Lay
28,"THEY LOVE ME
ODUMODUBLVCK",11,11.0,2,567808,THEY LOVE ME,ODUMODUBLVCK
29,"Dangbana Riddim
Bella Shmurda, FOLA",10,34.0,46,549510,Dangbana Riddim,"Bella Shmurda, FOLA"
30,"Get Better
Zlatan, FOLA",5,33.0,49,546197,Get Better,"Zlatan, FOLA"
31,"What You Saying
Lil Uzi Vert",15,31.0,9,535572,What You Saying,Lil Uzi Vert
32,"EASY WITH ME
DJ Tunez, Wizkid, ODUMODUBLVCK",3,32.0,14,529543,EASY WITH ME,"DJ Tunez, Wizkid, ODUMODUBLVCK"
33,"Realize
Rybeena, BhadBoi OML",33,35.0,3,529157,Realize,"Rybeena, BhadBoi OML"
34,"Getting Paid (feat. Asake, Wizkid, Skillibeng)
Sarz, Asake, Wizkid, Skillibeng",1,30.0,22,527918,"Getting Paid (feat. Asake, Wizkid, Skillibeng)","Sarz, Asake, Wizkid, Skillibeng"
35,"Secondhand (feat. Rema)
Don Toliver, Rema",19,28.0,4,527043,Secondhand (feat. Rema),"Don Toliver, Rema"
36,"Lalala
Young Jonn, Rema",7,36.0,13,523040,Lalala,"Young Jonn, Rema"
37,"99 (feat. Daecolm)
Olamide, Seyi Vibez, Asake, Young Jonn, Daecolm",1,39.0,38,488593,99 (feat. Daecolm),"Olamide, Seyi Vibez, Asake, Young Jonn, Daecolm"
38,"Ototo
Asake",7,51.0,54,482026,Ototo,Asake
39,"Isaka II (6am) [with Tems, Omah Lay, Thukuthela, JAZZWRLD, Lekaa Beats]
CIZA, Tems, Omah Lay, Thukuthela, JAZZWRLD, Lekaa Beats",14,42.0,26,469184,"Isaka II (6am) [with Tems, Omah Lay, Thukuthela, JAZZWRLD, Lekaa Beats]","CIZA, Tems, Omah Lay, Thukuthela, JAZZWRLD, Lekaa Beats"
40,"lost
FOLA, Kizz Daniel",2,43.0,44,459417,lost,"FOLA, Kizz Daniel"
41,"KANTE (feat. Fave)
Davido, FAVE",5,47.0,153,451587,KANTE (feat. Fave),"Davido, FAVE"
42,"Escaladizzy II
Mavo, Shallipopi, Zlatan, Ayra Starr",11,46.0,29,450993,Escaladizzy II,"Mavo, Shallipopi, Zlatan, Ayra Starr"
43,"SNOKONOKO
Al Xapo, Benzoo, EeQue",7,41.0,13,444858,SNOKONOKO,"Al Xapo, Benzoo, EeQue"
44,"Muzz
Zaylevelten",21,21.0,2,444366,Muzz,Zaylevelten
45,"With You (feat. Omah Lay)
Davido, Omah Lay",1,37.0,45,440412,With You (feat. Omah Lay),"Davido, Omah Lay"
46,"LAPOPIANO
Boy Muller",28,40.0,5,439701,LAPOPIANO,Boy Muller
47,"FUJI MOTO
Seyi Vibez",5,45.0,15,437569,FUJI MOTO,Seyi Vibez
48,"eko
FOLA",3,50.0,26,431933,eko,FOLA
49,"Pidgin & English
BNXN",6,49.0,126,421281,Pidgin & English,BNXN
50,"INDUSTRY MACHINE
ODUMODUBLVCK",3,54.0,22,413271,INDUSTRY MACHINE,ODUMODUBLVCK
51,"Doha
Seyi Vibez",5,52.0,85,411736,Doha,Seyi Vibez
52,"BIG TIME (feat. Wizkid)
ODUMODUBLVCK, Wizkid",1,48.0,21,398308,BIG TIME (feat. Wizkid),"ODUMODUBLVCK, Wizkid"
53,"OBT (feat. BhadBoi OML)
Shoday, BhadBoi OML",38,44.0,3,395801,OBT (feat. BhadBoi OML),"Shoday, BhadBoi OML"
54,"wgft (feat. Burna Boy)
Gunna, Burna Boy",4,57.0,29,389667,wgft (feat. Burna Boy),"Gunna, Burna Boy"
55,"MARIO KART
Seyi Vibez",3,53.0,53,387633,MARIO KART,Seyi Vibez
56,"Use Me
Mavo, P.Priime",38,38.0,2,380011,Use Me,"Mavo, P.Priime"
57,"Unto the Next
Famous Pluto, Zerrydl",5,60.0,15,377887,Unto the Next,"Famous Pluto, Zerrydl"
58,"No
Mavo",53,55.0,14,371664,No,Mavo
59,"MMS
Asake, Wizkid",1,59.0,82,369281,MMS,"Asake, Wizkid"
60,"who does that? (feat. Bella Shmurda)
FOLA, Bella Shmurda",9,58.0,64,367548,who does that? (feat. Bella Shmurda),"FOLA, Bella Shmurda"
61,"Who’s Dat Girl
Ayra Starr, Rema",1,56.0,19,365251,Who’s Dat Girl,"Ayra Starr, Rema"
62,"Awolowo
Fido",1,72.0,80,360492,Awolowo,Fido
63,"Che Che (feat. Asake)
Young Jonn, Asake",7,62.0,38,344488,Che Che (feat. Asake),"Young Jonn, Asake"
64,"Mentally
Asake",10,66.0,20,341247,Mentally,Asake
65,"Shakabulizzy - Remix
Mavo, Davido",6,64.0,18,336099,Shakabulizzy - Remix,"Mavo, Davido"
66,"God is working
Ayo Maff",66,,1,331671,God is working,Ayo Maff
67,"Karma
Seyi Vibez",34,83.0,140,330884,Karma,Seyi Vibez
68,"BADMAN GANGSTA
Asake, Tiakola",1,68.0,31,328753,BADMAN GANGSTA,"Asake, Tiakola"
69,"Joy is Coming
Fido",1,74.0,57,328602,Joy is Coming,Fido
70,"Venus
Faceless, Serøtonin",4,75.0,65,328028,Venus,"Faceless, Serøtonin"
71,"healer
FOLA",15,67.0,25,327997,healer,FOLA
72,"bye bye
FOLA",42,70.0,44,327970,bye bye,FOLA
73,"Pressure
Seyi Vibez",1,63.0,41,326564,Pressure,Seyi Vibez
74,"Hey Mama
SSSoundGawd, Mavo, Joshua Baraka",74,,1,323715,Hey Mama,"SSSoundGawd, Mavo, Joshua Baraka"
75,"Wuse Tu
Zaylevelten, Mavo",11,71.0,13,319070,Wuse Tu,"Zaylevelten, Mavo"
76,"Lonely At The Top
Asake",1,81.0,141,315358,Lonely At The Top,Asake
77,"Love
Burna Boy",1,73.0,33,314452,Love,Burna Boy
78,"Chandelier
Monaky",4,82.0,66,313849,Chandelier,Monaky
79,"White Keys
Dominic Fike",34,61.0,5,313769,White Keys,Dominic Fike
80,"Ewo
Famous Pluto, Shallipopi, Zerrydl",1,69.0,36,309625,Ewo,"Famous Pluto, Shallipopi, Zerrydl"
81,"Ko'rin Iyin
EmmaOMG",61,79.0,7,308224,Ko'rin Iyin,EmmaOMG
82,"TENSION
Ayo Maff",37,85.0,14,305621,TENSION,Ayo Maff
83,"Arike
Kunmie",1,89.0,54,303809,Arike,Kunmie
84,"Guapanese
Mavo",80,80.0,10,302655,Guapanese,Mavo
85,"forever be mine (feat. Wizkid)
Gunna, Wizkid",1,87.0,29,293174,forever be mine (feat. Wizkid),"Gunna, Wizkid"
86,"What's Up My G
Asake",10,84.0,12,292338,What's Up My G,Asake
87,"Love Egbugomo
SYEMCA, Chike",59,65.0,9,291117,Love Egbugomo,"SYEMCA, Chike"
88,"PRAY
BNXN",3,90.0,147,282897,PRAY,BNXN
89,"Papaoutai - Afro Soul
mikeeysmind, Chill77, Unjaps",7,76.0,2,280869,Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps"
90,"Terminator
Asake",1,95.0,184,279879,Terminator,Asake
91,"golibe
FOLA, Victony",10,88.0,25,279531,golibe,"FOLA, Victony"
92,"Miss You
FOLA",82,96.0,20,278490,Miss You,FOLA
93,"Galorizzy
Ecool, Davido, Mavo, Morravey, Scotts Maphuma, Iphxne Dj",2,78.0,14,275559,Galorizzy,"Ecool, Davido, Mavo, Morravey, Scotts Maphuma, Iphxne Dj"
94,"Lose My Mind
T.I BLAZE",47,92.0,13,273921,Lose My Mind,T.I BLAZE
95,"DOG EAT DOG II (feat. Cruel Santino and Bella Shmurda)
ODUMODUBLVCK, Cruel Santino, Bella Shmurda",5,93.0,144,272467,DOG EAT DOG II (feat. Cruel Santino and Bella Shmurda),"ODUMODUBLVCK, Cruel Santino, Bella Shmurda"
96,"Management
Smur Lee, BIGKHALID",10,94.0,54,272001,Management,"Smur Lee, BIGKHALID"
97,"Shakabulizzy
Mavo",3,86.0,25,270277,Shakabulizzy,Mavo
98,"Oluwatosin
Tkeyz, SteveHills",23,113.0,31,268650,Oluwatosin,"Tkeyz, SteveHills"
99,"23
Burna Boy",99,106.0,11,267150,23,Burna Boy
100,"Where I’m from
Tml Vibez, Seyi Vibez",14,98.0,87,264839,Where I’m from,"Tml Vibez, Seyi Vibez"
101,"WOTOWOTO SEASONING (feat. Black Sherif)
ODUMODUBLVCK, Black Sherif",2,91.0,117,263142,WOTOWOTO SEASONING (feat. Black Sherif),"ODUMODUBLVCK, Black Sherif"
102,"Dealer
Ayo Maff, Fireboy DML",1,150.0,98,261183,Dealer,"Ayo Maff, Fireboy DML"
103,"Akonuche
Priesst",16,77.0,8,258148,Akonuche,Priesst
104,"Blessings (with Asake) - Remix
Fridayy, Asake",20,101.0,11,255527,Blessings (with Asake) - Remix,"Fridayy, Asake"
105,"Happiness (feat. Asake, Gunna)
Sarz, Asake, Gunna",5,109.0,12,253918,"Happiness (feat. Asake, Gunna)","Sarz, Asake, Gunna"
106,"WAIT FOR U (feat. Drake & Tems)
Future, Drake, Tems",5,99.0,96,252181,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems"
107,"I Love You, I'm Sorry
Gracie Abrams",107,158.0,5,251085,"I Love You, I'm Sorry",Gracie Abrams
108,"Cana
Seyi Vibez",3,103.0,12,248345,Cana,Seyi Vibez
109,"My God
BBO",95,125.0,29,247553,My God,BBO
110,"Mad Over You
Runtown",95,121.0,18,246818,Mad Over You,Runtown
111,"Baby (Is it a Crime)
Rema",1,123.0,55,245387,Baby (Is it a Crime),Rema
112,"2:30
Asake",1,108.0,47,238289,2:30,Asake
113,"Mockingbird
Eminem",104,104.0,18,236686,Mockingbird,Eminem
114,"Laye Mi
BNXN",5,110.0,35,236314,Laye Mi,BNXN
115,"Lameda
SAMAD",77,116.0,28,236193,Lameda,SAMAD
116,"17
Muyeez",50,102.0,3,236095,17,Muyeez
117,"Dandelions
Ruth B.",117,120.0,18,235829,Dandelions,Ruth B.
118,"LEGOLAS
ODUMODUBLVCK",13,118.0,48,233435,LEGOLAS,ODUMODUBLVCK
119,"i'm a mess
Omah Lay",10,115.0,28,232175,i'm a mess,Omah Lay
120,"Ordinary
Alex Warren",47,105.0,48,231445,Ordinary,Alex Warren
121,"Appraisal
Bella Shmurda",23,126.0,21,229831,Appraisal,Bella Shmurda
122,"Ilashizzy
Mavo",122,124.0,3,229291,Ilashizzy,Mavo
123,"Oh No
Oberz, FOLA",54,119.0,30,228870,Oh No,"Oberz, FOLA"
124,"PITY THIS BOY (with Victony)
ODUMODUBLVCK, Victony",1,122.0,55,227699,PITY THIS BOY (with Victony),"ODUMODUBLVCK, Victony"
125,"AMA
Seyi Vibez",4,114.0,15,226592,AMA,Seyi Vibez
126,"Instagram
Muyeez, Seyi Vibez",1,164.0,96,225832,Instagram,"Muyeez, Seyi Vibez"
127,"lovely (with Khalid)
Billie Eilish, Khalid",127,131.0,18,225242,lovely (with Khalid),"Billie Eilish, Khalid"
128,"Stronger
Young Jonn",3,142.0,87,225085,Stronger,Young Jonn
129,"DEARLY
Wande Coal, Qing Madi",97,97.0,2,224491,DEARLY,"Wande Coal, Qing Madi"
130,"Party No Dey Stop (with Zinoleesky)
Adekunle Gold, Zinoleesky",1,130.0,28,224125,Party No Dey Stop (with Zinoleesky),"Adekunle Gold, Zinoleesky"
131,"Bandana
Fireboy DML, Asake",1,148.0,51,224043,Bandana,"Fireboy DML, Asake"
132,"Essence (feat. Tems)
Wizkid, Tems",95,133.0,13,222766,Essence (feat. Tems),"Wizkid, Tems"
133,"Intentions (feat. Urban Chords)
FAVE, Urban Chords",37,127.0,13,222303,Intentions (feat. Urban Chords),"FAVE, Urban Chords"
134,"Laho
Shallipopi",1,136.0,53,221810,Laho,Shallipopi
135,"Genesis
Zlatan, Flavour",110,160.0,3,221594,Genesis,"Zlatan, Flavour"
136,"Me & U
Tems",12,117.0,12,221479,Me & U,Tems
137,"Man of The Year
Seyi Vibez",7,163.0,140,221270,Man of The Year,Seyi Vibez
138,"Cash Flow (feat. Wizkid)
Young Jonn, Wizkid",1,129.0,26,220933,Cash Flow (feat. Wizkid),"Young Jonn, Wizkid"
139,"let it breathe (feat. Roddy Ricch)
Gunna, Roddy Ricch",76,134.0,94,220921,let it breathe (feat. Roddy Ricch),"Gunna, Roddy Ricch"
140,"EBUBE DIKE
Amb. Sis. Chinyere Udoma",77,153.0,6,220003,EBUBE DIKE,Amb. Sis. Chinyere Udoma
141,"Mmmn
Naira Marley",43,107.0,10,219152,Mmmn,Naira Marley
142,"ocean eyes
Billie Eilish",142,147.0,8,218531,ocean eyes,Billie Eilish
143,"Tomorrow - Spiritual Version
SAMAD",36,143.0,28,217807,Tomorrow - Spiritual Version,SAMAD
144,"Nkemakonam
TUFF KING",66,,1,217690,Nkemakonam,TUFF KING
