rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,1.0,9,188521,LA VILLA,"Ryan Castro, Kapo, Gangsta"
2,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",2,2.0,11,186663,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
3,"DtMF
Bad Bunny",1,3.0,60,163879,DtMF,Bad Bunny
4,"BAILE INoLVIDABLE
Bad Bunny",2,4.0,60,158249,BAILE INoLVIDABLE,Bad Bunny
5,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,5.0,18,145211,Cuando No Era Cantante,"El Bogueto, Yung Beef"
6,"Posso Até Não Te Dar Flores
DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",1,6.0,19,142060,Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG"
7,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",2,8.0,60,136225,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
8,"EoO
Bad Bunny",7,7.0,60,132236,EoO,Bad Bunny
9,"Puñaladas
Lauta, Amigo de Artistas, Tote",9,31.0,5,120357,Puñaladas,"Lauta, Amigo de Artistas, Tote"
10,"KLOuFRENS
Bad Bunny",10,11.0,60,119351,KLOuFRENS,Bad Bunny
11,"COQUETA
Fuerza Regida, Grupo Frontera",4,10.0,49,118839,COQUETA,"Fuerza Regida, Grupo Frontera"
12,"LA CANCIÓN
J Balvin, Bad Bunny",1,9.0,348,117966,LA CANCIÓN,"J Balvin, Bad Bunny"
13,"JETSKI
PEDRO SAMPAIO, MC Meno K, Melody",13,16.0,8,116516,JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody"
14,"no tiene sentido
Beéle",4,15.0,40,115101,no tiene sentido,Beéle
15,"VOY A LLeVARTE PA PR
Bad Bunny",6,12.0,60,107674,VOY A LLeVARTE PA PR,Bad Bunny
16,"NUEVAYoL
Bad Bunny",9,13.0,60,107590,NUEVAYoL,Bad Bunny
17,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,19.0,52,105109,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
18,"Amor de Vago
La T y La M, Malandro",1,17.0,70,103628,Amor de Vago,"La T y La M, Malandro"
19,"La player (Bandolera)
Zion & Lennox",2,18.0,35,102380,La player (Bandolera),Zion & Lennox
20,"Sola (Remix)
Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",3,20.0,479,102266,Sola (Remix),"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin"
21,"Me Rehúso
Danny Ocean",1,21.0,479,99638,Me Rehúso,Danny Ocean
22,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",12,14.0,67,99186,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
23,"mi refe
Beéle, Ovy On The Drums",8,25.0,60,96021,mi refe,"Beéle, Ovy On The Drums"
24,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",16,33.0,41,95586,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
25,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",8,24.0,26,95317,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
26,"TU VAS SIN (fav)
Rels B",12,26.0,30,93961,TU VAS SIN (fav),Rels B
27,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",3,23.0,37,93841,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
28,"⁠LUCES DE COLORES
Omar Courtz",10,35.0,54,93250,⁠LUCES DE COLORES,Omar Courtz
29,"Até Quebrar a Cama 2.0
cjnobeat, Mc Morena, Mc Gw",2,22.0,23,91502,Até Quebrar a Cama 2.0,"cjnobeat, Mc Morena, Mc Gw"
30,"QLOO*
Young Cister, Kreamly",2,28.0,34,91088,QLOO*,"Young Cister, Kreamly"
31,"Soy Favela
La T y La M",28,29.0,11,90978,Soy Favela,La T y La M
32,"Es un Secreto
Plan B",4,32.0,246,88315,Es un Secreto,Plan B
33,"Tu jardín con enanitos
Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",6,30.0,38,87905,Tu jardín con enanitos,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES"
34,"WO OH OH
Omar Courtz, ROA",34,,1,83910,WO OH OH,"Omar Courtz, ROA"
35,"Amo Minha Favela
DJ Japa NK, MC Meno K",35,36.0,9,83290,Amo Minha Favela,"DJ Japa NK, MC Meno K"
36,"El Teléfono
Héctor ""El Father"", Wisin & Yandel",27,34.0,24,80785,El Teléfono,"Héctor ""El Father"", Wisin & Yandel"
37,"capaz (merengueton)
Alleh, Yorghaki",8,39.0,60,78709,capaz (merengueton),"Alleh, Yorghaki"
38,"Tití Me Preguntó
Bad Bunny",4,27.0,3,78657,Tití Me Preguntó,Bad Bunny
39,"UWAIE
Kapo",2,45.0,80,78397,UWAIE,Kapo
40,"Khé?
Rauw Alejandro, Romeo Santos",1,42.0,67,77952,Khé?,"Rauw Alejandro, Romeo Santos"
41,"LUNA
Feid, ATL Jacob",1,38.0,116,77504,LUNA,"Feid, ATL Jacob"
42,"Talento
Yan Block, Panda Black",42,48.0,11,76934,Talento,"Yan Block, Panda Black"
43,"SOLEAO
Myke Towers, Quevedo",12,44.0,39,75678,SOLEAO,"Myke Towers, Quevedo"
44,"UWAIE - versión cumbia
Max Carra",32,46.0,12,75584,UWAIE - versión cumbia,Max Carra
45,"Moscow Mule
Bad Bunny",1,37.0,98,74238,Moscow Mule,Bad Bunny
46,"Amanece
Anuel AA, Haze",4,47.0,168,73118,Amanece,"Anuel AA, Haze"
47,"NO ME QUIERO CASAR
Bad Bunny",26,43.0,21,71320,NO ME QUIERO CASAR,Bad Bunny
48,"En Privado
Xavi, Manuel Turizo",15,49.0,51,71143,En Privado,"Xavi, Manuel Turizo"
49,"FAMOSINHA
Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN",4,40.0,40,69519,FAMOSINHA,"Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN"
50,"Kyoto
Omar Courtz, De La Rose, Haze",21,56.0,82,68196,Kyoto,"Omar Courtz, De La Rose, Haze"
51,"MOJABI GHOST
Tainy, Bad Bunny",36,41.0,50,66178,MOJABI GHOST,"Tainy, Bad Bunny"
52,"Hasta Que Dios Diga
Anuel AA, Bad Bunny",7,64.0,39,65445,Hasta Que Dios Diga,"Anuel AA, Bad Bunny"
53,"Ojitos Lindos
Bad Bunny, Bomba Estéreo",1,50.0,199,60111,Ojitos Lindos,"Bad Bunny, Bomba Estéreo"
54,"Encantadora
Yandel",27,54.0,69,59878,Encantadora,Yandel
55,"Q U E V A S H A C E R H O Y ?
Omar Courtz, De La Rose",1,58.0,75,58452,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose"
56,"Otra Vez (feat. J Balvin)
Zion & Lennox, J Balvin",2,57.0,34,56735,Otra Vez (feat. J Balvin),"Zion & Lennox, J Balvin"
57,"NUBES
De La Rose, Omar Courtz",18,62.0,47,56373,NUBES,"De La Rose, Omar Courtz"
58,"Yo sé
Yan Block, TORRRES",15,60.0,64,55615,Yo sé,"Yan Block, TORRRES"
59,"Tiroteo - Remix
Marc Seguí, Rauw Alejandro, Pol Granch",12,51.0,39,54966,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch"
60,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",60,,1,54483,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
61,"444
Yan Block, Panda Black",19,65.0,53,53793,444,"Yan Block, Panda Black"
62,"COMERNOS
Omar Courtz, Bad Gyal",62,,1,53660,COMERNOS,"Omar Courtz, Bad Gyal"
63,"POR SI MAÑANA NO ESTOY
Omar Courtz",63,,1,53553,POR SI MAÑANA NO ESTOY,Omar Courtz
64,"Borro Cassette
Maluma",24,69.0,100,51828,Borro Cassette,Maluma
65,"No Me Conoce - Remix
JHAYCO, J Balvin, Bad Bunny",4,63.0,61,51792,No Me Conoce - Remix,"JHAYCO, J Balvin, Bad Bunny"
66,"Imagínate
Danny Ocean, Kapo",21,74.0,67,51405,Imagínate,"Danny Ocean, Kapo"
67,"Hace Mucho Tiempo
Arcángel",25,88.0,17,51173,Hace Mucho Tiempo,Arcángel
68,"Te Quiero Asi
Lalo Y Los Descalzos",7,53.0,74,51113,Te Quiero Asi,Lalo Y Los Descalzos
69,"P do Pecado - Ao Vivo
Grupo Menos É Mais, Simone Mendes",69,71.0,25,51089,P do Pecado - Ao Vivo,"Grupo Menos É Mais, Simone Mendes"
70,"Niño
Milo j",57,67.0,22,50960,Niño,Milo j
71,"Imitadora
Romeo Santos",54,61.0,23,50903,Imitadora,Romeo Santos
72,"Si Antes Te Hubiera Conocido
KAROL G",1,66.0,88,50612,Si Antes Te Hubiera Conocido,KAROL G
73,"Verano Rosa
KAROL G, Feid",18,68.0,36,50574,Verano Rosa,"KAROL G, Feid"
74,"Perdóname
La Factoria, Eddy Lover",44,72.0,78,50421,Perdóname,"La Factoria, Eddy Lover"
75,"MONACO
Bad Bunny",2,55.0,4,49544,MONACO,Bad Bunny
76,"WELTiTA
Bad Bunny, Chuwi",6,52.0,14,48770,WELTiTA,"Bad Bunny, Chuwi"
77,"SI ESTÁS CON ALGUIEN
Omar Courtz",77,,1,48673,SI ESTÁS CON ALGUIEN,Omar Courtz
78,"End of Beginning
Djo",23,77.0,13,48666,End of Beginning,Djo
79,"Piel
Tiago PZK, Ke Personajes",1,78.0,108,48635,Piel,"Tiago PZK, Ke Personajes"
80,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)
Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",10,80.0,56,48410,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn"
81,"Volando - Remix
Mora, Bad Bunny, Sech",2,83.0,45,48144,Volando - Remix,"Mora, Bad Bunny, Sech"
82,"Carnívoro
Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK",82,94.0,4,47842,Carnívoro,"Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK"
83,"EL MUNDO SE VA A ACABAR
Omar Courtz, KARBeats",83,,1,47074,EL MUNDO SE VA A ACABAR,"Omar Courtz, KARBeats"
84,"Siempre Me Buscabas
Lalo Y Los Descalzos",8,73.0,120,46930,Siempre Me Buscabas,Lalo Y Los Descalzos
85,"444 - Remix
Yan Block, De La Rose, Hades66, Ñengo Flow",64,90.0,9,46866,444 - Remix,"Yan Block, De La Rose, Hades66, Ñengo Flow"
86,"The Fate of Ophelia
Taylor Swift",9,79.0,21,46552,The Fate of Ophelia,Taylor Swift
87,"Enséñame a Bailar
Bad Bunny",37,70.0,13,45825,Enséñame a Bailar,Bad Bunny
88,"Lo Siento BB:/
Tainy, Bad Bunny, Julieta Venegas",1,81.0,11,45660,Lo Siento BB:/,"Tainy, Bad Bunny, Julieta Venegas"
89,"No Te Hagas
Jory Boy, Bad Bunny",51,106.0,61,45126,No Te Hagas,"Jory Boy, Bad Bunny"
90,"quédate
Beéle",42,76.0,39,44890,quédate,Beéle
91,"Fanática Sensual
Plan B",64,111.0,17,44438,Fanática Sensual,Plan B
92,"Who
Jimin",1,59.0,84,44398,Who,Jimin
93,"De las 2 (feat. Bad Bunny & Arcángel)
Trap Capos, Noriel, Bad Bunny, Arcángel",86,109.0,21,43421,De las 2 (feat. Bad Bunny & Arcángel),"Trap Capos, Noriel, Bad Bunny, Arcángel"
94,"Si Veo a Tu Mamá
Bad Bunny",1,75.0,15,43293,Si Veo a Tu Mamá,Bad Bunny
95,"Rara Vez
Milo j, Taiu",5,86.0,25,42914,Rara Vez,"Milo j, Taiu"
96,"El Efecto
Rauw Alejandro, Chencho Corleone",33,104.0,39,42627,El Efecto,"Rauw Alejandro, Chencho Corleone"
97,"UNA NOTi
Omar Courtz",35,116.0,30,42317,UNA NOTi,Omar Courtz
98,"Necesito De Ti
Grupo Azteka",29,84.0,78,42111,Necesito De Ti,Grupo Azteka
99,"Anoche
Lalo Y Los Descalzos",16,96.0,109,41940,Anoche,Lalo Y Los Descalzos
100,"si te pillara
Beéle",7,89.0,36,41579,si te pillara,Beéle
101,"Hecha Pa' Mi
Boza",4,102.0,38,41522,Hecha Pa' Mi,Boza
102,"Si Estuviésemos Juntos
Bad Bunny",17,85.0,5,41298,Si Estuviésemos Juntos,Bad Bunny
103,"WHAT U NEED? (SexPlaylist 2)
Omar Courtz, Myke Towers",103,,1,41265,WHAT U NEED? (SexPlaylist 2),"Omar Courtz, Myke Towers"
104,"La Perla
ROSALÍA, Yahritza Y Su Esencia",23,87.0,16,41248,La Perla,"ROSALÍA, Yahritza Y Su Esencia"
105,"111
Yan Block",27,114.0,52,40966,111,Yan Block
106,"M U S A E L E V Á
Omar Courtz",56,117.0,23,40768,M U S A E L E V Á,Omar Courtz
107,"Ahora Estoy Solo
Lalo Y Los Descalzos",29,103.0,143,40585,Ahora Estoy Solo,Lalo Y Los Descalzos
108,"Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)
Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",89,145.0,5,40438,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian"
109,"TUCHAT
Quevedo",51,118.0,8,40142,TUCHAT,Quevedo
110,"Esclava - Remix
Bryant Myers, Anuel AA, Anonimus, Almighty",105,105.0,22,39923,Esclava - Remix,"Bryant Myers, Anuel AA, Anonimus, Almighty"
111,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66
Bizarrap, Daddy Yankee",2,97.0,16,39905,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","Bizarrap, Daddy Yankee"
112,"Callaita
Bad Bunny, Tainy",1,91.0,4,39855,Callaita,"Bad Bunny, Tainy"
113,"UN PESO
J Balvin, Bad Bunny, Marciano Cantero",30,133.0,10,39832,UN PESO,"J Balvin, Bad Bunny, Marciano Cantero"
114,"Tómame o Déjame
Tropical Caribe",24,82.0,149,39829,Tómame o Déjame,Tropical Caribe
115,"¿Qué Nos Pasó?
Anuel AA",91,110.0,13,39662,¿Qué Nos Pasó?,Anuel AA
116,"Virtual Diva
Don Omar",66,98.0,61,39499,Virtual Diva,Don Omar
117,"Com Cabelo Loirinho
Kevin do recife, MC Thiaguinho do Recife, Mc Morena, cjnobeat, Danilo Bolado, Dadá Boladão",36,95.0,15,39412,Com Cabelo Loirinho,"Kevin do recife, MC Thiaguinho do Recife, Mc Morena, cjnobeat, Danilo Bolado, Dadá Boladão"
118,"Me Estoy Muriendo por Ti
Grupo Aliados",118,139.0,3,39392,Me Estoy Muriendo por Ti,Grupo Aliados
119,"un x100to
Grupo Frontera, Bad Bunny",1,112.0,15,39315,un x100to,"Grupo Frontera, Bad Bunny"
120,"CÓMO SE SIENTE - Remix
JHAYCO, Bad Bunny",11,131.0,5,39299,CÓMO SE SIENTE - Remix,"JHAYCO, Bad Bunny"
121,"Every Breath You Take
The Police",73,99.0,25,39235,Every Breath You Take,The Police
122,"QUE PRETENDES
J Balvin, Bad Bunny",15,115.0,11,38918,QUE PRETENDES,"J Balvin, Bad Bunny"
123,"ME POSTOU NO DAILY - FESTA DO BIG G
MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat",91,121.0,16,38615,ME POSTOU NO DAILY - FESTA DO BIG G,"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat"
124,"FERXXO 151
Feid, ICON",93,93.0,14,38576,FERXXO 151,"Feid, ICON"
125,"Don’t Say You Love Me
Jin",2,92.0,41,38574,Don’t Say You Love Me,Jin
126,"Loco (Tu Forma De Ser)
Los Auténticos Decadentes",85,101.0,22,38446,Loco (Tu Forma De Ser),Los Auténticos Decadentes
127,"Columbia
Quevedo",1,125.0,138,38388,Columbia,Quevedo
128,"ROSITA
Tainy, Rauw Alejandro, JHAYCO",128,,1,38226,ROSITA,"Tainy, Rauw Alejandro, JHAYCO"
129,"Adicto (with Anuel AA & Ozuna)
Tainy, Anuel AA, Ozuna",1,130.0,45,38216,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna"
130,"KOKO
Omar Courtz",130,,1,38187,KOKO,Omar Courtz
131,"PERFuMITO NUEVO
Bad Bunny, RaiNao",16,100.0,4,38160,PERFuMITO NUEVO,"Bad Bunny, RaiNao"
132,"Me Prefieres A Mi
Arcángel",87,184.0,6,38034,Me Prefieres A Mi,Arcángel
133,"Nunca Me Olvides
Yandel",78,113.0,14,37726,Nunca Me Olvides,Yandel
134,"Treme o Bumbum
Mc Leléto",86,119.0,8,37552,Treme o Bumbum,Mc Leléto
135,"Pela Última Vez - Ao Vivo
Grupo Menos É Mais, NATTAN",135,137.0,9,37551,Pela Última Vez - Ao Vivo,"Grupo Menos É Mais, NATTAN"
136,"Toda - Remix
Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",1,153.0,8,37193,Toda - Remix,"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno"
137,"Candy
Plan B",75,178.0,13,36967,Candy,Plan B
138,"Madura
Cosculluela, Bad Bunny",2,195.0,2,36651,Madura,"Cosculluela, Bad Bunny"
139,"Dile
Don Omar",61,127.0,24,36642,Dile,Don Omar
140,"Corazón
Danny Ocean",122,122.0,5,36560,Corazón,Danny Ocean
141,"Nena Maldición (feat. Lenny Tavárez)
Paulo Londra, Lenny Tavárez",2,192.0,8,36559,Nena Maldición (feat. Lenny Tavárez),"Paulo Londra, Lenny Tavárez"
142,"Tu No Sabes Nada
Jorge Acosta",59,154.0,14,36494,Tu No Sabes Nada,Jorge Acosta
143,"top diesel
Beéle",8,120.0,38,36463,top diesel,Beéle
144,"orióN
Boza, ELENA ROSE",82,148.0,25,36410,orióN,"Boza, ELENA ROSE"
145,"L a k e n o s h i
Omar Courtz",145,,1,36025,L a k e n o s h i,Omar Courtz
146,"AURORA
Mora, De La Rose",37,138.0,41,36004,AURORA,"Mora, De La Rose"
147,"No Se Va
La T y La M",116,124.0,10,36002,No Se Va,La T y La M
148,"Se Preparó
Ozuna",1,159.0,53,35946,Se Preparó,Ozuna
149,"Amor
Emmanuel Cortes",107,107.0,7,35910,Amor,Emmanuel Cortes
150,"Dardos
Romeo Santos, Prince Royce",109,142.0,6,35830,Dardos,"Romeo Santos, Prince Royce"
151,"Si Tu Novio Te Deja Sola
J Balvin, Bad Bunny",15,175.0,2,35701,Si Tu Novio Te Deja Sola,"J Balvin, Bad Bunny"
