rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Who
Jimin",1,1.0,84,369209,Who,Jimin
2,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",2,,1,321713,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
3,"WO OH OH
Omar Courtz, ROA",3,,1,298798,WO OH OH,"Omar Courtz, ROA"
4,"Don’t Say You Love Me
Jin",1,2.0,41,274740,Don’t Say You Love Me,Jin
5,"SI ESTÁS CON ALGUIEN
Omar Courtz",5,,1,274542,SI ESTÁS CON ALGUIEN,Omar Courtz
6,"POR SI MAÑANA NO ESTOY
Omar Courtz",6,,1,268416,POR SI MAÑANA NO ESTOY,Omar Courtz
7,"$UELTA GATITA $UELTA
Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",7,,1,251207,$UELTA GATITA $UELTA,"Omar Courtz, Dei V, Clarent, Tito ""El Bambino"""
8,"EL MUNDO SE VA A ACABAR
Omar Courtz, KARBeats",8,115.0,10,231006,EL MUNDO SE VA A ACABAR,"Omar Courtz, KARBeats"
9,"Inglés En Miami
Rawayana, Manuel Turizo",2,3.0,8,222870,Inglés En Miami,"Rawayana, Manuel Turizo"
10,"KOKO
Omar Courtz",10,,1,211678,KOKO,Omar Courtz
11,"WHAT U NEED? (SexPlaylist 2)
Omar Courtz, Myke Towers",11,,1,201024,WHAT U NEED? (SexPlaylist 2),"Omar Courtz, Myke Towers"
12,"VAMOaCOCHI
Omar Courtz",12,,1,198384,VAMOaCOCHI,Omar Courtz
13,"L a k e n o s h i
Omar Courtz",13,,1,194617,L a k e n o s h i,Omar Courtz
14,"OUTRO
Omar Courtz",14,,1,174233,OUTRO,Omar Courtz
15,"SIRENA
Omar Courtz",15,,1,172940,SIRENA,Omar Courtz
16,"Killin' It Girl (feat. GloRilla)
j-hope, GloRilla",3,4.0,37,171881,Killin' It Girl (feat. GloRilla),"j-hope, GloRilla"
17,"SUSU
Omar Courtz",17,,1,165422,SUSU,Omar Courtz
18,"ROSITA
Tainy, Rauw Alejandro, JHAYCO",18,,1,163820,ROSITA,"Tainy, Rauw Alejandro, JHAYCO"
19,"COMERNOS
Omar Courtz, Bad Gyal",19,,1,159400,COMERNOS,"Omar Courtz, Bad Gyal"
20,"MOONLIGHT
Omar Courtz, Eladio Carrion",20,,1,157837,MOONLIGHT,"Omar Courtz, Eladio Carrion"
21,"Dulces SueñoZzz (+INTERLUDIO)
Omar Courtz, Rubí",21,,1,153317,Dulces SueñoZzz (+INTERLUDIO),"Omar Courtz, Rubí"
22,"SKY
Omar Courtz",22,,1,141378,SKY,Omar Courtz
23,"Domingo Familiar
Rawayana, Jowell & Randy",4,5.0,8,140629,Domingo Familiar,"Rawayana, Jowell & Randy"
24,"GANTEL y BELLAKz
Omar Courtz, BASSYY",24,,1,140614,GANTEL y BELLAKz,"Omar Courtz, BASSYY"
25,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",1,8.0,60,137205,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
26,"Life Goes On
BTS",12,12.0,27,135390,Life Goes On,BTS
27,"EoO
Bad Bunny",6,6.0,60,132799,EoO,Bad Bunny
28,"LA VILLA
Ryan Castro, Kapo, Gangsta",8,13.0,11,125736,LA VILLA,"Ryan Castro, Kapo, Gangsta"
29,"BAILE INoLVIDABLE
Bad Bunny",4,7.0,60,125499,BAILE INoLVIDABLE,Bad Bunny
30,"⁠LUCES DE COLORES
Omar Courtz",7,26.0,75,123411,⁠LUCES DE COLORES,Omar Courtz
31,"DtMF
Bad Bunny",1,9.0,60,122145,DtMF,Bad Bunny
32,"Talento
Yan Block, Panda Black",12,24.0,23,115127,Talento,"Yan Block, Panda Black"
33,"no tiene sentido
Beéle",1,17.0,41,114254,no tiene sentido,Beéle
34,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",4,21.0,27,114179,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
35,"capaz (merengueton)
Alleh, Yorghaki",1,16.0,67,114148,capaz (merengueton),"Alleh, Yorghaki"
36,"KLOuFRENS
Bad Bunny",10,14.0,60,111879,KLOuFRENS,Bad Bunny
37,"mi refe
Beéle, Ovy On The Drums",2,22.0,64,107926,mi refe,"Beéle, Ovy On The Drums"
38,"VOY A LLeVARTE PA PR
Bad Bunny",2,10.0,60,106515,VOY A LLeVARTE PA PR,Bad Bunny
39,"Se Vienen Cositas
Rawayana",20,20.0,8,105011,Se Vienen Cositas,Rawayana
40,"Qué Rico PR!
Rawayana",5,15.0,8,104523,Qué Rico PR!,Rawayana
41,"Me Rehúso
Danny Ocean",20,25.0,206,103875,Me Rehúso,Danny Ocean
42,"Yo sé
Yan Block, TORRRES",16,27.0,73,103840,Yo sé,"Yan Block, TORRRES"
43,"NUEVAYoL
Bad Bunny",1,11.0,60,103743,NUEVAYoL,Bad Bunny
