rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"23
Raphael",1,1.0,3,167797,23,Raphael,117446,True,False,2026-02-06,3RryZO1NCx4BNG6TWyieTe,4mgUD7Yz4YJRb4cr2NnKpu,117
2,"Zub za zub
Separ, Raphael",1,3.0,39,107940,Zub za zub,"Separ, Raphael",240116,True,False,2025-06-05,3LujD0iQ9jRbSCMA39CGfO,2CPkBjKdmuhiSInYPqIVDZ,240
3,"DtMF
Bad Bunny",2,2.0,4,88047,DtMF,Bad Bunny,237117,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya,237
4,"TVOJE OČI
4rano, krystuffek",4,4.0,8,81299,TVOJE OČI,"4rano, krystuffek",120119,True,False,2025-12-09,2yzKg373IWFA1nZINR8J8f,14sgVMJqy2XtkjrToAvtgS,120
5,"Tempo za 2
Sara Rikas, Raphael",3,11.0,45,79452,Tempo za 2,"Sara Rikas, Raphael",187653,True,False,2025-04-23,4TwaN115hEDGfkAtJG0USo,2C7sayl5uG8XAuTfA05WYU,188
6,"Raindance (feat. Tems)
Dave, Tems",4,7.0,10,79269,Raindance (feat. Tems),"Dave, Tems",219743,False,False,2025-10-23,6Ip8FS7vWT1uKkJSweANQK,3oTuTpF1F3A7rEC6RKsMRz,220
7,"Lush Life
Zara Larsson",3,5.0,15,76913,Lush Life,Zara Larsson,200646,False,False,2017-03-17,1Xylc3o4UrD53lo9CvFvVg,1rIKgCH4H52lrvDcz50hS8,201
8,"End of Beginning
Djo",1,8.0,17,76467,End of Beginning,Djo,159245,False,False,2022-09-16,5p9HO3XC5P3BLxJs5Mtrhm,3qhlB30KknSejmIvZZLjOD,159
9,"Babydoll
Dominic Fike",9,23.0,4,75793,Babydoll,Dominic Fike,97960,False,False,2018-10-16,6USv9qhCn6zfxlBQIYJ9qs,7yNf9YjeO5JXUE3JEBgnYc,98
10,"Body to body
Separ, French Montana, Peter Pann",1,10.0,48,73433,Body to body,"Separ, French Montana, Peter Pann",192533,True,False,2025-03-30,3LujD0iQ9jRbSCMA39CGfO,58Kx48jdexHfT7reFY1TVE,193
11,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",11,45.0,8,72966,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",184761,False,False,2025-10-10,78rUTD7y6Cy67W1RVzYs7t,1DwscornXpj8fmOmYVlqZt,185
