rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"kota ini tak sama tanpamu
Nadhif Basalamah",1,1.0,13,10465434,kota ini tak sama tanpamu,Nadhif Basalamah,279649,False,False,2025-06-20,6UgERnTHmjk3qXM9x5vzyO,13CwOTXUgBugeBByE9oIWb,280
2,"Sedia Aku Sebelum Hujan
Idgitaf",1,2.0,19,9479181,Sedia Aku Sebelum Hujan,Idgitaf,230130,False,False,2025-10-08,7pFWMC2E7h8eL3SZyHRsRq,64qfw9JZl3RYCrq4Mn0WvT,230
3,"Bahagia Lagi
Piche Kota",3,3.0,9,9442145,Bahagia Lagi,Piche Kota,227415,False,False,2025-10-23,5zAYPlhV1TirCul0R4NKGM,5tZaKZPJtiHh6teQfVEHB5,227
4,"everything u are
Hindia",2,4.0,51,7149396,everything u are,Hindia,236489,False,False,2025-02-24,51kyrUsAVqUBcoDEMFkX12,5WOSNVChcadlsCRiqXE45K,236
5,"bergema sampai selamanya
Nadhif Basalamah",2,5.0,49,6823428,bergema sampai selamanya,Nadhif Basalamah,198567,False,False,2025-06-20,6UgERnTHmjk3qXM9x5vzyO,0ql6fgz8qk0pAEKrGeSppJ,199
6,"Ada titik-titik di ujung doa
Sal Priadi",6,8.0,8,6666459,Ada titik-titik di ujung doa,Sal Priadi,305357,False,False,2024-04-30,1NjxFrpEGZTV2Ny0OJxeWu,1E7zLPDdqo0OvzVmGj5aoV,305
7,"Monolog
Pamungkas",1,6.0,53,6351832,Monolog,Pamungkas,207216,False,False,2018-07-20,7d86ERlvO5UG44j7Va0Y0C,1zu5ZpnrSArdoaT6Qq3yo9,207
8,"Dirimu Yang Dulu
Anggis Devaki",7,7.0,10,5527019,Dirimu Yang Dulu,Anggis Devaki,240800,False,False,2025-09-26,7lXTU6VtJQWfiN2vuZyzqf,3GIiXoibZNOxoB4QJ0b8UR,241
9,"Bersenja Gurau
Raim Laode",9,9.0,14,5297230,Bersenja Gurau,Raim Laode,194293,False,False,2024-03-07,5LcNPa8f8bRmZqELgoRFkN,713QSDLoNYvs6PKBNOMi8b,194
10,"Lesung Pipi
Raim Laode",2,10.0,47,5230825,Lesung Pipi,Raim Laode,225153,False,False,2023-08-31,5LcNPa8f8bRmZqELgoRFkN,04mOx59pM3upWDkpp9PYkb,225
11,"Dan...
Sheila On 7",6,11.0,53,4528527,Dan...,Sheila On 7,288706,False,False,1999-07-14,6q87vizIEdEN4NvlR6mjfT,1MdjZzEInrmDBXf8zs0nKS,289
12,"Nina
.Feast",1,14.0,79,4478533,Nina,.Feast,277944,False,False,2024-08-30,7Gy1PxqrgsiqWF6JNYPHeB,0daEJMXc3b4ZMTnvtHpuTt,278
13,"Tarot
.Feast",1,12.0,60,4470632,Tarot,.Feast,288981,False,False,2024-08-30,7Gy1PxqrgsiqWF6JNYPHeB,4XHijJfABTtUCW3Bp6KFvr,289
14,"Lihat Kebunku (Taman Bunga)
Aku Jeje",11,15.0,22,4302866,Lihat Kebunku (Taman Bunga),Aku Jeje,189897,False,False,2025-09-19,4FZ6V3q8zMyFvSMeT2ld2f,5dvIK269hL3eZXQMG4Vc2C,190
15,"Cincin
Hindia",7,13.0,137,4291830,Cincin,Hindia,266330,False,False,2023-07-07,51kyrUsAVqUBcoDEMFkX12,7J0isBrUxhIYZVdrBOOlIh,266
16,"Monokrom
Tulus",12,16.0,392,4029718,Monokrom,Tulus,214567,False,False,2016-08-03,2iDVt6mFbtbDEZG5ax0dTi,4GfK1qOF3uBWidbPlTCQRL,215
17,"Rumah Ke Rumah
Hindia",7,21.0,326,4000456,Rumah Ke Rumah,Hindia,277457,False,False,2019-11-29,51kyrUsAVqUBcoDEMFkX12,2wAiFWjRupWmnDkQcu91MF,277
18,"penjaga hati
Nadhif Basalamah",1,18.0,125,3969629,penjaga hati,Nadhif Basalamah,260346,False,False,2024-06-21,6UgERnTHmjk3qXM9x5vzyO,6i9Ci0IN1q1GcnhdbKU7kZ,260
19,"Mangu
Fourtwnty, Charita Utami",1,22.0,54,3779528,Mangu,"Fourtwnty, Charita Utami",261048,False,False,2023-04-18,46cVq2dwPgzPE3X1VR9TMj,4e6TmHCC4PRUj75knNplNP,261
20,"Serana
For Revenge",1,24.0,198,3752160,Serana,For Revenge,250000,False,False,2022-09-06,0f6TyESD8E1mD2oLJ4TGv1,0PtJbtW50jcvvswNPn3QGd,250
21,"Menerima Luka
Natasya Sabella",19,19.0,9,3741406,Menerima Luka,Natasya Sabella,228073,False,False,2024-12-11,2w2xKlumnOzCf5eVTkmNXn,6Twf2B2IGXAN0YDJeTxkt2,228
22,"kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno)
Nadhif Basalamah, Aziz Harun, Aisha Retno",16,17.0,11,3696001,kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno),"Nadhif Basalamah, Aziz Harun, Aisha Retno",269937,False,False,2025-08-15,6UgERnTHmjk3qXM9x5vzyO,75DnXTAoFiorMrqkPVbjSH,270
23,"33x
Perunggu",14,20.0,23,3644523,33x,Perunggu,434759,False,False,2022-03-11,0NbKRRBuiIUwS9irPvi7wD,2pOLzpYmuDlcbTJUXYkPSr,435
24,"Kita usahakan rumah itu
Sal Priadi",24,27.0,56,3639833,Kita usahakan rumah itu,Sal Priadi,211244,False,False,2024-04-30,1NjxFrpEGZTV2Ny0OJxeWu,5Egm9N7FnzsThl1CFXB2mm,211
