rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"Gehra Hua (From ""Dhurandhar"")
Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",1,1.0,13,7189674,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",,,,,,,
2,"Sahiba
Aditya Rikhari",1,2.0,34,5593914,Sahiba,Aditya Rikhari,190098.0,False,False,2023-12-19,3ozYqVCLohfpXIhalkhM8D,0eLtIxPRNJfsmehITZ1qaJ,190
3,"Dooron Dooron
Paresh Pahuja, Shiv Tandan, Meghdeep Bose",3,4.0,21,5412616,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",215946.0,False,False,2022-01-18,0DHOOKfXu4aU7LsWjTdrIN,0q5e5KtUOhYQujmhLP0pKd,216
4,"Samjhawan
Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",3,3.0,45,5149914,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",269184.0,False,False,2014-06-19,2gXOOKY8mmJG6iwHrTq9gp,0rk2X5TAhraBC5aCIXK2Rq,269
5,"Khat
Navjot Ahuja",5,10.0,6,5023486,Khat,Navjot Ahuja,296222.0,False,False,2025-12-03,7pVf872VEuJQBwiuRFSg4w,3gixnmepHSsyAuho34rprN,296
6,"Arz Kiya Hai | Coke Studio Bharat
Anuv Jain",5,6.0,27,4874975,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,294500.0,False,False,2025-08-20,4gdMJYnopf2nEUcanAwstx,1bMkimTb47umgNP6xCi4A1,294
7,"Finding Her
Kushagra, Bharath, Saaheal",1,5.0,51,4822515,Finding Her,"Kushagra, Bharath, Saaheal",207000.0,False,False,2025-01-29,2IKfr1JgPRXmXKAWwrABc6,5ThyDv6aRVU8AH4vXQNldF,207
8,"Apna Bana Le
Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",1,7.0,122,4530493,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",261702.0,False,False,2022-12-06,1mBydYMVBECdDmMfE2sEUO,1hA697u7e1jX2XM8sWA6Uy,262
9,"Shararat (From ""Dhurandhar"")
Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",7,8.0,12,4519071,"Shararat (From ""Dhurandhar"")","Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",,,,,,,
10,"Mann Mera
Gajendra Verma",7,12.0,120,3906098,Mann Mera,Gajendra Verma,200120.0,False,False,2013-04-01,1yzgJmZf5CxtFfGfRFm4Si,0mwAlZqPUWpZJIut93y40W,200
11,"Saiyaara
Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",1,11.0,37,3873570,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",183072.0,False,False,2025-07-04,4f7KfxeHq9BiylGmyXepGt,1uRTH9LeFh40tFYlq48vcy,183
12,"Ishq
Faheem Abdullah, Rauhan Malik, Amir Ameer",2,13.0,100,3830331,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer",224842.0,False,False,2024-05-25,05etL4pzWd6TSv1x5WrlG3,1hlbywc8Jhl1FFqJxAMabE,225
13,"For A Reason
Karan Aujla, Ikky",2,9.0,27,3741921,For A Reason,"Karan Aujla, Ikky",180000.0,False,False,2025-08-22,6DARBhWbfcS9E4yJzcliqQ,0cYohCh24y1aMjJmcS9RBl,180
14,"Jo Tum Mere Ho
Anuv Jain",1,15.0,81,3673969,Jo Tum Mere Ho,Anuv Jain,251813.0,False,False,2024-08-02,4gdMJYnopf2nEUcanAwstx,0eCajpR75pDW0r64U6hP2x,252
15,"Raanjhan (From ""Do Patti"")
Sachet-Parampara, Parampara Tandon, Kausar Munir",1,16.0,71,3668528,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir",,,,,,,
16,"Dhurandhar - Title Track (From ""Dhurandhar"")
Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",3,14.0,19,3616173,"Dhurandhar - Title Track (From ""Dhurandhar"")","Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",,,,,,,
17,"Tere Liye
Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",11,18.0,40,3546684,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",279826.0,False,False,2023-04-20,2oSONSC9zQ4UonDKnLqksx,0xlWd9o8yjKpJ02WJy79kZ,280
18,"Sitaare (From ""Ikkis"")
Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",18,25.0,12,3510795,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",,,,,,,
19,"Ishqa Ve
Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",17,20.0,14,3407190,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",207102.0,False,False,2025-08-20,1Bz46nDCMO1UOKp9GJjL92,0febwTwLDSZzrt46i1RBF5,207
20,"Ishq Jalakar - Karvaan
Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",4,19.0,13,3403232,Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",250860.0,False,False,2025-11-25,465OXuCU8YZNmVG1leLwQ9,0dkQAG6lAsZvRCeG8QwVwR,251
21,"Haseen
Talwiinder, NDS, Rippy Grewal",2,17.0,39,3350993,Haseen,"Talwiinder, NDS, Rippy Grewal",174545.0,False,False,2025-02-23,6QoCrBHsojKnOrsGNfRcTN,08GYLNhKthS3arMdXsveRI,175
22,"Tere Bina
A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",8,21.0,79,3340890,Tere Bina,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",309640.0,False,False,2006-09-11,1mYsTxnqsietFxj1OgoGbG,4FeczSomVWVyU4FW7xDeAI,310
23,"Sheesha - Aakhya Mai Aakh Ghali Jo Beran
Mitta Ror, Swara Verma",23,30.0,6,3229886,Sheesha - Aakhya Mai Aakh Ghali Jo Beran,"Mitta Ror, Swara Verma",,,,,,,
24,"Boyfriend
Karan Aujla, Ikky",9,22.0,27,3194790,Boyfriend,"Karan Aujla, Ikky",160796.0,False,False,2025-08-22,6DARBhWbfcS9E4yJzcliqQ,3ExgWVPWOQts9RVBkqpdic,161
25,"Agar Tum Saath Ho (From ""Tamasha"")
Alka Yagnik, Arijit Singh",4,26.0,343,3181856,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",,,,,,,
26,"KALYANI
ARJN, KDS, FIFTY4, RONN",21,24.0,13,3098646,KALYANI,"ARJN, KDS, FIFTY4, RONN",234489.0,False,False,2025-11-11,5j2JTk8JqepIgv1zxYOuIi,2Uyj6K6mSaFTZsPvov415i,234
27,"Tum Ho Toh (From ""Saiyaara"")
Vishal Mishra, Hansika Pareek, Raj Shekhar",3,29.0,32,2951722,"Tum Ho Toh (From ""Saiyaara"")","Vishal Mishra, Hansika Pareek, Raj Shekhar",,,,,,,
28,"Lutt Le Gaya (From ""Dhurandhar"")
Shashwat Sachdev, Simran Choudhary",26,27.0,11,2916572,"Lutt Le Gaya (From ""Dhurandhar"")","Shashwat Sachdev, Simran Choudhary",,,,,,,
29,"Ye Tune Kya Kiya
Pritam, Javed Bashir, Rajat Arora",9,31.0,99,2858901,Ye Tune Kya Kiya,"Pritam, Javed Bashir, Rajat Arora",314239.0,False,False,2013-07-22,1wRPtKGflJrBx9BmLsSwlU,2cPUB8EOT6AfJ8oxhyoNXL,314
30,"Not Guilty
Dhanda Nyoliwala",23,32.0,7,2831074,Not Guilty,Dhanda Nyoliwala,175813.0,False,False,2026-01-08,2rN8LHqK4TBI7y3d9POvJb,4YPSg93DDJW9Uf4IgklCHc,176
31,"Mast Magan (From ""2 States)
Arijit Singh, Chinmayi",28,38.0,194,2813158,"Mast Magan (From ""2 States)","Arijit Singh, Chinmayi",,,,,,,
32,"Naal Nachna (From ""Dhurandhar"")
Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil",32,34.0,11,2806388,"Naal Nachna (From ""Dhurandhar"")","Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil",,,,,,,
33,"Dil Lagana Mana Tha
Krish Mondal, Kishore Mondal, Devv Sadaana, Kunaal Vermaa",9,23.0,5,2676447,Dil Lagana Mana Tha,"Krish Mondal, Kishore Mondal, Devv Sadaana, Kunaal Vermaa",198875.0,False,False,2026-01-16,3JGOBJUPbwIb3fri0dcqbt,3A3oq3VMSboPPWBYTRq0nX,199
34,"Thodi Si Daaru
AP Dhillon, Shreya Ghoshal",3,33.0,30,2659380,Thodi Si Daaru,"AP Dhillon, Shreya Ghoshal",180248.0,False,False,2025-07-17,6LEG9Ld1aLImEFEVHdWNSB,3JiLQJmVW7d4O8AQDFB3oj,180
35,"Barbaad (From ""Saiyaara"")
The Rish, Jubin Nautiyal",5,37.0,32,2638478,"Barbaad (From ""Saiyaara"")","The Rish, Jubin Nautiyal",,,,,,,
