rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"IRIS OUT
Kenshi Yonezu",1,1.0,24,2486961,IRIS OUT,Kenshi Yonezu,151573,False,False,2025-09-15,1snhtMLeb2DYoMOcVbb8iB,59hVbgr8rfYkDbHfr8RcGI,152
2,"Don’t Say You Love Me
Jin",1,3.0,41,2214783,Don’t Say You Love Me,Jin,180716,False,False,2025-05-16,5vV3bFXnN6D6N3Nj4xRvaV,27xkOIER6uDLKALIelHylZ,181
3,"lulu.
Mrs. GREEN APPLE",1,2.0,7,2214199,lulu.,Mrs. GREEN APPLE,270626,False,False,2026-01-11,4QvgGvpgzgyUOo8Yp8LDm9,0vE1WglBbhmd5wDO49lcih,271
4,"Blue Jeans
HANA",1,5.0,33,2056536,Blue Jeans,HANA,206706,False,False,2025-07-14,7fmXV2O48buswss04YetaN,5klNADgwB1K5j2quV0SCDL,207
5,"Bakuretsu Aishiteru
M!LK",5,9.0,3,2024481,Bakuretsu Aishiteru,M!LK,205333,False,False,2026-02-09,4jhJ8cnJ9vYKyCh289nuwQ,73WjupQhQmQUOgCl7dXpvN,205
6,"ROSE
HANA",2,7.0,48,2011564,ROSE,HANA,164782,False,False,2025-04-02,7fmXV2O48buswss04YetaN,5JTNhYqB0eG0ivgZcBviJ0,165
7,"Sukisugite METSU!
M!LK",7,8.0,16,1946754,Sukisugite METSU!,M!LK,212400,False,False,2025-10-27,4jhJ8cnJ9vYKyCh289nuwQ,4Re9Zb9uYlMtMiZy7HFFw5,212
8,"ライラック
Mrs. GREEN APPLE",1,6.0,98,1883242,ライラック,Mrs. GREEN APPLE,288200,False,False,2024-04-11,4QvgGvpgzgyUOo8Yp8LDm9,78W4mTLIh4qoLu92W4IQhO,288
9,"AIZO
King Gnu",2,4.0,7,1877883,AIZO,King Gnu,215858,False,False,2026-01-09,6wxfx1yhyqjCPYwwxJktR2,65X2koe1LhDgQmRkNdJFv9,216
10,"SAD SONG
CHANMINA",10,13.0,57,1852813,SAD SONG,CHANMINA,217120,False,False,2019-08-07,2vjeuQwzSP5ErC1S41gONX,2zxK14g3shGRbgjUmKaj2x,217
11,"花束
back number",4,11.0,181,1627496,花束,back number,286053,False,False,2011-10-26,6rs1KAoQnFalSqSU4LTh8g,3QIAwtEEDOrv0g5NKCGrXZ,286
12,"夢中
BE:FIRST",5,10.0,44,1615627,夢中,BE:FIRST,189640,False,False,2025-04-25,4wCW8kZ8LL7QIdcE8EOKPP,7KNY1e9x1MDvpBAmIAN3tz,190
13,"ブルーアンバー
back number",6,14.0,44,1587392,ブルーアンバー,back number,207845,False,False,2025-04-28,6rs1KAoQnFalSqSU4LTh8g,35MeePbBnryubkVG0v8GbI,208
14,"Soranji
Mrs. GREEN APPLE",7,12.0,175,1560793,Soranji,Mrs. GREEN APPLE,343253,False,False,2023-07-04,4QvgGvpgzgyUOo8Yp8LDm9,3YML5IHoqWbw9c9vJJvrvM,343
15,"Cold Night
HANA",11,19.0,5,1550902,Cold Night,HANA,192994,False,False,2026-01-24,7fmXV2O48buswss04YetaN,48Y23GvNKpVeXrMapKcPLP,193
16,"ハッピーエンド
back number",9,15.0,128,1508788,ハッピーエンド,back number,314280,False,False,2016-11-16,6rs1KAoQnFalSqSU4LTh8g,4GqO80eGXA542oTvlYv4LS,314
17,"ダーリン
Mrs. GREEN APPLE",2,16.0,58,1503094,ダーリン,Mrs. GREEN APPLE,278506,False,False,2025-07-06,4QvgGvpgzgyUOo8Yp8LDm9,7ikOwlVju9HYUKthPiNHwr,279
18,"点描の唄
Mrs. GREEN APPLE, Sonoko Inoue",9,17.0,354,1491783,点描の唄,"Mrs. GREEN APPLE, Sonoko Inoue",307066,False,False,2018-07-31,4QvgGvpgzgyUOo8Yp8LDm9,1sIIlVrnPhrvmTrHtzM7tV,307
