rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"dopamina
Peso Pluma, Tito Double P",1,1.0,9,8603080,dopamina,"Peso Pluma, Tito Double P",185326,False,False,2025-12-25,12GqGscKJx3aE4t07u7eVZ,3e32UUqXzrI4g2y5kNZrwC,185
2,"Todo Lo Fue
Lenin Ramírez",2,3.0,6,7795254,Todo Lo Fue,Lenin Ramírez,192064,False,False,2024-05-24,3hTffafUYLLgO4yuPAxb5U,0Sa8aRfGckW0qUGLrBwoBG,192
3,"Pvta Luna
Neton Vega",1,2.0,22,7682822,Pvta Luna,Neton Vega,198058,False,False,2025-09-26,6pV5zH2LzjOUHaAvENdMMa,33MeEaRCeIQMSRyFTr5ZJU,198
4,"7-3
Peso Pluma, Tito Double P",2,5.0,9,7582017,7-3,"Peso Pluma, Tito Double P",189102,False,False,2025-12-25,12GqGscKJx3aE4t07u7eVZ,4lzo6zPM2paqyP8oBp3DOs,189
5,"Ya Borracho
Herencia De Grandes",4,4.0,15,7548932,Ya Borracho,Herencia De Grandes,158074,False,False,2025-11-07,0ocHleb3SllGNQQcDH35Xz,4NyUIohBa3CEMGcXURYSOh,158
6,"daño
Peso Pluma, Tito Double P",2,6.0,9,7340076,daño,"Peso Pluma, Tito Double P",197007,False,False,2025-12-25,12GqGscKJx3aE4t07u7eVZ,136BeIIoBGrrU9fI1jbcDR,197
7,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",3,9.0,11,6372023,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",327488,False,False,2025-12-10,3S9Hg7sRKhmtWunFZ2yAYP,2pbSCYzxrG0wa6qcj8IyiE,327
8,"4x4
Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE",5,14.0,6,6198890,4x4,"Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE",288671,False,False,2026-01-16,0rUu2qzqezBrCddX1RuUyJ,1nkrOMcNi5TAwYWDQAOaB3,289
9,"2+2
Omar Camacho, Victor Mendivil",1,11.0,35,6145346,2+2,"Omar Camacho, Victor Mendivil",198300,False,False,2025-06-23,0rUu2qzqezBrCddX1RuUyJ,2GP6UzoA55p6yYiPCGyEhg,198
10,"Marlboro Rojo
Fuerza Regida",1,12.0,43,5872993,Marlboro Rojo,Fuerza Regida,184173,False,False,2025-05-02,0ys2OFYzWYB5hRDLCsBqxt,3hpm0fTeSqlhJbnqAgaLZs,184
11,"Pase y Toque
BeatBoy, Victor Mendivil",10,13.0,11,5704413,Pase y Toque,"BeatBoy, Victor Mendivil",168000,False,False,2025-12-12,5UBcT8h31eT62kHEsNaW3X,2MzaScXAL8wrSU9tlEijo6,168
12,"BAILE INoLVIDABLE
Bad Bunny",5,7.0,60,5679567,BAILE INoLVIDABLE,Bad Bunny,367725,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2,368
13,"DtMF
Bad Bunny",1,8.0,60,5558577,DtMF,Bad Bunny,237117,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya,237
14,"TU SANCHO
Fuerza Regida",1,17.0,43,5305903,TU SANCHO,Fuerza Regida,177994,False,False,2025-05-02,0ys2OFYzWYB5hRDLCsBqxt,6eLQXa6uk2EW8drsiKbABZ,178
15,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,19.0,61,5133595,Cuando No Era Cantante,"El Bogueto, Yung Beef",327488,False,False,2025-12-10,3S9Hg7sRKhmtWunFZ2yAYP,2pbSCYzxrG0wa6qcj8IyiE,327
16,"POR SUS BESOS
Tito Double P",1,16.0,33,5130272,POR SUS BESOS,Tito Double P,186142,False,False,2025-07-11,5eumcnUkdmGvkvcsx1WFNG,1eunv1DeEi29UfAcVEoLTt,186
17,"CHAVALITAS
Fuerza Regida",2,18.0,33,5015093,CHAVALITAS,Fuerza Regida,164482,False,False,2025-05-02,0ys2OFYzWYB5hRDLCsBqxt,3qdeRGn9erK9sjs1kUtBys,164
18,"tu con el
Peso Pluma, Tito Double P",17,25.0,9,4911303,tu con el,"Peso Pluma, Tito Double P",165682,False,False,2026-02-26,12GqGscKJx3aE4t07u7eVZ,3a1adRvecuvtoHzuj0pFaV,166
19,"EoO
Bad Bunny",12,15.0,60,4846151,EoO,Bad Bunny,204768,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,6J5kc12BW5HuP3d7C3vvx8,205
20,"DROGA LETAL
Junior H, Gael Valenzuela, Peso Pluma",10,10.0,2,4844871,DROGA LETAL,"Junior H, Gael Valenzuela, Peso Pluma",220467,False,False,2026-02-11,7Gi6gjaWy3DxyilpF1a8Is,4TPmu6ABGoRkb0UIwc177k,220
21,"Canasteo
Régulo Molina, Oscar Maydon, Neton Vega",6,22.0,6,4717224,Canasteo,"Régulo Molina, Oscar Maydon, Neton Vega",270697,False,False,2026-01-16,6sbrrDwFdWvTLiq8NUykqm,67jm6nWkkJUsiJ6zedlYng,271
22,"PUES QUE LE HAGO ?
Chuyin",19,23.0,7,4693680,PUES QUE LE HAGO ?,Chuyin,141607,False,False,2025-07-04,5c8ZR64evQ00Spl73s76fo,0PA6wI9DZ0bWMaSpXyTrAW,142
23,"MIENTRAS DUERMES
Junior H",8,21.0,59,4394427,MIENTRAS DUERMES,Junior H,226035,False,False,2023-10-05,7Gi6gjaWy3DxyilpF1a8Is,4e76Ss3ji7HQZ4qwcPNkNA,226
24,"NUEVAYoL
Bad Bunny",11,20.0,60,4182329,NUEVAYoL,Bad Bunny,183685,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5,184
25,"Mi Entorno
Virlan Garcia",7,27.0,19,4156449,Mi Entorno,Virlan Garcia,172200,False,False,2025-10-09,0vjeBgTzYTwmYoVySJzXGD,30ECWSoejTkHDqo0yMpf6y,172
26,"ni pedo
Peso Pluma, Tito Double P",4,30.0,9,4115328,ni pedo,"Peso Pluma, Tito Double P",187204,False,False,2026-02-26,12GqGscKJx3aE4t07u7eVZ,5Wf6fC4fO4SikmnjEvA1P7,187
27,"ANSIEDAD
Fuerza Regida",7,33.0,43,4017585,ANSIEDAD,Fuerza Regida,151836,False,False,2025-05-02,0ys2OFYzWYB5hRDLCsBqxt,1a7onn7lPqqRWul5ogyMyX,152
28,"COQUETA
Fuerza Regida, Grupo Frontera",15,32.0,62,4012426,COQUETA,"Fuerza Regida, Grupo Frontera",241648,False,False,2024-12-19,0ys2OFYzWYB5hRDLCsBqxt,1PREzVLuDT6PSE9sej4wnV,242
29,"Tus Mentiras (En Vivo)
Moy Bobadilla",29,34.0,10,3845129,Tus Mentiras (En Vivo),Moy Bobadilla,280250,False,False,2025-04-10,6H8yLg2ml8H94LRjriezMR,6znjONJrY5EFnn8TsIsPwx,280
