rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Gehra Hua (From ""Dhurandhar"")
Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",1,1.0,13,7189674,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
2,"Sahiba
Aditya Rikhari",1,2.0,34,5593914,Sahiba,Aditya Rikhari
3,"Dooron Dooron
Paresh Pahuja, Shiv Tandan, Meghdeep Bose",3,4.0,21,5412616,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose"
4,"Samjhawan
Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",3,3.0,45,5149914,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal"
5,"Khat
Navjot Ahuja",5,10.0,6,5023486,Khat,Navjot Ahuja
6,"Arz Kiya Hai | Coke Studio Bharat
Anuv Jain",5,6.0,27,4874975,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain
7,"Finding Her
Kushagra, Bharath, Saaheal",1,5.0,51,4822515,Finding Her,"Kushagra, Bharath, Saaheal"
8,"Apna Bana Le
Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",1,7.0,122,4530493,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya"
9,"Shararat (From ""Dhurandhar"")
Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",7,8.0,12,4519071,"Shararat (From ""Dhurandhar"")","Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas"
10,"Mann Mera
Gajendra Verma",7,12.0,120,3906098,Mann Mera,Gajendra Verma
11,"Saiyaara
Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",1,11.0,37,3873570,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil"
12,"Ishq
Faheem Abdullah, Rauhan Malik, Amir Ameer",2,13.0,100,3830331,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
13,"For A Reason
Karan Aujla, Ikky",2,9.0,27,3741921,For A Reason,"Karan Aujla, Ikky"
14,"Jo Tum Mere Ho
Anuv Jain",1,15.0,81,3673969,Jo Tum Mere Ho,Anuv Jain
15,"Raanjhan (From ""Do Patti"")
Sachet-Parampara, Parampara Tandon, Kausar Munir",1,16.0,71,3668528,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir"
16,"Dhurandhar - Title Track (From ""Dhurandhar"")
Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",3,14.0,19,3616173,"Dhurandhar - Title Track (From ""Dhurandhar"")","Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan"
17,"Tere Liye
Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",11,18.0,40,3546684,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan"
18,"Sitaare (From ""Ikkis"")
Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",18,25.0,12,3510795,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya"
19,"Ishqa Ve
Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",17,20.0,14,3407190,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon"
20,"Ishq Jalakar - Karvaan
Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",4,19.0,13,3403232,Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi"
