rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Palamaan
Isac Elliot, Mirella",1,,1,682775,Palamaan,"Isac Elliot, Mirella"
2,"Mannerheim
Isac Elliot, Turisti",2,,1,653953,Mannerheim,"Isac Elliot, Turisti"
3,"Four Seasons
Isac Elliot, Averagekidluke",3,,1,482749,Four Seasons,"Isac Elliot, Averagekidluke"
4,"Sisko ja sen veli
AHTI",1,1.0,2,473997,Sisko ja sen veli,AHTI
5,"Vihdoinkin Täällä
Isac Elliot",5,,1,411723,Vihdoinkin Täällä,Isac Elliot
6,"Ai Että
Isac Elliot",1,8.0,25,400614,Ai Että,Isac Elliot
7,"Parasta Aikaa
Isac Elliot, MELO",7,,1,377236,Parasta Aikaa,"Isac Elliot, MELO"
8,"Best For You
Isac Elliot",2,14.0,13,356959,Best For You,Isac Elliot
9,"Ikävä, kyllä
Ares, Bizi",1,2.0,5,318687,"Ikävä, kyllä","Ares, Bizi"
10,"Liekinheitin
Linda Lampenius, Pete Parkkonen",1,5.0,6,313252,Liekinheitin,"Linda Lampenius, Pete Parkkonen"
11,"Reissumies
Isac Elliot",11,,1,310262,Reissumies,Isac Elliot
12,"Million Dollar Smile
Etta",2,6.0,7,286394,Million Dollar Smile,Etta
13,"Ihan kohta ohi
KUUMAA, emma & matilda",2,3.0,4,278521,Ihan kohta ohi,"KUUMAA, emma & matilda"
14,"Everest
Minttu",1,9.0,8,257181,Everest,Minttu
15,"Oma Vika
Isac Elliot",1,84.0,35,253769,Oma Vika,Isac Elliot
16,"+-0
Ares, Turisti, Averagekidluke",5,12.0,5,250883,+-0,"Ares, Turisti, Averagekidluke"
17,"Alcoholic
Averagekidluke",1,13.0,11,246657,Alcoholic,Averagekidluke
18,"Sata Enkelii
Isac Elliot",1,54.0,31,242243,Sata Enkelii,Isac Elliot
19,"Make up your mind
Mirella, Averagekidluke",1,16.0,14,234808,Make up your mind,"Mirella, Averagekidluke"
20,"Hiffaa Aikanaan
Isac Elliot",20,,1,233242,Hiffaa Aikanaan,Isac Elliot
21,"Syvä pääty
Gettomasa, Cledos",1,4.0,3,225899,Syvä pääty,"Gettomasa, Cledos"
22,"Sydän (feat. Alina Burnet)
Lauri Haav, Alina Burnet",2,7.0,3,223001,Sydän (feat. Alina Burnet),"Lauri Haav, Alina Burnet"
23,"Kui paljon
Turisti",1,21.0,19,194441,Kui paljon,Turisti
24,"Tähdet
AHTI, Behm",1,22.0,27,193372,Tähdet,"AHTI, Behm"
25,"Takatukka
Antti Paalanen",6,24.0,6,192270,Takatukka,Antti Paalanen
26,"Aitous ei oo myynnissä
Gettomasa",1,20.0,7,189955,Aitous ei oo myynnissä,Gettomasa
27,"Sydän on rikki
Aliisa Syrjä",4,23.0,14,183279,Sydän on rikki,Aliisa Syrjä
28,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",28,41.0,9,182503,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
29,"Menestys on paras tapa kostaa
Ares",1,27.0,60,174323,Menestys on paras tapa kostaa,Ares
30,"Lululai
Komiat",7,36.0,6,164136,Lululai,Komiat
31,"Totuus sattuu
Ares, pehmoaino",2,33.0,22,163652,Totuus sattuu,"Ares, pehmoaino"
32,"Lush Life
Zara Larsson",16,28.0,15,162984,Lush Life,Zara Larsson
33,"et millään saa
Ella Herold, Averagekidluke",15,15.0,2,162417,et millään saa,"Ella Herold, Averagekidluke"
34,"Stand Back
Jukka Poika",32,34.0,4,158041,Stand Back,Jukka Poika
35,"PETSHOP
Nelli Matula, OLGA, Senya",6,29.0,3,149763,PETSHOP,"Nelli Matula, OLGA, Senya"
36,"Aloittelijat
KUUMAA",18,18.0,2,149735,Aloittelijat,KUUMAA
37,"Voiko enkelitkin eksyä
Haloo Helsinki!",5,40.0,25,148714,Voiko enkelitkin eksyä,Haloo Helsinki!
38,"Avaimet mun kiesiin (Unitas Sigma)
VJ, Sara Bee, Cheek",1,37.0,12,148543,Avaimet mun kiesiin (Unitas Sigma),"VJ, Sara Bee, Cheek"
39,"Ehkä Se Siitä
Isac Elliot",3,44.0,56,147666,Ehkä Se Siitä,Isac Elliot
40,"Tuun viel himaan
KUUMAA",10,10.0,2,147624,Tuun viel himaan,KUUMAA
41,"The Fate of Ophelia
Taylor Swift",5,42.0,21,136016,The Fate of Ophelia,Taylor Swift
42,"Vaikeessa vaiheessa
KUUMAA",19,19.0,2,134154,Vaikeessa vaiheessa,KUUMAA
43,"Turisti (feat. Turisti)
MELO, Turisti",11,11.0,2,128925,Turisti (feat. Turisti),"MELO, Turisti"
44,"1001 tapaa
Robin Packalen",44,,1,128890,1001 tapaa,Robin Packalen
45,"Vihaa mua
Averagekidluke",2,51.0,37,124793,Vihaa mua,Averagekidluke
46,"Se ei mennyt niin
Ares, Vesala",4,38.0,5,124102,Se ei mennyt niin,"Ares, Vesala"
47,"Raindance (feat. Tems)
Dave, Tems",31,53.0,9,123282,Raindance (feat. Tems),"Dave, Tems"
48,"Sonic Youth (feat. Bizi)
Ruusut, Bizi",48,,1,122787,Sonic Youth (feat. Bizi),"Ruusut, Bizi"
49,"Meidän tässä kuuluisi rakastuu
Elias Kaskinen",32,63.0,27,115540,Meidän tässä kuuluisi rakastuu,Elias Kaskinen
50,"Ajaton (feat. Gettomasa)
Cledos, Gettomasa",17,17.0,2,114191,Ajaton (feat. Gettomasa),"Cledos, Gettomasa"
51,"Tyttöystävä
Minttu",3,45.0,18,106575,Tyttöystävä,Minttu
52,"Rakkaudenkipee
KIKI",13,60.0,5,105592,Rakkaudenkipee,KIKI
53,"Beyonce
Turisti",2,58.0,19,105087,Beyonce,Turisti
54,"FATHER (I Will Never Confess)
Erika Vikman",54,,1,98636,FATHER (I Will Never Confess),Erika Vikman
55,"Ms. Bad
KERZA, Isac Elliot",2,68.0,33,97018,Ms. Bad,"KERZA, Isac Elliot"
56,"OK (feat. ANI)
Lage, ANI",30,30.0,2,96970,OK (feat. ANI),"Lage, ANI"
57,"Tití Me Preguntó
Bad Bunny",39,39.0,3,96428,Tití Me Preguntó,Bad Bunny
58,"Mun ihminen
ELLIMEI",3,65.0,46,96275,Mun ihminen,ELLIMEI
59,"End of Beginning
Djo",18,62.0,9,96151,End of Beginning,Djo
60,"DtMF
Bad Bunny",20,35.0,4,96030,DtMF,Bad Bunny
61,"Nene
Cledos",2,52.0,8,95894,Nene,Cledos
62,"Vanhasta Uuteen
Isac Elliot",3,73.0,48,92289,Vanhasta Uuteen,Isac Elliot
63,"Kuolisin sun kaa (feat. pehmoaino)
Aaro630, pehmoaino",5,56.0,6,92261,Kuolisin sun kaa (feat. pehmoaino),"Aaro630, pehmoaino"
64,"WHERE IS MY HUSBAND!
RAYE",28,61.0,23,92189,WHERE IS MY HUSBAND!,RAYE
65,"Hyvänpäiväntutut
KUUMAA",13,32.0,11,91882,Hyvänpäiväntutut,KUUMAA
66,"Keinut
KUUMAA, OLGA",25,25.0,2,91835,Keinut,"KUUMAA, OLGA"
67,"Iha miten vaa
Ares, Averagekidluke, Turisti",2,74.0,70,91690,Iha miten vaa,"Ares, Averagekidluke, Turisti"
68,"Jälkeen sun
KUUMAA",26,26.0,2,90024,Jälkeen sun,KUUMAA
69,"Toivottavasti
Ares",10,59.0,5,84536,Toivottavasti,Ares
70,"Timanttei
Mirella",1,78.0,112,84251,Timanttei,Mirella
71,"Sit Ku Mul On Muija
Korelon",31,31.0,2,84213,Sit Ku Mul On Muija,Korelon
72,"Sun luokse
AHTI, Isac Elliot",2,72.0,74,82309,Sun luokse,"AHTI, Isac Elliot"
73,"Join Me In Death
HIM",59,82.0,18,81630,Join Me In Death,HIM
74,"Toisessa elämässä
Lauri Haav",1,81.0,46,79912,Toisessa elämässä,Lauri Haav
75,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",9,77.0,35,79779,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
76,"Red Dragon
louna0nline",54,75.0,8,78693,Red Dragon,louna0nline
77,"Babydoll
Dominic Fike",77,108.0,3,78567,Babydoll,Dominic Fike
78,"Turn The Lights Off
Kato, Jon",16,80.0,12,77642,Turn The Lights Off,"Kato, Jon"
79,"Susta löysin kodin
ELLIMEI",35,87.0,9,77594,Susta löysin kodin,ELLIMEI
