rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"AMAZING - Remix
SIDARTA, RACK",1,1.0,2,949335,AMAZING - Remix,"SIDARTA, RACK"
2,"ALCANTARA
HermesHermes, Kidd, BLVD",2,3.0,2,604939,ALCANTARA,"HermesHermes, Kidd, BLVD"
3,"CHANEL
Trannos, SNIK, CHEKKIS",1,4.0,5,550091,CHANEL,"Trannos, SNIK, CHEKKIS"
4,"Logariasmos
Katerina Lioliou",1,5.0,6,496989,Logariasmos,Katerina Lioliou
5,"Lete Lete
SNIK, Trannos, Fy",1,7.0,14,474344,Lete Lete,"SNIK, Trannos, Fy"
6,"XHAMAT E ZINJ
HermesHermes, Tr4cer, Ivan Greko",6,,1,473235,XHAMAT E ZINJ,"HermesHermes, Tr4cer, Ivan Greko"
7,"KENZO
HermesHermes, Tr4cer, Trannos",7,,1,466737,KENZO,"HermesHermes, Tr4cer, Trannos"
8,"DIO KARDIES
Ivan Greko, Michalis Karagkounis, Sin Laurent",1,6.0,6,465345,DIO KARDIES,"Ivan Greko, Michalis Karagkounis, Sin Laurent"
9,"AGAINST ALL
Trannos, SKEZ, HermesHermes, LOSHA",2,9.0,5,391073,AGAINST ALL,"Trannos, SKEZ, HermesHermes, LOSHA"
10,"CHOCO FRESH
HermesHermes, Ivan Greko, Arab",2,10.0,12,378406,CHOCO FRESH,"HermesHermes, Ivan Greko, Arab"
11,"Funny Valentine
Light, Adams",2,2.0,2,372217,Funny Valentine,"Light, Adams"
12,"MARRAKESH
HermesHermes, Tr4cer",12,,1,369933,MARRAKESH,"HermesHermes, Tr4cer"
13,"Ferto
Akylas",13,17.0,2,362718,Ferto,Akylas
14,"Gonzales
Donn, Kidd, Ivan Greko",3,8.0,4,358000,Gonzales,"Donn, Kidd, Ivan Greko"
15,"KILA
HermesHermes, Tr4cer",15,,1,351888,KILA,"HermesHermes, Tr4cer"
16,"Tití Me Preguntó
Bad Bunny",11,11.0,3,311549,Tití Me Preguntó,Bad Bunny
17,"PRONTO
HermesHermes, Tr4cer, SKEZ",17,,1,295257,PRONTO,"HermesHermes, Tr4cer, SKEZ"
18,"PISTEPSE ME
Strat, BeTaf Beats",18,179.0,2,286054,PISTEPSE ME,"Strat, BeTaf Beats"
19,"NUEVAYoL
Bad Bunny",9,12.0,4,282011,NUEVAYoL,Bad Bunny
20,"BAM BAM
HermesHermes, Tr4cer, Arab, ASOK",20,,1,278811,BAM BAM,"HermesHermes, Tr4cer, Arab, ASOK"
21,"BOYKA
Sadam, RACK, Dof Twogee, Xjay",5,13.0,4,267967,BOYKA,"Sadam, RACK, Dof Twogee, Xjay"
22,"DG
HermesHermes, Tr4cer",22,,1,262728,DG,"HermesHermes, Tr4cer"
23,"Margarita
Christos Mastoras, ARCADE",12,20.0,6,256729,Margarita,"Christos Mastoras, ARCADE"
24,"ASTEIO
ZAF",24,53.0,2,243411,ASTEIO,ZAF
25,"LETRA
HermesHermes, Tr4cer",25,,1,238761,LETRA,"HermesHermes, Tr4cer"
26,"Isos Isoun Kiria
Pantelis Pantelidis",1,24.0,26,236796,Isos Isoun Kiria,Pantelis Pantelidis
27,"KAKI ZWI
Trannos, FLY LO",4,16.0,5,235409,KAKI ZWI,"Trannos, FLY LO"
28,"Raindance (feat. Tems)
Dave, Tems",6,22.0,11,233059,Raindance (feat. Tems),"Dave, Tems"
29,"WW3
Trannos",6,18.0,5,231573,WW3,Trannos
30,"Oloi
Kid Young, RACK, Oge",12,19.0,6,227894,Oloi,"Kid Young, RACK, Oge"
31,"KOUKLA
Sicario, Beyond",1,28.0,35,225954,KOUKLA,"Sicario, Beyond"
32,"Hey Shawty
Moose, Saske, Display",2,27.0,11,223427,Hey Shawty,"Moose, Saske, Display"
33,"SOSA
SNIK",1,30.0,43,221843,SOSA,SNIK
34,"DtMF
Bad Bunny",11,15.0,4,221081,DtMF,Bad Bunny
35,"TE QUIERO
Likeboss, Echo",5,25.0,6,216534,TE QUIERO,"Likeboss, Echo"
36,"Eipes
Thodoris Ferris",8,32.0,12,216439,Eipes,Thodoris Ferris
37,"MAKARENA
Trannos, Arab, ASOK",9,21.0,5,215045,MAKARENA,"Trannos, Arab, ASOK"
38,"50 CENT
SKEZ, CHEKKIS, Stanley",10,14.0,3,208388,50 CENT,"SKEZ, CHEKKIS, Stanley"
39,"PARADISO
Sicario, Konstantinos Argiros, SNIK, Beyond, Màdu",1,33.0,30,207730,PARADISO,"Sicario, Konstantinos Argiros, SNIK, Beyond, Màdu"
40,"90th FLOOR
FLY LO, SNIK, BLVD",1,26.0,11,203268,90th FLOOR,"FLY LO, SNIK, BLVD"
41,"EMMONI IDEA
Ivan Greko, Sicario, Oge",1,39.0,50,198810,EMMONI IDEA,"Ivan Greko, Sicario, Oge"
42,"Exigiste Mou
Ria Ellinidou",28,35.0,4,195303,Exigiste Mou,Ria Ellinidou
43,"Prezi
FLY LO, TOQUEL, Mike G",1,38.0,22,192856,Prezi,"FLY LO, TOQUEL, Mike G"
44,"Aeroplana
Bloody Hawk, TOQUEL",1,43.0,39,190026,Aeroplana,"Bloody Hawk, TOQUEL"
45,"TAKEOVER
SKEZ, Trannos, Stanley",4,31.0,15,187639,TAKEOVER,"SKEZ, Trannos, Stanley"
46,"K9
Ivan Greko, HermesHermes, LK",1,41.0,14,175770,K9,"Ivan Greko, HermesHermes, LK"
47,"GUNNI
HermesHermes, Tr4cer",47,,1,175312,GUNNI,"HermesHermes, Tr4cer"
48,"Teleia - Unplugged
Petros Iakovidis, Foivos",31,40.0,11,170891,Teleia - Unplugged,"Petros Iakovidis, Foivos"
49,"GARAZ
HermesHermes, Tr4cer",49,,1,168633,GARAZ,"HermesHermes, Tr4cer"
50,"EoO
Bad Bunny",23,23.0,3,168258,EoO,Bad Bunny
51,"PALI
Kareem Kalokoh",3,42.0,20,168107,PALI,Kareem Kalokoh
52,"CARTEL
Onad, Marzi, GMBeaTz",52,,1,167982,CARTEL,"Onad, Marzi, GMBeaTz"
53,"JALLA
Antigoni",47,47.0,2,164815,JALLA,Antigoni
54,"Primo
Light",4,45.0,28,161289,Primo,Light
55,"Asteria
FANN, CARLA, Greco Beats",55,,1,155035,Asteria,"FANN, CARLA, Greco Beats"
56,"Xeiroteri Genia
LEX, Dof Twogee",3,44.0,66,152385,Xeiroteri Genia,"LEX, Dof Twogee"
57,"FWTIA
Sicario, Beyond",1,51.0,59,151985,FWTIA,"Sicario, Beyond"
58,"Beverly Hills
TOQUEL",3,65.0,198,150406,Beverly Hills,TOQUEL
59,"MOU ZITAS
TOQUEL, FLY LO, Beyond",4,52.0,65,149506,MOU ZITAS,"TOQUEL, FLY LO, Beyond"
60,"SVISE LIGO
Trannos, Dirty Harry",7,34.0,5,148854,SVISE LIGO,"Trannos, Dirty Harry"
61,"Terma S' Agapo / Oti Kai Na Ginei Thimisou - Medley
Ria Ellinidou",15,46.0,16,147010,Terma S' Agapo / Oti Kai Na Ginei Thimisou - Medley,Ria Ellinidou
62,"OPWS EGW
Sicario, KATO, Màdu",49,49.0,34,145700,OPWS EGW,"Sicario, KATO, Màdu"
63,"Vrexei
Anastasia",36,36.0,2,144494,Vrexei,Anastasia
64,"DD
SKEZ, HermesHermes, Sound Dealer",18,54.0,14,143961,DD,"SKEZ, HermesHermes, Sound Dealer"
65,"BAILE INoLVIDABLE
Bad Bunny",21,29.0,3,143724,BAILE INoLVIDABLE,Bad Bunny
66,"Alitiki Agapi
LEX, Dof Twogee",2,61.0,66,143508,Alitiki Agapi,"LEX, Dof Twogee"
67,"KSEHORISTO
Sicario",16,57.0,99,140708,KSEHORISTO,Sicario
68,"Sinthikes
Mad Clip",52,82.0,28,139942,Sinthikes,Mad Clip
69,"ILEGAL
TOQUEL, FLY LO, Beyond",2,60.0,65,137949,ILEGAL,"TOQUEL, FLY LO, Beyond"
70,"SUPERSTAR
RACK, Oge",4,58.0,13,137577,SUPERSTAR,"RACK, Oge"
71,"Sandra
TOQUEL",5,70.0,89,136277,Sandra,TOQUEL
72,"Baby
Manos",1,50.0,7,135763,Baby,Manos
73,"BRO X3
Light, DAIMA, Arab",1,62.0,17,135520,BRO X3,"Light, DAIMA, Arab"
74,"Ti Kaname...
Nikos Makropoulos",17,55.0,12,133604,Ti Kaname...,Nikos Makropoulos
75,"PARÉA
Evangelia",75,184.0,2,132812,PARÉA,Evangelia
76,"KATHE FORA POU TON HLIO PIANO
XRS, Night Grind, RICTA",3,56.0,13,131535,KATHE FORA POU TON HLIO PIANO,"XRS, Night Grind, RICTA"
77,"INEBONUS
HermesHermes, Tr4cer",15,48.0,13,130769,INEBONUS,"HermesHermes, Tr4cer"
78,"MA BELLA
RACK, TOQUEL, Beyond",1,73.0,90,130032,MA BELLA,"RACK, TOQUEL, Beyond"
79,"KAKO
TOQUEL, ObieDaz",1,76.0,41,129867,KAKO,"TOQUEL, ObieDaz"
80,"Inopnevma Ftino
Giorgos Mazonakis",27,67.0,20,127692,Inopnevma Ftino,Giorgos Mazonakis
81,"Alleluia
Eleni Foureira, ARCADE",7,69.0,19,127137,Alleluia,"Eleni Foureira, ARCADE"
82,"PADOU
Saske, VIDO, Beyond",2,71.0,73,126073,PADOU,"Saske, VIDO, Beyond"
83,"MANDELA EFFECT
Trannos",2,75.0,33,124904,MANDELA EFFECT,Trannos
84,"Provlimata
APON",2,66.0,42,123162,Provlimata,APON
85,"5 AM
Saske",4,83.0,43,122026,5 AM,Saske
86,"Ores Mikres
Giorgos Mazonakis",25,78.0,28,122009,Ores Mikres,Giorgos Mazonakis
87,"To Teleutaio
FANN, Bloody Hawk, Hades",87,,1,121716,To Teleutaio,"FANN, Bloody Hawk, Hades"
88,"Mosca
Light",15,68.0,27,121230,Mosca,Light
89,"24hrs
Light, Trannos",1,114.0,38,120273,24hrs,"Light, Trannos"
90,"EGEFALIKO
Kidd, BLVD",8,79.0,35,120223,EGEFALIKO,"Kidd, BLVD"
91,"PES KAI THA RTHW
Χρυσηίδα Γκαγκούτη",38,97.0,10,119488,PES KAI THA RTHW,Χρυσηίδα Γκαγκούτη
92,"Pano
Bloody Hawk, TOQUEL",4,72.0,91,118886,Pano,"Bloody Hawk, TOQUEL"
93,"Fer Tin Mou Na Tin Gnoriso
Katerina Lioliou",45,64.0,19,117543,Fer Tin Mou Na Tin Gnoriso,Katerina Lioliou
