rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"kota ini tak sama tanpamu
Nadhif Basalamah",1,1.0,13,10465434,kota ini tak sama tanpamu,Nadhif Basalamah
2,"Sedia Aku Sebelum Hujan
Idgitaf",1,2.0,19,9479181,Sedia Aku Sebelum Hujan,Idgitaf
3,"Bahagia Lagi
Piche Kota",3,3.0,9,9442145,Bahagia Lagi,Piche Kota
4,"everything u are
Hindia",2,4.0,51,7149396,everything u are,Hindia
5,"bergema sampai selamanya
Nadhif Basalamah",2,5.0,49,6823428,bergema sampai selamanya,Nadhif Basalamah
6,"Ada titik-titik di ujung doa
Sal Priadi",6,8.0,8,6666459,Ada titik-titik di ujung doa,Sal Priadi
7,"Monolog
Pamungkas",1,6.0,53,6351832,Monolog,Pamungkas
8,"Dirimu Yang Dulu
Anggis Devaki",7,7.0,10,5527019,Dirimu Yang Dulu,Anggis Devaki
9,"Bersenja Gurau
Raim Laode",9,9.0,14,5297230,Bersenja Gurau,Raim Laode
10,"Lesung Pipi
Raim Laode",2,10.0,47,5230825,Lesung Pipi,Raim Laode
11,"Dan...
Sheila On 7",6,11.0,53,4528527,Dan...,Sheila On 7
12,"Nina
.Feast",1,14.0,79,4478533,Nina,.Feast
13,"Tarot
.Feast",1,12.0,60,4470632,Tarot,.Feast
14,"Lihat Kebunku (Taman Bunga)
Aku Jeje",11,15.0,22,4302866,Lihat Kebunku (Taman Bunga),Aku Jeje
15,"Cincin
Hindia",7,13.0,137,4291830,Cincin,Hindia
16,"Monokrom
Tulus",12,16.0,392,4029718,Monokrom,Tulus
17,"Rumah Ke Rumah
Hindia",7,21.0,326,4000456,Rumah Ke Rumah,Hindia
18,"penjaga hati
Nadhif Basalamah",1,18.0,125,3969629,penjaga hati,Nadhif Basalamah
19,"Mangu
Fourtwnty, Charita Utami",1,22.0,54,3779528,Mangu,"Fourtwnty, Charita Utami"
20,"Serana
For Revenge",1,24.0,198,3752160,Serana,For Revenge
21,"Menerima Luka
Natasya Sabella",19,19.0,9,3741406,Menerima Luka,Natasya Sabella
22,"kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno)
Nadhif Basalamah, Aziz Harun, Aisha Retno",16,17.0,11,3696001,kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno),"Nadhif Basalamah, Aziz Harun, Aisha Retno"
23,"33x
Perunggu",14,20.0,23,3644523,33x,Perunggu
24,"Kita usahakan rumah itu
Sal Priadi",24,27.0,56,3639833,Kita usahakan rumah itu,Sal Priadi
25,"Jangan Paksa Rindu - Beda
Ifan Seventeen",25,36.0,5,3385149,Jangan Paksa Rindu - Beda,Ifan Seventeen
26,"Selamat (Selamat Tinggal)
Virgoun, Audy",12,23.0,345,3365779,Selamat (Selamat Tinggal),"Virgoun, Audy"
27,"Bertaut
Nadin Amizah",1,25.0,300,3361660,Bertaut,Nadin Amizah
28,"Disarankan di Bandung
Dongker, Jason Ranti",28,33.0,14,3333902,Disarankan di Bandung,"Dongker, Jason Ranti"
29,"Nanti Kita Seperti Ini
Batas Senja",3,30.0,147,3271102,Nanti Kita Seperti Ini,Batas Senja
30,"Pesan Terakhir
Lyodra",3,26.0,241,3234974,Pesan Terakhir,Lyodra
31,"SO ASU
Naykilla",28,28.0,15,3144969,SO ASU,Naykilla
32,"About You
The 1975",22,31.0,118,3137408,About You,The 1975
33,"Die On This Hill
SIENNA SPIRO",11,29.0,11,3010549,Die On This Hill,SIENNA SPIRO
34,"Komang
Raim Laode",1,39.0,159,2990144,Komang,Raim Laode
35,"Bawa Dia Kembali
Mahalini",4,48.0,94,2948378,Bawa Dia Kembali,Mahalini
36,"Rahasia Hati
Nidji",31,34.0,89,2908043,Rahasia Hati,Nidji
37,"Sempurna
Andra & The Backbone",15,37.0,235,2900576,Sempurna,Andra & The Backbone
38,"Terbuang Dalam Waktu
Barasuara",11,32.0,33,2897048,Terbuang Dalam Waktu,Barasuara
39,"Duka
Last Child",10,35.0,241,2840020,Duka,Last Child
40,"Seandainya
Vierra",18,44.0,261,2759931,Seandainya,Vierra
41,"back to friends
sombr",11,42.0,42,2747666,back to friends,sombr
42,"Kembali Pulang
Suara Kayu, Feby Putri",11,40.0,159,2740606,Kembali Pulang,"Suara Kayu, Feby Putri"
43,"Anugerah Terindah
Andmesh",1,50.0,66,2690041,Anugerah Terindah,Andmesh
44,"Merindumu lagi
Khifnu",39,43.0,24,2679350,Merindumu lagi,Khifnu
45,"Tenang
Judika, Andi Rianto",45,55.0,7,2625385,Tenang,"Judika, Andi Rianto"
46,"Runtuh
Feby Putri, Fiersa Besari",1,49.0,225,2614579,Runtuh,"Feby Putri, Fiersa Besari"
47,"Aku Milikmu
Dewa 19",18,41.0,39,2570123,Aku Milikmu,Dewa 19
48,"TABOLA BALE
Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel",1,38.0,37,2521540,TABOLA BALE,"Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel"
49,"Jakarta Hari Ini
For Revenge, Stereo Wall",7,51.0,87,2494196,Jakarta Hari Ini,"For Revenge, Stereo Wall"
50,"Surat Cinta Untuk Starla
Virgoun",38,46.0,96,2454027,Surat Cinta Untuk Starla,Virgoun
51,"The Man Who Can't Be Moved
The Script",51,58.0,48,2410959,The Man Who Can't Be Moved,The Script
52,"Teganya Kau
Lyodra",52,52.0,7,2408014,Teganya Kau,Lyodra
53,"Lantas
Juicy Luicy",3,45.0,262,2395372,Lantas,Juicy Luicy
54,"Di Ujung Jalan
SAMSONS",24,47.0,33,2343697,Di Ujung Jalan,SAMSONS
55,"Kasih Putih
Yovie Widianto, Glenn Fredly",17,57.0,21,2322826,Kasih Putih,"Yovie Widianto, Glenn Fredly"
56,"Firasat
Marcell",56,75.0,12,2288085,Firasat,Marcell
57,"WILDFLOWER
Billie Eilish",19,59.0,70,2284333,WILDFLOWER,Billie Eilish
58,"o,Tuan
.Feast",8,60.0,59,2282885,"o,Tuan",.Feast
59,"Evaluasi
Hindia",1,54.0,189,2215918,Evaluasi,Hindia
60,"Tak Kan Hilang
Budi Doremi",2,63.0,173,2209127,Tak Kan Hilang,Budi Doremi
61,"Di Akhir Perang
Nadin Amizah",50,53.0,31,2179772,Di Akhir Perang,Nadin Amizah
62,"Hati-Hati di Jalan
Tulus",1,76.0,208,2150256,Hati-Hati di Jalan,Tulus
63,"Titik Nadir (feat. Monita Tahalea)
Kahitna, Monita Tahalea",43,61.0,22,2142558,Titik Nadir (feat. Monita Tahalea),"Kahitna, Monita Tahalea"
64,"Kita Ke Sana
Hindia",47,67.0,86,2131216,Kita Ke Sana,Hindia
65,"Multo
Cup of Joe",58,73.0,22,2097019,Multo,Cup of Joe
66,"Sailor Song
Gigi Perez",25,77.0,56,2079102,Sailor Song,Gigi Perez
67,"Bunga Maaf
The Lantis",2,78.0,64,2066859,Bunga Maaf,The Lantis
68,"Soulmate
Kahitna",13,71.0,60,2043261,Soulmate,Kahitna
69,"Alamak
Rizky Febian, Adrian Khalif",1,65.0,21,2041378,Alamak,"Rizky Febian, Adrian Khalif"
70,"Tak Ada Ujungnya
Rony Parulian",4,86.0,65,2033466,Tak Ada Ujungnya,Rony Parulian
71,"Tapi Bukan Aku
Kerispatih",70,70.0,73,2031377,Tapi Bukan Aku,Kerispatih
72,"Bila Kau Tak Disampingku
Sheila On 7",7,72.0,51,2022300,Bila Kau Tak Disampingku,Sheila On 7
73,"Kasih Aba Aba
Naykilla, Tenxi, Jemsii",10,64.0,41,1985907,Kasih Aba Aba,"Naykilla, Tenxi, Jemsii"
74,"Jatuh Suka
Tulus",22,82.0,18,1984994,Jatuh Suka,Tulus
75,"I Thought I Saw Your Face Today
She & Him",60,81.0,9,1982274,I Thought I Saw Your Face Today,She & Him
76,"Sorai
Nadin Amizah",44,80.0,140,1959567,Sorai,Nadin Amizah
77,"Backburner
NIKI",19,98.0,60,1953269,Backburner,NIKI
78,"Secukupnya
Hindia",1,79.0,336,1950711,Secukupnya,Hindia
79,"Resah Jadi Luka
Daun Jatuh",13,88.0,274,1947135,Resah Jadi Luka,Daun Jatuh
80,"You'll Be in My Heart
NIKI",1,96.0,51,1927575,You'll Be in My Heart,NIKI
81,"Tanpa Cinta
Yovie & Nuno",38,91.0,126,1921568,Tanpa Cinta,Yovie & Nuno
82,"End of Beginning
Djo",1,87.0,105,1903416,End of Beginning,Djo
83,"Kangen
Dewa 19",33,85.0,36,1900296,Kangen,Dewa 19
84,"Mengenangmu
Kerispatih",75,89.0,24,1899729,Mengenangmu,Kerispatih
85,"mejikuhibiniu
Tenxi, Suisei, Jemsii",7,68.0,34,1899321,mejikuhibiniu,"Tenxi, Suisei, Jemsii"
86,"DJ SO ASU – Pelukan Yang Hangat
DJ Xen",56,56.0,4,1893789,DJ SO ASU – Pelukan Yang Hangat,DJ Xen
87,"Cinta Terakhir
Ari Lasso",70,107.0,44,1888724,Cinta Terakhir,Ari Lasso
88,"Bintang 5
Tenxi, Jemsii",23,62.0,24,1882643,Bintang 5,"Tenxi, Jemsii"
89,"Untuk Perempuan Yang Sedang Di Pelukan
Payung Teduh",23,83.0,479,1860595,Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh
90,"Untuk Mencintaimu
Seventeen",34,99.0,8,1852254,Untuk Mencintaimu,Seventeen
91,"Ngapain Repot
Toton Caribo, Wizz Baker, Fresly Nikijuluw",6,66.0,35,1851264,Ngapain Repot,"Toton Caribo, Wizz Baker, Fresly Nikijuluw"
92,"Mencintaimu
Sal Priadi",71,97.0,17,1835036,Mencintaimu,Sal Priadi
93,"Aku Yang Jatuh Cinta
Dudy Oris",1,84.0,93,1819137,Aku Yang Jatuh Cinta,Dudy Oris
94,"Semua Aku Dirayakan
Nadin Amizah",11,93.0,132,1800737,Semua Aku Dirayakan,Nadin Amizah
95,"Who Knows
Daniel Caesar",59,104.0,15,1794225,Who Knows,Daniel Caesar
96,"The Fate of Ophelia
Taylor Swift",46,90.0,14,1759170,The Fate of Ophelia,Taylor Swift
97,"BIRDS OF A FEATHER
Billie Eilish",3,94.0,91,1722710,BIRDS OF A FEATHER,Billie Eilish
98,"Ngga Dulu
Akbar Chalay, Zynakal, ciloqciliq",19,74.0,16,1709058,Ngga Dulu,"Akbar Chalay, Zynakal, ciloqciliq"
99,"Kata Mereka Ini Berlebihan
Bernadya",3,108.0,102,1708970,Kata Mereka Ini Berlebihan,Bernadya
100,"It Will Rain
Bruno Mars",4,106.0,128,1691440,It Will Rain,Bruno Mars
101,"Penyangkalan
For Revenge",24,101.0,79,1691430,Penyangkalan,For Revenge
102,"Satu Bulan
Bernadya",1,102.0,99,1688801,Satu Bulan,Bernadya
103,"Abadi - Indo Version
Dendi Nata",96,120.0,26,1688085,Abadi - Indo Version,Dendi Nata
104,"SENCY
dia, Tenxi",103,103.0,9,1681557,SENCY,"dia, Tenxi"
105,"Hujan
Utopia",60,100.0,39,1677890,Hujan,Utopia
106,"Pura Pura Lupa
Mahen",1,121.0,107,1674107,Pura Pura Lupa,Mahen
107,"Kita Usahakan Lagi
Batas Senja",8,118.0,43,1663237,Kita Usahakan Lagi,Batas Senja
108,"Orang Baru Lebe Gacor
Ecko Show, Juan Reza, Chesylino",6,69.0,19,1659082,Orang Baru Lebe Gacor,"Ecko Show, Juan Reza, Chesylino"
109,"Tak Segampang Itu
Anggi Marito",1,127.0,164,1655027,Tak Segampang Itu,Anggi Marito
110,"Kasih Tau Mama (Malam Minggu)
Rombongan Bodonk Koplo",73,92.0,10,1633603,Kasih Tau Mama (Malam Minggu),Rombongan Bodonk Koplo
111,"Tampar
Juicy Luicy",9,95.0,198,1627147,Tampar,Juicy Luicy
112,"Membasuh
Hindia, Rara Sekar",27,110.0,57,1626648,Membasuh,"Hindia, Rara Sekar"
113,"Payphone
Maroon 5, Wiz Khalifa",65,116.0,47,1582930,Payphone,"Maroon 5, Wiz Khalifa"
114,"Ours To Keep
Kendis, adis",14,119.0,28,1581320,Ours To Keep,"Kendis, adis"
115,"RUDE!
Hearts2Hearts",115,,1,1576928,RUDE!,Hearts2Hearts
116,"L
Halstage",8,129.0,129,1573112,L,Halstage
117,"Andai Aku Bisa
Chrisye",54,111.0,12,1566090,Andai Aku Bisa,Chrisye
118,"MALU MALU
dia, INDAHKUS",118,159.0,2,1554371,MALU MALU,"dia, INDAHKUS"
119,"Night Changes
One Direction",18,125.0,269,1548547,Night Changes,One Direction
120,"Separuh Aku
Noah",49,126.0,101,1547599,Separuh Aku,Noah
121,"Terlalu Lama
Vierra",71,124.0,40,1524992,Terlalu Lama,Vierra
122,"Januari
Glenn Fredly",7,113.0,9,1506826,Januari,Glenn Fredly
123,"Gala bunga matahari
Sal Priadi",1,133.0,88,1498979,Gala bunga matahari,Sal Priadi
124,"Iris
The Goo Goo Dolls",73,136.0,54,1498955,Iris,The Goo Goo Dolls
125,"Kebutuhan Hati
Kaleb J",74,123.0,26,1496278,Kebutuhan Hati,Kaleb J
126,"Interaksi
Tulus",10,130.0,208,1485640,Interaksi,Tulus
127,"EEEE A
dia",51,105.0,10,1478570,EEEE A,dia
128,"Kenangan Terindah
SAMSONS",63,112.0,37,1475468,Kenangan Terindah,SAMSONS
129,"Ruang Baru
Barsena Bestandhi",95,139.0,6,1469880,Ruang Baru,Barsena Bestandhi
130,"Garam & Madu (Sakit Dadaku)
Tenxi, Naykilla, Jemsii",1,114.0,60,1466168,Garam & Madu (Sakit Dadaku),"Tenxi, Naykilla, Jemsii"
131,"Kau Masih Kekasihku
NaFF",40,117.0,56,1463627,Kau Masih Kekasihku,NaFF
132,"Sadrah
For Revenge",70,134.0,64,1460947,Sadrah,For Revenge
133,"Berdansalah, Karir Ini Tak Ada Artinya
Hindia",83,132.0,43,1447787,"Berdansalah, Karir Ini Tak Ada Artinya",Hindia
134,"Cinnamon Girl
Lana Del Rey",118,128.0,37,1429551,Cinnamon Girl,Lana Del Rey
135,"SPONTAN ( tanpa ) UHUY!
DEABDIL",115,115.0,6,1429142,SPONTAN ( tanpa ) UHUY!,DEABDIL
136,"When I Was Your Man
Bruno Mars",29,146.0,36,1428792,When I Was Your Man,Bruno Mars
137,"Taruh
Nadin Amizah",58,109.0,58,1420054,Taruh,Nadin Amizah
138,"Don’t Say You Love Me
Jin",49,154.0,8,1404345,Don’t Say You Love Me,Jin
139,"Rahasia Hati - Remastered 2023
Element",8,140.0,142,1397395,Rahasia Hati - Remastered 2023,Element
140,"Janji Setia
Tiara Andini",13,131.0,205,1396770,Janji Setia,Tiara Andini
141,"bittersweet
Madison Beer",76,141.0,15,1394362,bittersweet,Madison Beer
142,"Die With A Smile
Lady Gaga, Bruno Mars",1,135.0,79,1389270,Die With A Smile,"Lady Gaga, Bruno Mars"
143,"Tak Ingin Usai
Keisya Levronka",1,150.0,4,1383515,Tak Ingin Usai,Keisya Levronka
144,"So Easy (To Fall In Love)
Olivia Dean",98,156.0,16,1371014,So Easy (To Fall In Love),Olivia Dean
145,"Sialan
Adrian Khalif, Juicy Luicy",2,122.0,101,1365984,Sialan,"Adrian Khalif, Juicy Luicy"
146,"I Wanna Be Yours
Arctic Monkeys",24,145.0,190,1355220,I Wanna Be Yours,Arctic Monkeys
147,"Amin Paling Serius
Sal Priadi, Nadin Amizah",20,149.0,37,1353699,Amin Paling Serius,"Sal Priadi, Nadin Amizah"
148,"Photograph
Ed Sheeran",51,147.0,26,1345476,Photograph,Ed Sheeran
149,"Sesi Potret
eńau, Ari Lesmana",149,,1,1336557,Sesi Potret,"eńau, Ari Lesmana"
150,"Bunga Abadi
Rio Clappy",6,148.0,85,1328519,Bunga Abadi,Rio Clappy
151,"Mesra-mesraannya kecil-kecilan dulu
Sal Priadi",75,165.0,26,1324730,Mesra-mesraannya kecil-kecilan dulu,Sal Priadi
152,"Sampai Akhir Waktu
Yovie & Nuno",106,138.0,78,1323801,Sampai Akhir Waktu,Yovie & Nuno
153,"Send My Love (To Your New Lover)
Adele",58,,1,1322247,Send My Love (To Your New Lover),Adele
154,"Hingga Tua Bersama
Rizky Febian",8,143.0,8,1319671,Hingga Tua Bersama,Rizky Febian
155,"Raindance (feat. Tems)
Dave, Tems",155,161.0,3,1313021,Raindance (feat. Tems),"Dave, Tems"
156,"Jiwa Yang Bersedih
Ghea Indrawari",1,137.0,141,1312882,Jiwa Yang Bersedih,Ghea Indrawari
157,"Rasa ini
Vierra",74,163.0,82,1309109,Rasa ini,Vierra
158,"Dia Masa Lalumu, Aku Masa Depanmu
Vionita",6,174.0,6,1307869,"Dia Masa Lalumu, Aku Masa Depanmu",Vionita
159,"Risalah Hati
Pamungkas",63,162.0,11,1302397,Risalah Hati,Pamungkas
160,"That Somebody
Rafi Sudirman",99,157.0,7,1295537,That Somebody,Rafi Sudirman
161,"Demi Cinta
Kerispatih",152,152.0,4,1295137,Demi Cinta,Kerispatih
162,"Calon Mantu Idaman (feat. Ncum)
Rombongan Bodonk Koplo, Ncum",10,144.0,36,1288825,Calon Mantu Idaman (feat. Ncum),"Rombongan Bodonk Koplo, Ncum"
163,"Talking to the Moon
Bruno Mars",14,168.0,29,1278583,Talking to the Moon,Bruno Mars
164,"Let Down
Radiohead",84,155.0,29,1271388,Let Down,Radiohead
165,"semua lagu cinta terdengar sama
Hindia",18,142.0,51,1261907,semua lagu cinta terdengar sama,Hindia
166,"Tapi Tahukah Kamu?
Dygta, Kamasean",4,,1,1254222,Tapi Tahukah Kamu?,"Dygta, Kamasean"
167,"The Night We Met
Lord Huron",35,170.0,122,1249747,The Night We Met,Lord Huron
168,"terima kasih
Halstage",50,,1,1240966,terima kasih,Halstage
169,"One Call Away
Charlie Puth",142,183.0,3,1238899,One Call Away,Charlie Puth
170,"Rewrite The Stars (with James Arthur & Anne-Marie)
James Arthur, Anne-Marie",8,181.0,146,1233139,Rewrite The Stars (with James Arthur & Anne-Marie),"James Arthur, Anne-Marie"
171,"Berakhir di Aku - Original Soundtrack From ""Home Sweet Loan""
Idgitaf",25,153.0,15,1230839,"Berakhir di Aku - Original Soundtrack From ""Home Sweet Loan""",Idgitaf
172,"we can't be friends (wait for your love)
Ariana Grande",2,158.0,103,1226577,we can't be friends (wait for your love),Ariana Grande
173,"Take A Chance With Me
NIKI",8,187.0,5,1223959,Take A Chance With Me,NIKI
174,"Ini Abadi
Perunggu",160,160.0,4,1216353,Ini Abadi,Perunggu
175,"Kita
Sheila On 7",70,151.0,3,1216002,Kita,Sheila On 7
176,"Akhir Tak Bahagia
Misellia",10,166.0,2,1211285,Akhir Tak Bahagia,Misellia
177,"Car's Outside
James Arthur",9,192.0,53,1207092,Car's Outside,James Arthur
178,"Bukti
Virgoun",118,169.0,3,1195837,Bukti,Virgoun
179,"To the Bone
Pamungkas",1,200.0,7,1194943,To the Bone,Pamungkas
180,"Kelingan Mantan
NDX A.K.A.",82,164.0,3,1193329,Kelingan Mantan,NDX A.K.A.
181,"Tak Dianggap
Lyodra",2,175.0,3,1192562,Tak Dianggap,Lyodra
182,"Kenangan Manis
Pamungkas",12,186.0,46,1191302,Kenangan Manis,Pamungkas
183,"Seluruh Nafas Ini
Last Child, Gisel",56,,1,1186852,Seluruh Nafas Ini,"Last Child, Gisel"
184,"Hatimu Milik Dia
Arvian Dwi",155,173.0,4,1184439,Hatimu Milik Dia,Arvian Dwi
185,"Fix You
Coldplay",59,191.0,40,1183937,Fix You,Coldplay
186,"8 Letters
Why Don't We",58,189.0,6,1180894,8 Letters,Why Don't We
187,"Takkan Terganti
Marcell",86,167.0,11,1172503,Takkan Terganti,Marcell
188,"traitor
Olivia Rodrigo",8,198.0,7,1169329,traitor,Olivia Rodrigo
189,"Ada Untukmu
Budi Doremi",189,,1,1167587,Ada Untukmu,Budi Doremi
190,"Somebody's Pleasure
Aziz Hedra",5,,1,1161206,Somebody's Pleasure,Aziz Hedra
