rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"IRIS OUT
Kenshi Yonezu",1,1.0,24,2486961,IRIS OUT,Kenshi Yonezu
2,"Don’t Say You Love Me
Jin",1,3.0,41,2214783,Don’t Say You Love Me,Jin
3,"lulu.
Mrs. GREEN APPLE",1,2.0,7,2214199,lulu.,Mrs. GREEN APPLE
4,"Blue Jeans
HANA",1,5.0,33,2056536,Blue Jeans,HANA
5,"Bakuretsu Aishiteru
M!LK",5,9.0,3,2024481,Bakuretsu Aishiteru,M!LK
6,"ROSE
HANA",2,7.0,48,2011564,ROSE,HANA
7,"Sukisugite METSU!
M!LK",7,8.0,16,1946754,Sukisugite METSU!,M!LK
8,"ライラック
Mrs. GREEN APPLE",1,6.0,98,1883242,ライラック,Mrs. GREEN APPLE
9,"AIZO
King Gnu",2,4.0,7,1877883,AIZO,King Gnu
10,"SAD SONG
CHANMINA",10,13.0,57,1852813,SAD SONG,CHANMINA
11,"花束
back number",4,11.0,181,1627496,花束,back number
12,"夢中
BE:FIRST",5,10.0,44,1615627,夢中,BE:FIRST
13,"ブルーアンバー
back number",6,14.0,44,1587392,ブルーアンバー,back number
14,"Soranji
Mrs. GREEN APPLE",7,12.0,175,1560793,Soranji,Mrs. GREEN APPLE
15,"Cold Night
HANA",11,19.0,5,1550902,Cold Night,HANA
16,"ハッピーエンド
back number",9,15.0,128,1508788,ハッピーエンド,back number
17,"ダーリン
Mrs. GREEN APPLE",2,16.0,58,1503094,ダーリン,Mrs. GREEN APPLE
18,"点描の唄
Mrs. GREEN APPLE, Sonoko Inoue",9,17.0,354,1491783,点描の唄,"Mrs. GREEN APPLE, Sonoko Inoue"
19,"ハレンチ
CHANMINA",19,28.0,60,1454222,ハレンチ,CHANMINA
20,"NON STOP
HANA",3,29.0,12,1445947,NON STOP,HANA
21,"革命道中 - On The Way
AiNA THE END",4,18.0,34,1414161,革命道中 - On The Way,AiNA THE END
22,"高嶺の花子さん
back number",8,20.0,365,1382269,高嶺の花子さん,back number
23,"JANE DOE
Kenshi Yonezu, Hikaru Utada",2,23.0,23,1360164,JANE DOE,"Kenshi Yonezu, Hikaru Utada"
24,"水平線
back number",1,22.0,237,1356994,水平線,back number
25,"Drop
HANA",15,37.0,56,1352878,Drop,HANA
26,"僕のこと
Mrs. GREEN APPLE",15,25.0,169,1342297,僕のこと,Mrs. GREEN APPLE
27,"Kaiju
sakanaction",1,21.0,54,1330519,Kaiju,sakanaction
28,"Kaiju no Hanauta
Vaundy",1,27.0,270,1328828,Kaiju no Hanauta,Vaundy
29,"Theater
King & Prince",9,26.0,10,1292204,Theater,King & Prince
30,"青と夏
Mrs. GREEN APPLE",2,31.0,398,1284165,青と夏,Mrs. GREEN APPLE
31,"どうしてもどうしても
back number",31,52.0,9,1276454,どうしてもどうしても,back number
32,"Who
Jimin",1,32.0,84,1272794,Who,Jimin
33,"HAPPY BIRTHDAY
back number",13,33.0,281,1268777,HAPPY BIRTHDAY,back number
34,"カリスマックス - CHARISMAX
Snow Man",12,36.0,27,1243223,カリスマックス - CHARISMAX,Snow Man
35,"ケセラセラ
Mrs. GREEN APPLE",3,34.0,149,1238519,ケセラセラ,Mrs. GREEN APPLE
36,"3XL
Number_i",8,24.0,5,1230458,3XL,Number_i
37,"Never Grow Up
CHANMINA",37,49.0,63,1192146,Never Grow Up,CHANMINA
38,"ヒロイン
back number",4,35.0,72,1184529,ヒロイン,back number
39,"GOD_i
Number_i",11,40.0,57,1182890,GOD_i,Number_i
40,"My Body
HANA",6,47.0,20,1154233,My Body,HANA
41,"クスシキ
Mrs. GREEN APPLE",1,39.0,47,1145813,クスシキ,Mrs. GREEN APPLE
42,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",14,38.0,33,1116436,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
43,"セレナーデ
natori",35,41.0,5,1085382,セレナーデ,natori
44,"IRANAI
sakanaction",30,30.0,3,1065864,IRANAI,sakanaction
45,"恋
back number",29,43.0,131,1058147,恋,back number
46,"恋風
Lilas",11,44.0,46,1043682,恋風,Lilas
47,"Tiger
HANA",37,42.0,44,1028706,Tiger,HANA
48,"TEST ME
CHANMINA",38,45.0,6,1021797,TEST ME,CHANMINA
49,"GOOD DAY
Mrs. GREEN APPLE",8,46.0,22,1000817,GOOD DAY,Mrs. GREEN APPLE
50,"シルエット
KANA-BOON",33,48.0,18,940030,シルエット,KANA-BOON
51,"君の恋人になったら
back number",44,54.0,30,808976,君の恋人になったら,back number
52,"Burning Flower
HANA",8,77.0,38,799223,Burning Flower,HANA
53,"瞬き
back number",36,57.0,26,783660,瞬き,back number
54,"奏(かなで)
Sukima Switch",22,56.0,73,781182,奏(かなで),Sukima Switch
55,"BAD LOVE
HANA",5,66.0,25,778756,BAD LOVE,HANA
56,"BANG BANG
IVE",53,53.0,3,766739,BANG BANG,IVE
57,"愛をこめて花束を
Superfly",6,62.0,62,740352,愛をこめて花束を,Superfly
58,"LAVALAVA
Number_i",25,50.0,13,721972,LAVALAVA,Number_i
59,"MONTAGEM HIKARI
BellyJay",55,55.0,5,718425,MONTAGEM HIKARI,BellyJay
60,"Marigold
Aimyon",1,60.0,397,718030,Marigold,Aimyon
61,"オールドファッション
back number",48,59.0,24,692832,オールドファッション,back number
62,"とくべチュ、して
=LOVE",37,58.0,44,686598,とくべチュ、して,=LOVE
63,"恋人ごっこ
Macaroni Empitsu",36,71.0,301,661470,恋人ごっこ,Macaroni Empitsu
64,"インフェルノ
Mrs. GREEN APPLE",16,63.0,345,659418,インフェルノ,Mrs. GREEN APPLE
65,"E Jan
M!LK",61,85.0,10,655158,E Jan,M!LK
66,"愛を伝えたいだとか
Aimyon",4,64.0,30,650999,愛を伝えたいだとか,Aimyon
67,"幸せ
back number",60,67.0,21,650306,幸せ,back number
68,"君はロックを聴かない
Aimyon",2,72.0,419,648248,君はロックを聴かない,Aimyon
69,"楓
SPITZ",36,70.0,19,641958,楓,SPITZ
70,"チェリー
SPITZ",28,83.0,215,631899,チェリー,SPITZ
71,"Bloom
HANA",71,,1,623951,Bloom,HANA
72,"B-list
CHANMINA",72,88.0,8,623861,B-list,CHANMINA
73,"Zoo
Disney, Shakira",29,51.0,12,621920,Zoo,"Disney, Shakira"
74,"Kirari
Fujii Kaze",4,79.0,252,616408,Kirari,Fujii Kaze
75,"劇薬中毒
=LOVE",75,,1,615821,劇薬中毒,=LOVE
76,"HYPNOTIZE
XG",53,61.0,5,615056,HYPNOTIZE,XG
77,"怪盗
back number",10,73.0,249,614430,怪盗,back number
78,"ダンスホール
Mrs. GREEN APPLE",2,69.0,196,612521,ダンスホール,Mrs. GREEN APPLE
79,"幾億光年
Omoinotake",2,82.0,109,608926,幾億光年,Omoinotake
80,"ただ君に晴れ
Yorushika",6,95.0,161,588966,ただ君に晴れ,Yorushika
81,"ドライフラワー
Yuuri",1,89.0,278,587454,ドライフラワー,Yuuri
82,"Setsugekka
yangskinny",82,98.0,7,581537,Setsugekka,yangskinny
83,"クリスマスソング
back number",2,81.0,23,581355,クリスマスソング,back number
84,"アイネクライネ
Kenshi Yonezu",73,76.0,24,581138,アイネクライネ,Kenshi Yonezu
85,"なんでもないよ、
Macaroni Empitsu",1,90.0,225,574252,なんでもないよ、,Macaroni Empitsu
