rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Lekker voor je
Lil Kleine",1,,1,2533803,Lekker voor je,Lil Kleine
2,"Lijntje
Lil Kleine, Milolaathetlukken",2,5.0,4,1251439,Lijntje,"Lil Kleine, Milolaathetlukken"
3,"Man I Need
Olivia Dean",1,1.0,28,1072325,Man I Need,Olivia Dean
4,"I Just Might
Bruno Mars",1,4.0,7,1018818,I Just Might,Bruno Mars
5,"Waar Was Je?
Qlas",1,2.0,6,904539,Waar Was Je?,Qlas
6,"Raindance (feat. Tems)
Dave, Tems",4,7.0,18,896328,Raindance (feat. Tems),"Dave, Tems"
7,"Lush Life
Zara Larsson",4,6.0,26,867270,Lush Life,Zara Larsson
8,"So Easy (To Fall In Love)
Olivia Dean",6,10.0,22,865128,So Easy (To Fall In Love),Olivia Dean
9,"DtMF
Bad Bunny",2,3.0,4,864949,DtMF,Bad Bunny
10,"WHERE IS MY HUSBAND!
RAYE",3,8.0,23,855218,WHERE IS MY HUSBAND!,RAYE
11,"The Fate of Ophelia
Taylor Swift",1,9.0,21,846108,The Fate of Ophelia,Taylor Swift
12,"12 to 12
sombr",9,11.0,31,729687,12 to 12,sombr
13,"Homewrecker
sombr",13,20.0,3,691521,Homewrecker,sombr
14,"Die On This Hill
SIENNA SPIRO",10,16.0,19,688227,Die On This Hill,SIENNA SPIRO
15,"CD van mij
Ronnie Flex, Acda en de Munnik",15,19.0,6,678294,CD van mij,"Ronnie Flex, Acda en de Munnik"
16,"End of Beginning
Djo",4,14.0,14,675831,End of Beginning,Djo
17,"Vervreemd
Kevin, Bente",7,15.0,3,622953,Vervreemd,"Kevin, Bente"
18,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",18,37.0,8,591791,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
19,"Bare Minimum (Starboy)
Frsh, KM, LA$$A",19,28.0,5,587954,Bare Minimum (Starboy),"Frsh, KM, LA$$A"
20,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,22.0,35,576339,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
21,"NUEVAYoL
Bad Bunny",12,12.0,4,574540,NUEVAYoL,Bad Bunny
22,"Ordinary
Alex Warren",1,21.0,55,570893,Ordinary,Alex Warren
23,"AMG Met Matje
Qlas, Mula B",11,13.0,3,540937,AMG Met Matje,"Qlas, Mula B"
24,"Midnight Sun
Zara Larsson",22,26.0,16,538984,Midnight Sun,Zara Larsson
25,"Moët Dat Nou
Robert van Hemert, Donnie",25,29.0,7,520965,Moët Dat Nou,"Robert van Hemert, Donnie"
26,"Tití Me Preguntó
Bad Bunny",17,17.0,3,506563,Tití Me Preguntó,Bad Bunny
27,"Investeren In De Liefde
SFB, Ronnie Flex, Lil Kleine, Bokoesam, Frenna, KM, Jandro",15,25.0,7,495277,Investeren In De Liefde,"SFB, Ronnie Flex, Lil Kleine, Bokoesam, Frenna, KM, Jandro"
28,"Harder Dan Ik Spenden Kan
Bankzitters",5,27.0,7,470563,Harder Dan Ik Spenden Kan,Bankzitters
29,"Niet Nodig
FLEMMING, Metejoor",21,36.0,12,458262,Niet Nodig,"FLEMMING, Metejoor"
30,"Babydoll
Dominic Fike",30,51.0,4,456339,Babydoll,Dominic Fike
31,"Loser
Roxy Dekker",3,33.0,15,455143,Loser,Roxy Dekker
32,"HEFTIG MAN
Idaly, Lil Kleine, Boef",10,61.0,6,452512,HEFTIG MAN,"Idaly, Lil Kleine, Boef"
33,"OKE
Lil Kleine",33,,1,445223,OKE,Lil Kleine
34,"Helaas
Langa, Yssi SB, Rijck",1,30.0,24,442576,Helaas,"Langa, Yssi SB, Rijck"
35,"No Broke Boys
Disco Lines, Tinashe",11,35.0,32,436469,No Broke Boys,"Disco Lines, Tinashe"
36,"Echte Liefde Is Te Koop
Samuel Welten",1,32.0,49,431684,Echte Liefde Is Te Koop,Samuel Welten
37,"Zoo
Disney, Shakira",37,53.0,6,429687,Zoo,"Disney, Shakira"
38,"back to friends
sombr",15,40.0,49,422482,back to friends,sombr
39,"undressed
sombr",13,41.0,48,421563,undressed,sombr
40,"Baila de Gasolina
Effe Serieus",2,18.0,41,417106,Baila de Gasolina,Effe Serieus
41,"Iris
The Goo Goo Dolls",27,42.0,61,414557,Iris,The Goo Goo Dolls
