rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"FRISBEE
Sentino, BNP",1,1.0,3,2072898,FRISBEE,"Sentino, BNP"
2,"After
Tax Free, Malik Montana, Kazior, CUZCO$",1,2.0,7,1208236,After,"Tax Free, Malik Montana, Kazior, CUZCO$"
3,"Baciata
Malik Montana",3,3.0,21,1141664,Baciata,Malik Montana
4,"Kalinka
Majki, Major SPZ",4,5.0,16,1086400,Kalinka,"Majki, Major SPZ"
5,"BABY?
Kaptur, Fagata",5,6.0,3,1041612,BABY?,"Kaptur, Fagata"
6,"O JAK MIŁO
Ekipa, Wujek Łuki, Wiktoria Niekało, Michu Kontrabas, $okolica, KuzynMichu, TOODAY",3,4.0,4,1006503,O JAK MIŁO,"Ekipa, Wujek Łuki, Wiktoria Niekało, Michu Kontrabas, $okolica, KuzynMichu, TOODAY"
7,"BALENCI
Malik Montana, FT Kings",7,10.0,2,919915,BALENCI,"Malik Montana, FT Kings"
8,"Zabiorę Cię Tam
Fukaj, Vito Bambino",2,9.0,27,907340,Zabiorę Cię Tam,"Fukaj, Vito Bambino"
9,"ZA KOGO MNIE MASZ?
Sobel, francis, SHDØW",1,8.0,9,881698,ZA KOGO MNIE MASZ?,"Sobel, francis, SHDØW"
10,"Plan B
Pezet, Mata, Kaz Bałagane, Pedro, Frenkie G",3,12.0,19,867123,Plan B,"Pezet, Mata, Kaz Bałagane, Pedro, Frenkie G"
11,"TEMACIK
Ekipa, FRIZ, WERSOW, Kostek, Albert RCB",2,7.0,4,771907,TEMACIK,"Ekipa, FRIZ, WERSOW, Kostek, Albert RCB"
12,"ZAKOCHAŁEM SIĘ POD APTEKĄ
Taco Hemingway, Rumak, Livka",2,11.0,10,744156,ZAKOCHAŁEM SIĘ POD APTEKĄ,"Taco Hemingway, Rumak, Livka"
13,"dopóki się nie znüdzisz
MIÜ, Zalia, Koder, Leon Krześniak",1,14.0,29,737441,dopóki się nie znüdzisz,"MIÜ, Zalia, Koder, Leon Krześniak"
14,"Uciekam Do Alicante
Ekipa, MODELKI, Hi Hania, Kostek, Bartek Kubicki, clearmind",14,,1,729199,Uciekam Do Alicante,"Ekipa, MODELKI, Hi Hania, Kostek, Bartek Kubicki, clearmind"
15,"End of Beginning
Djo",5,18.0,14,726754,End of Beginning,Djo
16,"FREAKY
Fagata, Mata",3,15.0,6,726706,FREAKY,"Fagata, Mata"
17,"KAMIKAZE
Mata, Skolim, Khaid",1,16.0,29,726560,KAMIKAZE,"Mata, Skolim, Khaid"
18,"Plain Jane
Malik Montana",6,17.0,11,719934,Plain Jane,Malik Montana
19,"Róże
QINGA, CrackHouse",19,24.0,10,711721,Róże,"QINGA, CrackHouse"
20,"CASABLANCA
Sentino, BNP",1,27.0,44,684682,CASABLANCA,"Sentino, BNP"
21,"Babydoll
Dominic Fike",21,31.0,4,671034,Babydoll,Dominic Fike
22,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",22,51.0,8,667612,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
23,"Belly Dance
Malik Montana",11,19.0,31,665625,Belly Dance,Malik Montana
24,"WHERE IS MY HUSBAND!
RAYE",12,20.0,23,661936,WHERE IS MY HUSBAND!,RAYE
25,"12 to 12
sombr",10,25.0,31,637136,12 to 12,sombr
26,"Lush Life
Zara Larsson",14,23.0,15,631268,Lush Life,Zara Larsson
27,"DtMF
Bad Bunny",5,13.0,4,623630,DtMF,Bad Bunny
28,"Halo tu Londyn
Weekend",7,21.0,11,593776,Halo tu Londyn,Weekend
29,"FRASCATI
Taco Hemingway, Zeppy Zep, Livka",2,26.0,10,589617,FRASCATI,"Taco Hemingway, Zeppy Zep, Livka"
30,"Obejmuję noce
Jonatan, Pezet, Livka",29,32.0,15,579416,Obejmuję noce,"Jonatan, Pezet, Livka"
31,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",31,33.0,8,563859,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
32,"The Fate of Ophelia
Taylor Swift",4,39.0,21,536829,The Fate of Ophelia,Taylor Swift
